Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Contra Costa County, California",1135127,*****,658852,10278,97413,4203,3159,1049,183849,5126,4891,1303,104400,10356,82563,7700,11558,2856,71005,7590
"El Dorado County, California",185625,*****,162495,2175,1795,302,2379,796,8904,941,462,625,3745,1717,5845,1659,807,603,5038,1634
"Fresno County, California",979915,*****,640619,11666,47646,1868,10176,2204,101993,1767,1183,640,143649,11291,34649,5110,7523,2120,27126,4569
"Humboldt County, California",136646,*****,110795,1826,1172,545,7228,1538,4212,1001,0,206,3154,1153,10085,2014,681,901,9404,1716
"Imperial County, California",180883,*****,110971,6532,4122,444,1808,683,2731,138,301,450,54515,6397,6435,1983,1827,1012,4608,1985
"Kern County, California",884788,*****,642077,11728,47668,3254,11936,4361,40615,2200,3142,2611,106937,9374,32413,4661,8614,2060,23799,3788
"Kings County, California",149785,*****,99706,4650,10028,1370,2083,669,5238,1183,472,416,25665,4017,6593,1995,1629,869,4964,1681
"Lake County, California",64116,*****,49293,1711,914,725,2815,1100,343,389,0,206,8582,1804,2169,1020,201,304,1968,949
"Los Angeles County, California",10137915,*****,5093898,33145,826516,8807,65370,6706,1474575,7762,26104,1971,2258451,32234,393001,12340,106298,6207,286703,11179
"Madera County, California",154697,*****,109705,5232,4535,928,3262,2146,2748,636,312,466,28121,5377,6014,1682,1343,1001,4671,1415
"Marin County, California",260651,*****,200426,3755,6114,1283,274,245,13886,1329,397,433,25607,4031,13947,2261,2192,1198,11755,1837
"Mendocino County, California",87628,*****,71202,2564,412,332,3169,1025,1125,348,231,262,5887,2641,5602,1509,530,441,5072,1401
"Merced County, California",268672,*****,149377,7261,8492,802,2522,840,21156,857,32,56,77857,7468,9236,2702,4854,2026,4382,1609
"Monterey County, California",435232,*****,242774,8535,11055,996,1903,767,24852,1665,1086,704,135093,8640,18469,2446,3084,1322,15385,2068
"Napa County, California",142166,*****,110943,3409,2718,541,1160,550,11301,771,269,110,10439,3256,5336,1211,1282,759,4054,926
"Nevada County, California",99107,*****,91701,1352,197,182,490,415,1742,549,0,206,1414,1243,3563,672,210,233,3353,559
"Orange County, California",3172532,*****,1986194,19801,53602,2886,13443,2093,637622,4687,10791,1591,352857,19663,118023,7777,20645,2979,97378,7205
"Placer County, California",380531,*****,309901,3759,5796,867,2292,1425,26369,1895,392,281,15303,3250,20478,2823,1794,784,18684,2861
"Riverside County, California",2387741,*****,1406044,18690,152433,4274,20442,4027,149105,4509,7583,1137,544724,18100,107410,8716,27678,5038,79732,6899
"Sacramento County, California",1514460,*****,882763,10105,148706,4325,10265,2112,230645,5067,16214,1649,117768,10471,108099,6811,15261,2724,92838,5993
"San Bernardino County, California",2140096,*****,1314742,15771,182864,5421,15077,3001,152270,3157,6381,1208,364338,15183,104424,9040,29165,5126,75259,8275
"San Diego County, California",3317749,*****,2385470,13363,165878,4873,24980,4012,389369,7045,14356,2378,169165,11416,168531,9351,27220,4102,141311,8288
"San Francisco County, California",870887,*****,404410,5260,43468,2007,3054,923,300409,3813,1967,622,70599,6070,46980,3525,7632,2021,39348,3169
"San Joaquin County, California",733709,*****,417952,8981,52126,1908,5428,1925,111547,3304,4697,545,74430,8657,67529,6640,9556,2438,57973,6038
"San Luis Obispo County, California",282887,*****,238692,4625,5167,921,2262,874,10989,1132,28,51,16126,4484,9623,1989,2051,804,7572,1838
"San Mateo County, California",764797,*****,388724,8148,17413,1505,3102,1166,214801,3512,10756,665,85183,8073,44818,5557,10977,3193,33841,4016
"Santa Barbara County, California",446170,*****,341741,8761,8202,939,4863,1784,24802,1753,94,117,46374,7599,20094,2993,3756,1392,16338,2707
"Santa Clara County, California",1919402,*****,844820,12614,47142,2577,8787,2588,683532,5551,8602,1083,227352,12687,99167,6847,21611,4137,77556,5660
"Santa Cruz County, California",274673,*****,203973,6944,2908,730,1797,1006,13692,1246,43,74,40674,7208,11586,2286,2402,1331,9184,1850
"Shasta County, California",179631,*****,158293,1181,1791,496,2942,822,6016,877,77,124,1522,651,8990,1413,372,265,8618,1385
"Solano County, California",440207,*****,219084,5523,64438,2738,1568,594,66560,2461,3713,722,46315,5117,38529,4374,6189,1627,32340,4049
"Sonoma County, California",503070,*****,371195,7398,8632,1893,4397,1312,21487,1579,1542,650,71200,8437,24617,4076,3407,1730,21210,3658
