Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Liberty County, Georgia",62570,*****,29415,1082,25722,1111,295,133,940,615,12,24,1916,1044,4270,1404,912,751,3358,1297
"Lowndes County, Georgia",114628,*****,67078,932,44310,1205,256,181,418,415,113,143,878,789,1575,980,298,265,1277,912
"Muscogee County, Georgia",197485,*****,86603,1706,90127,2391,1159,290,4160,848,0,218,4517,1397,10919,2533,3340,1846,7579,2795
"Paulding County, Georgia",155825,*****,115718,1640,34362,2600,301,304,533,446,401,550,1798,1550,2712,1113,339,457,2373,1065
"Richmond County, Georgia",201647,*****,76547,1382,114495,1903,584,286,4084,298,848,932,2376,1453,2713,1248,195,174,2518,1232
"Rockdale County, Georgia",89355,*****,36218,1974,48429,1162,0,218,1798,88,0,218,1944,2097,966,687,115,198,851,660
"Troup County, Georgia",70005,*****,41740,586,25277,601,45,81,1423,144,0,218,156,175,1364,771,502,497,862,550
"Walton County, Georgia",90184,*****,69810,1644,16332,299,0,218,1369,258,112,192,1962,1644,599,470,7,12,592,471
"Whitfield County, Georgia",104589,*****,90028,3335,4714,763,1954,1870,1281,634,0,218,5304,2982,1308,927,172,299,1136,912
"Hawaii County, Hawaii",198449,*****,64714,1492,1586,620,293,201,47415,4001,26900,3136,2422,1495,55119,4998,791,631,54328,4874
"Honolulu County, Hawaii",992605,*****,209223,4493,23269,1872,1636,752,421281,8343,93165,5142,8029,1895,236002,10630,7054,1584,228948,10552
"Kauai County, Hawaii",72029,*****,23326,755,621,473,563,387,24200,2059,5678,1251,183,165,17458,2763,223,179,17235,2751
"Maui County, Hawaii",165379,53,60712,2339,422,438,157,185,50531,3622,18797,1180,1687,1406,33073,4362,1103,693,31970,4348
"Ada County, Idaho",444028,*****,402851,2341,6535,1544,2026,857,11778,1617,377,415,6847,2096,13614,2478,1793,1614,11821,2461
"Bannock County, Idaho",84377,*****,74610,1416,280,195,3335,700,1480,275,0,198,2279,1227,2393,1050,258,246,2135,979
"Bonneville County, Idaho",112232,*****,99184,1945,0,198,843,437,1521,732,0,198,7841,2014,2843,746,452,431,2391,667
"Canyon County, Idaho",211698,*****,171868,3518,48,71,2689,740,2978,909,835,942,27575,3949,5705,1645,1372,863,4333,1473
"Kootenai County, Idaho",154311,*****,143862,1685,1029,634,2970,553,1352,665,167,261,1836,1787,3095,917,213,207,2882,903
"Twin Falls County, Idaho",83514,*****,77172,1485,677,198,1065,742,1389,505,76,145,2184,1495,951,615,167,268,784,531
"Champaign County, Illinois",208419,*****,151060,1249,27686,926,331,211,21908,720,62,108,1244,598,6128,1405,318,223,5810,1389
"Cook County, Illinois",5203499,*****,2919459,20150,1223763,5468,14508,2707,371491,4498,1939,725,537416,21290,134923,7878,37394,4842,97529,7494
"DeKalb County, Illinois",104528,*****,86721,1717,7396,894,117,121,2439,532,0,185,4515,1803,3340,1174,303,202,3037,1114
"DuPage County, Illinois",929368,*****,714083,6183,45918,1864,1060,616,107270,2300,481,334,35093,5723,25463,3852,5955,2421,19508,3001
"Kane County, Illinois",531715,*****,374272,6597,29929,1309,2405,1349,21320,1137,33,56,91408,6693,12348,2812,4764,1859,7584,2015
"Kankakee County, Illinois",110008,*****,86918,1310,17306,569,394,113,1023,256,0,185,2799,1192,1568,837,614,610,954,701
"Kendall County, Illinois",124695,*****,100133,3278,8271,1231,350,447,3882,823,0,185,7740,2992,4319,2248,2376,1934,1943,1176
"Lake County, Illinois",703047,*****,530524,6644,46836,2516,1206,663,52572,1525,310,434,52919,6628,18680,3014,3727,1372,14953,2670
"LaSalle County, Illinois",110642,*****,104660,553,3061,405,102,125,647,400,101,162,494,498,1577,578,73,92,1504,563
"McHenry County, Illinois",307004,*****,284322,2029,3937,1084,253,251,8478,1020,0,185,3878,1759,6136,1689,69,85,6067,1696
"McLean County, Illinois",172418,*****,142803,2082,14364,629,380,354,8635,786,0,185,1723,1681,4513,1371,1097,938,3416,999
"Macon County, Illinois",106550,*****,83242,360,13359,1580,262,311,1089,408,13,23,529,344,8056,1587,149,168,7907,1565
"Madison County, Illinois",265759,*****,233639,898,23424,1217,299,339,3169,354,0,185,1132,821,4096,1289,87,143,4009,1286
"Peoria County, Illinois",185006,*****,135178,1430,33901,1470,618,252,7607,422,0,185,2033,1091,5669,1983,595,406,5074,1860
"Rock Island County, Illinois",144784,*****,116660,2209,13890,1480,778,321,3486,463,283,237,2819,1552,6868,1746,2429,1299,4439,1240
"St. Clair County, Illinois",262759,*****,168589,1329,77768,2090,712,346,4473,351,78,135,4008,1515,7131,2476,437,416,6694,2418
"Sangamon County, Illinois",197499,*****,162397,625,25993,1011,143,114,3568,436,124,145,719,579,4555,1062,237,320,4318,1032
"Tazewell County, Illinois",134385,*****,128580,549,1854,587,311,146,1408,199,103,151,301,348,1828,856,385,421,1443,804
"Vermilion County, Illinois",78111,*****,63731,1143,10778,1085,13,22,860,185,16,31,1285,1160,1428,1050,31,52,1397,1048
"Will County, Illinois",689529,*****,505732,5782,76425,3119,2016,1664,38308,1611,515,685,47269,6080,19264,2939,2789,1192,16475,2877
"Winnebago County, Illinois",285873,*****,226518,2418,35905,2054,217,295,7285,843,140,217,5520,1776,10288,2339,693,484,9595,2292
"Allen County, Indiana",370404,*****,296773,1901,42515,2076,461,229,14669,722,102,89,4098,1642,11786,2037,776,424,11010,2046
"Bartholomew County, Indiana",81402,*****,68773,1643,1234,284,38,64,5864,304,0,192,3791,1703,1702,617,429,405,1273,482
"Clark County, Indiana",116031,*****,102109,963,6608,1182,79,130,457,445,0,192,1181,963,5597,1217,0,192,5597,1217
"Delaware County, Indiana",115603,*****,101294,597,8952,1156,226,191,1473,446,340,439,979,941,2339,935,234,237,2105,924
"Elkhart County, Indiana",203781,*****,180922,2069,11251,1205,1040,351,2149,406,360,320,3346,1955,4713,1293,433,380,4280,1283
"Floyd County, Indiana",76990,*****,69860,494,3954,541,183,150,800,302,0,192,252,388,1941,702,161,286,1780,650
"Grant County, Indiana",66937,*****,58979,625,4960,934,240,221,261,267,0,192,645,551,1852,922,166,231,1686,873
"Hamilton County, Indiana",316373,*****,276282,1259,11797,897,322,297,17484,1737,0,192,2438,1318,8050,1841,479,641,7571,1756
"Hendricks County, Indiana",160610,*****,139891,1943,13279,2470,429,236,4479,645,0,192,809,748,1723,931,246,432,1477,958
"Howard County, Indiana",82568,*****,72022,616,7651,866,308,339,271,220,77,90,1098,573,1141,721,60,95,1081,715
"Johnson County, Indiana",151982,*****,138849,1668,3880,268,416,540,5233,516,41,83,2338,1211,1225,961,767,897,458,367
"Kosciusko County, Indiana",79092,*****,75552,505,958,202,465,346,407,316,0,192,670,505,1040,348,0,192,1040,348
"Lake County, Indiana",485846,*****,299056,4420,117223,1598,1531,559,6144,1005,95,113,48308,4521,13489,2074,5023,1655,8466,1664
"LaPorte County, Indiana",110015,*****,91255,1176,11928,1022,610,407,889,239,63,110,2249,1074,3021,1132,781,688,2240,979
"Madison County, Indiana",129296,*****,113364,799,9062,1240,431,238,554,367,0,192,1179,775,4706,1533,459,320,4247,1420
"Marion County, Indiana",941229,*****,577828,5808,260219,4441,2924,1517,27885,1721,295,152,39113,6322,32965,5037,3740,1676,29225,4804
"Monroe County, Indiana",145496,*****,125427,760,4068,776,310,223,9461,771,0,192,848,603,5382,1345,178,195,5204,1309
"Porter County, Indiana",167791,*****,153318,1155,5280,625,224,228,2055,597,129,178,1705,781,5080,1282,840,530,4240,1198
"St. Joseph County, Indiana",269141,*****,209203,2283,35405,1845,1880,1087,6408,883,190,238,9023,2422,7032,2005,389,380,6643,1948
"Tippecanoe County, Indiana",188059,*****,152857,2265,9666,1262,268,204,15385,932,200,308,6020,2242,3663,1601,482,461,3181,1505
"Vanderburgh County, Indiana",181721,*****,155227,1291,15804,1478,310,313,1990,351,1210,1261,1808,1423,5372,1379,248,294,5124,1376
"Vigo County, Indiana",107931,*****,94021,694,6808,1067,427,257,2044,410,47,89,686,470,3898,1132,327,199,3571,1145
"Wayne County, Indiana",66568,*****,59648,562,3125,722,24,39,718,111,0,192,1135,590,1918,715,0,192,1918,715
"Black Hawk County, Iowa",132904,*****,113334,864,12012,1136,802,532,3374,279,719,819,854,567,1809,703,49,82,1760,698
"Dallas County, Iowa",84516,*****,76654,995,1003,433,102,145,3579,487,0,159,637,624,2541,1109,87,177,2454,988
"Dubuque County, Iowa",97003,*****,90491,308,3496,579,74,118,1198,346,302,372,304,291,1138,545,68,109,1070,534
"Johnson County, Iowa",146547,*****,119612,1421,10314,510,0,159,10102,791,0,159,3928,1637,2591,977,287,283,2304,843
"Linn County, Iowa",221661,*****,198263,557,12247,1134,239,249,5323,622,132,148,529,391,4928,1295,157,261,4771,1288
"Polk County, Iowa",474045,*****,396575,2350,31968,1576,1315,483,22224,739,150,184,8740,2356,13073,2016,864,710,12209,1974
"Pottawattamie County, Iowa",93582,*****,88124,999,1824,514,630,220,821,212,0,159,1344,997,839,579,0,159,839,579
"Scott County, Iowa",172474,*****,147577,1480,14802,576,554,326,4441,937,0,159,2285,1470,2815,1206,532,577,2283,1067
"Story County, Iowa",97090,*****,84190,255,1423,1014,178,115,8417,241,0,159,340,227,2542,1007,46,84,2496,1001
"Woodbury County, Iowa",102779,*****,87253,1589,3720,976,723,638,3154,230,749,791,3083,1303,4097,1026,466,628,3631,873
"Butler County, Kansas",67025,*****,62612,252,1679,314,704,491,269,291,80,128,69,79,1612,524,124,229,1488,534
"Douglas County, Kansas",119440,*****,97894,1057,4866,949,1800,680,6249,731,26,38,2960,1015,5645,1303,321,236,5324,1312
"Johnson County, Kansas",584451,*****,505785,2256,25393,1681,1260,576,27644,1423,332,423,5627,1980,18410,2482,995,602,17415,2443
"Leavenworth County, Kansas",80204,*****,64838,685,7435,782,463,385,1697,174,295,427,3120,1124,2356,979,717,662,1639,734
"Riley County, Kansas",73343,*****,60227,1064,4370,1141,182,186,3820,477,264,329,998,793,3482,1465,434,502,3048,1399
"Sedgwick County, Kansas",511995,*****,400297,4909,42474,3091,4630,1166,21236,1066,0,174,18824,4754,24534,3434,2027,860,22507,3325
"Shawnee County, Kansas",178146,*****,143411,2904,14949,1480,1773,701,2374,705,127,200,9288,3292,6224,1781,590,568,5634,1616
"Wyandotte County, Kansas",163831,*****,96425,3334,37308,1606,1335,745,6063,1520,0,174,15480,3608,7220,2250,1063,920,6157,2135
"Boone County, Kentucky",128536,*****,117023,1043,2966,1691,426,676,3410,503,0,190,1366,1027,3345,1761,0,190,3345,1761
"Campbell County, Kentucky",92211,*****,86613,293,3601,248,94,114,587,218,0,190,245,291,1071,336,0,190,1071,336
"Christian County, Kentucky",72351,*****,51567,1146,16784,909,251,241,420,218,433,575,1227,1103,1669,850,0,190,1669,850
"Daviess County, Kentucky",99674,*****,91073,488,5107,594,8,15,1614,427,0,190,202,328,1670,615,0,190,1670,615
"Fayette County, Kentucky",318449,*****,238917,3753,46097,1483,1080,448,11699,990,201,324,10307,3881,10148,2057,1433,755,8715,1904
"Hardin County, Kentucky",107316,*****,84280,1062,13475,1511,175,158,1851,687,275,355,2024,1267,5236,1405,54,91,5182,1396
"Jefferson County, Kentucky",765352,*****,551075,2850,165658,3209,1477,544,21038,1298,409,220,5410,1841,20285,2966,1653,678,18632,2878
"Kenton County, Kentucky",164945,*****,149375,958,7334,881,241,212,1922,238,0,190,1667,1269,4406,1169,224,356,4182,1085
"Madison County, Kentucky",89547,*****,81935,560,4485,671,153,197,1039,273,0,190,455,443,1480,934,136,251,1344,772
"Oldham County, Kentucky",65560,*****,60007,499,1848,428,361,347,834,203,0,190,523,481,1987,537,49,87,1938,541
"Warren County, Kentucky",125532,*****,103029,1767,11775,1025,642,85,4718,182,0,190,2655,1593,2713,1462,694,629,2019,1285
"Bossier Parish, Louisiana",126057,*****,91878,645,28446,559,275,275,1906,592,220,271,773,496,2559,884,279,425,2280,799
"Caddo Parish, Louisiana",248851,*****,114096,1837,123912,744,552,383,3212,569,0,208,3470,2097,3609,1354,257,262,3352,1324
"Calcasieu Parish, Louisiana",200601,*****,140157,1611,50582,1456,747,539,2284,510,0,208,2541,1721,4290,1823,315,348,3975,1740
"East Baton Rouge Parish, Louisiana",447037,*****,210180,1683,205707,1647,419,333,14660,818,0,208,8592,1689,7479,1587,270,291,7209,1604
"Iberia Parish, Louisiana",73273,*****,43772,606,23324,882,269,311,1862,565,0,208,2073,857,1973,1182,173,240,1800,1087
"Jefferson Parish, Louisiana",436523,*****,271283,3715,117081,1966,1899,762,18643,761,0,208,18732,3879,8885,2263,2337,1517,6548,1924
"Lafayette Parish, Louisiana",241398,*****,168941,952,61221,2015,401,314,4038,585,0,208,1594,948,5203,2182,122,204,5081,2160
"Lafourche Parish, Louisiana",98305,*****,77516,1161,13471,1349,2473,470,504,471,73,142,2617,1474,1651,745,70,114,1581,754
"Orleans Parish, Louisiana",391495,*****,133434,1538,233836,1939,434,271,11721,380,97,120,4750,1666,7223,1320,364,291,6859,1343
"Ouachita Parish, Louisiana",156983,*****,94141,763,58969,756,203,192,1613,152,0,208,439,641,1618,872,255,313,1363,750
"Rapides Parish, Louisiana",132424,*****,84072,672,42337,970,701,406,2230,185,0,208,419,367,2665,947,143,164,2522,921
"St. Tammany Parish, Louisiana",253602,*****,210347,1953,27933,2279,1660,410,3793,709,274,293,3516,2023,6079,2359,374,403,5705,2203
"Tangipahoa Parish, Louisiana",130710,*****,87647,642,37463,1682,481,171,730,324,0,208,577,552,3812,1669,153,256,3659,1655
"Terrebonne Parish, Louisiana",113220,*****,79883,1138,22901,437,6376,620,571,499,0,208,1450,1142,2039,827,50,95,1989,850
"Androscoggin County, Maine",107319,*****,98905,786,3453,1005,204,186,1165,284,0,172,44,58,3548,954,0,172,3548,954
"Aroostook County, Maine",67959,*****,64534,188,904,253,850,289,292,156,13,26,84,107,1282,369,0,172,1282,369
"Cumberland County, Maine",292041,*****,268659,876,8502,1293,996,456,6084,1023,0,172,661,472,7139,1869,300,329,6839,1770
"Kennebec County, Maine",120569,*****,115205,580,1336,720,607,412,1313,192,183,199,218,229,1707,618,154,166,1553,575
"Penobscot County, Maine",151806,*****,143639,436,811,410,1940,697,1404,270,0,172,338,358,3674,704,53,72,3621,697
"York County, Maine",202343,*****,193838,714,2494,383,68,118,4274,609,0,172,146,165,1523,930,0,172,1523,930
"Allegany County, Maryland",72130,*****,63802,185,6374,349,150,122,619,251,27,48,64,85,1094,360,120,123,974,306
"Anne Arundel County, Maryland",568346,*****,416095,3427,91607,2963,1034,530,20626,1421,53,94,13384,3645,25547,3686,2123,1089,23424,3724
"Baltimore County, Maryland",831026,*****,512637,3112,238123,2475,2431,790,49490,1859,579,382,6408,1882,21358,3795,2102,1382,19256,3775
"Calvert County, Maryland",91251,*****,73623,845,11839,1234,0,198,1709,449,0,198,1064,720,3016,1318,283,391,2733,1273
"Carroll County, Maryland",167656,*****,153931,1282,5631,788,407,236,3078,424,104,190,555,437,3950,1814,1345,1296,2605,893
"Cecil County, Maryland",102603,*****,89580,771,7411,1034,0,198,1512,344,34,61,1789,830,2277,944,51,98,2226,904
"Charles County, Maryland",157705,*****,71927,959,71324,2523,246,326,4466,789,0,198,1100,494,8642,2965,190,168,8452,2950
"Frederick County, Maryland",247591,*****,200808,1950,25712,1381,1172,430,11679,811,58,95,2201,1438,5961,1553,728,573,5233,1368
"Harford County, Maryland",251032,*****,198064,1206,33432,1766,476,251,5848,1300,78,132,2935,991,10199,2163,1390,1311,8809,1849
"Howard County, Maryland",317233,*****,186168,1873,58167,1797,405,253,57006,1290,56,94,2907,1434,12524,2582,698,521,11826,2429
"Montgomery County, Maryland",1043863,*****,574964,8267,191046,3837,2053,820,154518,3181,239,360,77581,8047,43462,4862,6244,2132,37218,4968
"Prince George's County, Maryland",908049,*****,159377,6996,571454,3975,3802,1658,38290,1784,287,342,106267,7926,28572,4558,4433,2177,24139,4072
"Washington County, Maryland",150292,*****,126158,452,16125,1317,228,186,2009,474,253,384,313,316,5206,1361,241,235,4965,1336
"Wicomico County, Maryland",102577,*****,69068,1037,26015,1233,30,55,3530,156,108,186,933,894,2893,1114,146,157,2747,1081
"Baltimore city, Maryland",614664,*****,189260,2616,384465,3192,1800,782,15149,1185,604,706,9016,2771,14370,2953,976,463,13394,2864
"Barnstable County, Massachusetts",214276,*****,196365,1708,5175,1589,914,593,2951,617,1034,1215,2794,1285,5043,1932,1318,1362,3725,1287
"Berkshire County, Massachusetts",126903,*****,116668,1023,3428,944,260,272,2049,468,67,88,1200,841,3231,1187,419,361,2812,1147
"Bristol County, Massachusetts",558324,*****,469087,4786,23337,2345,105,94,13414,705,305,240,38545,4861,13531,2380,3723,1486,9808,1829
"Essex County, Massachusetts",779018,*****,635443,6366,30824,3052,1362,897,26984,1356,366,345,63750,6395,20289,3632,2610,1063,17679,3380
"Franklin County, Massachusetts",70382,*****,65664,487,692,377,262,183,710,366,293,401,583,378,2178,592,220,200,1958,616
"Hampden County, Massachusetts",468467,*****,388013,4668,40874,2129,1009,501,10440,1373,0,203,14956,3829,13175,3148,2762,1855,10413,2880
"Hampshire County, Massachusetts",161816,*****,143231,918,3958,747,72,92,7242,938,265,257,1101,531,5947,1171,1150,762,4797,1167
"Middlesex County, Massachusetts",1589774,*****,1220690,6207,86605,3401,2454,823,187448,2728,517,354,52376,6688,39684,3934,5242,1566,34442,3800
"Norfolk County, Massachusetts",697181,*****,546568,2948,45901,1705,843,558,74523,2382,215,177,12800,3262,16331,3029,1211,740,15120,3080
"Plymouth County, Massachusetts",513565,*****,430007,2807,45757,3826,688,387,6215,981,152,156,20248,4366,10498,1786,2186,914,8312,1662
"Suffolk County, Massachusetts",784230,*****,432065,6588,179093,4908,2715,1154,68847,1416,252,249,42262,5549,58996,7258,4458,1676,54538,7280
"Worcester County, Massachusetts",819589,*****,683124,5742,39855,2131,1532,727,39751,1283,292,202,33956,5406,21079,2741,4594,1535,16485,2120
"Allegan County, Michigan",115548,*****,108703,1200,1445,393,307,231,417,268,0,168,1013,681,3663,1044,872,843,2791,613
"Bay County, Michigan",104747,*****,99068,637,2410,588,241,313,309,273,0,168,630,513,2089,596,144,207,1945,549
"Berrien County, Michigan",154010,*****,120388,1390,22043,1168,413,232,2977,291,16,25,2443,1566,5730,1322,945,534,4785,1289
"Calhoun County, Michigan",134386,*****,110181,871,14071,1349,539,235,2622,773,0,168,848,698,6125,1644,84,158,6041,1625
"Clinton County, Michigan",77888,*****,73219,277,1298,182,204,278,1540,209,0,168,119,110,1508,401,68,107,1440,383
"Eaton County, Michigan",109160,*****,95114,698,6008,1111,572,259,2049,510,178,246,1071,591,4168,1218,351,478,3817,1153
"Genesee County, Michigan",408615,*****,304971,1761,81377,2403,1737,648,4111,767,305,244,2400,1604,13714,2635,680,677,13034,2440
"Grand Traverse County, Michigan",92084,*****,87400,509,903,514,888,805,488,143,98,160,333,490,1974,765,81,139,1893,760
"Ingham County, Michigan",288051,*****,213921,1753,33628,2351,993,453,19021,981,187,225,5347,1619,14954,2489,1537,878,13417,2489
"Isabella County, Michigan",71282,*****,62681,471,1517,488,1337,413,1392,261,0,168,424,425,3931,746,82,100,3849,765
"Jackson County, Michigan",158460,*****,138283,704,13482,883,676,302,1260,345,116,110,810,498,3833,1086,321,250,3512,1044
"Kalamazoo County, Michigan",261654,*****,212319,1671,28131,1859,373,329,6828,805,0,168,2359,1326,11644,2117,604,488,11040,2131
"Kent County, Michigan",642173,*****,514715,4449,59715,3406,1930,777,18849,909,67,108,21076,4160,25821,3506,2728,1146,23093,3618
"Lapeer County, Michigan",88340,*****,84352,650,1009,265,203,189,509,392,56,83,522,390,1689,523,386,386,1303,396
"Lenawee County, Michigan",98504,*****,91291,676,2998,401,702,566,256,139,0,168,663,400,2594,681,678,373,1916,578
"Livingston County, Michigan",188624,*****,182458,253,1273,215,291,222,1730,525,79,147,267,189,2526,558,78,92,2448,564
"Macomb County, Michigan",867730,*****,706518,2068,100689,2421,1762,758,32772,1501,50,86,4781,1863,21158,3001,779,506,20379,2902
"Marquette County, Michigan",66435,*****,61683,226,808,302,207,133,649,64,15,28,283,205,2790,388,144,147,2646,342
"Midland County, Michigan",83462,*****,77534,577,1235,569,228,170,1738,416,0,168,403,448,2324,954,572,503,1752,705
"Monroe County, Michigan",149208,*****,140808,1062,4242,352,804,229,952,200,0,168,514,422,1888,882,94,142,1794,865
"Muskegon County, Michigan",173408,*****,139261,1335,24450,1199,1249,584,1128,219,0,168,1092,557,6228,1655,560,605,5668,1464
"Oakland County, Michigan",1243970,*****,934642,3211,167411,4308,3016,764,87646,1889,232,283,11061,2869,39962,5280,1918,828,38044,5154
"Ottawa County, Michigan",282250,*****,255093,2469,3439,960,628,389,6244,775,165,217,7174,2649,9507,1441,1277,732,8230,1218
"Saginaw County, Michigan",192326,*****,144965,1536,35768,1488,493,294,2503,358,61,92,2800,967,5736,1748,880,565,4856,1577
"St. Clair County, Michigan",159587,*****,148831,809,3835,669,358,256,1223,316,0,168,1247,524,4093,969,385,459,3708,852
"Shiawassee County, Michigan",68554,*****,66372,227,396,268,112,105,205,204,0,168,169,189,1300,244,53,77,1247,226
"Van Buren County, Michigan",75223,*****,64948,1420,2312,430,1240,979,425,189,146,234,2211,941,3941,1116,1357,997,2584,475
"Washtenaw County, Michigan",364709,*****,269158,1179,43375,2272,1789,1063,31232,1680,179,292,2218,1037,16758,3348,656,419,16102,3360
"Wayne County, Michigan",1749366,*****,924131,4914,680630,4987,5458,1689,54230,3311,420,326,36368,4785,48129,6861,5666,2245,42463,6054
"Anoka County, Minnesota",345957,*****,291760,1699,19779,1713,2480,611,15529,925,195,227,5151,1770,11063,2290,908,814,10155,2204
"Blue Earth County, Minnesota",66441,*****,60737,372,2291,663,319,55,1325,292,0,149,133,175,1636,860,92,131,1544,845
"Carver County, Minnesota",100262,*****,91908,985,2258,290,300,324,3231,766,0,149,1115,865,1450,656,326,297,1124,619
"Dakota County, Minnesota",417486,*****,345463,2583,24024,2181,1195,515,20140,1135,102,172,12277,2720,14285,2046,1676,726,12609,1955
"Hennepin County, Minnesota",1232483,*****,893871,4023,158741,3570,9923,1657,85906,2631,483,279,40359,4042,43200,4600,3356,1183,39844,4410
"Olmsted County, Minnesota",153102,*****,129033,1106,9005,918,900,427,8964,869,0,149,2226,1128,2974,1166,282,224,2692,1134
"Ramsey County, Minnesota",540649,*****,358606,3077,59737,3364,3089,862,76470,1875,209,238,15811,3169,26727,3843,1963,990,24764,3868
"Rice County, Minnesota",65622,*****,56157,589,3451,256,86,93,1404,233,0,149,2872,963,1652,1016,236,248,1416,1020
"St. Louis County, Minnesota",199980,*****,184278,655,3353,523,4859,611,2228,262,45,63,938,606,4279,815,148,149,4131,774
"Scott County, Minnesota",143680,*****,119736,1511,4743,1100,681,478,8060,928,0,149,5193,1712,5267,1523,180,261,5087,1511
"Sherburne County, Minnesota",93528,*****,86674,888,2417,513,272,174,791,368,0,149,1213,939,2161,760,18,42,2143,757
"Stearns County, Minnesota",155652,*****,138022,841,8669,754,222,151,3701,519,0,149,2483,910,2555,1038,500,390,2055,906
"Washington County, Minnesota",253117,*****,216807,1171,11366,992,1002,426,12637,1827,66,111,3014,1065,8225,2203,1892,1551,6333,1635
"Wright County, Minnesota",132550,*****,125122,1068,1928,749,581,404,1973,396,0,149,1060,960,1886,935,400,532,1486,861
"DeSoto County, Mississippi",175611,*****,119958,1377,46205,1248,416,402,2663,443,0,213,3501,1387,2868,1319,383,304,2485,1295
"Harrison County, Mississippi",203234,*****,139366,1069,49451,1675,1225,441,5702,790,0,213,1604,940,5886,2175,678,610,5208,2042
"Hinds County, Mississippi",241229,*****,61461,1110,174862,917,205,222,1885,286,284,452,1403,971,1129,549,0,213,1129,549
"Jackson County, Mississippi",141241,*****,98840,1556,31706,782,506,303,3863,213,0,213,4189,1492,2137,1191,248,396,1889,1144
"Lee County, Mississippi",85381,*****,57782,640,24789,637,65,91,811,250,33,59,377,351,1524,981,134,221,1390,919
"Madison County, Mississippi",105114,*****,59310,904,39502,1049,444,548,2725,203,0,213,2126,1049,1007,831,0,213,1007,831
"Rankin County, Mississippi",150228,*****,114301,1095,31766,377,127,161,1518,428,0,213,1551,1098,965,508,0,213,965,508
"Boone County, Missouri",176594,*****,142618,1261,16256,1600,811,577,9021,494,23,40,2821,1537,5044,1702,191,259,4853,1698
"Buchanan County, Missouri",88938,*****,77933,1050,4572,1109,372,286,1054,315,0,187,1607,1007,3400,1332,288,310,3112,1260
"Cape Girardeau County, Missouri",78913,*****,69069,585,5525,1269,385,525,1365,156,28,50,342,481,2199,1261,0,187,2199,1261
"Cass County, Missouri",102845,*****,93928,701,3018,706,129,154,802,355,0,187,917,548,4051,858,359,268,3692,761
"Clay County, Missouri",239085,*****,204294,1920,15923,1565,534,516,6193,599,1184,1352,4577,1781,6380,1382,754,549,5626,1206
"Cole County, Missouri",76631,*****,64560,190,8477,949,290,189,1107,207,39,77,254,199,1904,1009,58,92,1846,1025
"Franklin County, Missouri",102838,*****,98926,543,861,565,71,133,625,719,332,527,583,475,1440,647,110,136,1330,652
"Greene County, Missouri",288690,*****,258094,1596,10029,1072,2188,736,5704,800,110,123,4975,1571,7590,1509,783,551,6807,1491
"Jackson County, Missouri",691801,*****,463423,4400,161932,3832,3089,946,12585,1147,2433,697,25949,4255,22390,4191,1513,1143,20877,4197
"Jasper County, Missouri",119111,*****,107566,1354,2615,673,2263,726,1634,255,139,193,2123,1292,2771,1099,330,265,2441,1078
"Jefferson County, Missouri",224226,*****,215622,676,2229,933,580,459,1882,313,0,187,365,347,3548,1204,653,588,2895,1062
"Platte County, Missouri",98309,*****,84433,666,6635,722,314,353,2838,493,73,99,998,552,3018,919,392,340,2626,791
"St. Charles County, Missouri",390918,*****,352403,1129,17540,1931,500,353,9844,1124,0,187,1809,1043,8822,2348,112,124,8710,2353
"St. Louis County, Missouri",998581,*****,684030,2784,238612,3363,1834,749,39819,2017,271,244,8883,3068,25132,3960,926,804,24206,3774
"St. Louis city, Missouri",311404,*****,144752,1300,145886,1916,762,506,10264,764,88,111,3317,1743,6335,1718,161,136,6174,1748
"Cascade County, Montana",81755,*****,72572,575,992,408,3673,589,738,525,142,126,325,281,3313,1014,0,168,3313,1014
"Flathead County, Montana",98082,*****,92689,516,282,271,848,544,340,258,163,170,679,665,3081,826,133,187,2948,842
"Gallatin County, Montana",104502,*****,99275,570,374,340,1169,537,1460,376,0,168,0,168,2224,767,29,55,2195,765
"Lewis and Clark County, Montana",67282,*****,62897,421,281,242,1101,523,572,284,0,168,422,410,2009,718,0,168,2009,718
"Missoula County, Montana",116130,*****,106680,544,715,610,3019,1098,1855,389,0,168,237,246,3624,1184,547,437,3077,1145
"Yellowstone County, Montana",158437,*****,144305,646,829,560,6176,1593,959,403,0,168,786,455,5382,1605,390,273,4992,1563
"Douglas County, Nebraska",554995,*****,444192,2767,61497,1864,1527,486,19640,1530,390,289,11142,2684,16607,2358,1082,579,15525,2170
