Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Kalamazoo County, Michigan",261654,212319,28131,373,6828,0,2359,11644,604,11040
"Kent County, Michigan",642173,514715,59715,1930,18849,67,21076,25821,2728,23093
"Lapeer County, Michigan",88340,84352,1009,203,509,56,522,1689,386,1303
"Lenawee County, Michigan",98504,91291,2998,702,256,0,663,2594,678,1916
"Livingston County, Michigan",188624,182458,1273,291,1730,79,267,2526,78,2448
"Macomb County, Michigan",867730,706518,100689,1762,32772,50,4781,21158,779,20379
"Marquette County, Michigan",66435,61683,808,207,649,15,283,2790,144,2646
"Midland County, Michigan",83462,77534,1235,228,1738,0,403,2324,572,1752
"Monroe County, Michigan",149208,140808,4242,804,952,0,514,1888,94,1794
"Muskegon County, Michigan",173408,139261,24450,1249,1128,0,1092,6228,560,5668
"Oakland County, Michigan",1243970,934642,167411,3016,87646,232,11061,39962,1918,38044
"Ottawa County, Michigan",282250,255093,3439,628,6244,165,7174,9507,1277,8230
"Saginaw County, Michigan",192326,144965,35768,493,2503,61,2800,5736,880,4856
"St. Clair County, Michigan",159587,148831,3835,358,1223,0,1247,4093,385,3708
"Shiawassee County, Michigan",68554,66372,396,112,205,0,169,1300,53,1247
"Van Buren County, Michigan",75223,64948,2312,1240,425,146,2211,3941,1357,2584
"Washtenaw County, Michigan",364709,269158,43375,1789,31232,179,2218,16758,656,16102
"Wayne County, Michigan",1749366,924131,680630,5458,54230,420,36368,48129,5666,42463
"Anoka County, Minnesota",345957,291760,19779,2480,15529,195,5151,11063,908,10155
"Blue Earth County, Minnesota",66441,60737,2291,319,1325,0,133,1636,92,1544
"Carver County, Minnesota",100262,91908,2258,300,3231,0,1115,1450,326,1124
"Dakota County, Minnesota",417486,345463,24024,1195,20140,102,12277,14285,1676,12609
"Hennepin County, Minnesota",1232483,893871,158741,9923,85906,483,40359,43200,3356,39844
"Olmsted County, Minnesota",153102,129033,9005,900,8964,0,2226,2974,282,2692
"Ramsey County, Minnesota",540649,358606,59737,3089,76470,209,15811,26727,1963,24764
"Rice County, Minnesota",65622,56157,3451,86,1404,0,2872,1652,236,1416
"St. Louis County, Minnesota",199980,184278,3353,4859,2228,45,938,4279,148,4131
"Scott County, Minnesota",143680,119736,4743,681,8060,0,5193,5267,180,5087
"Sherburne County, Minnesota",93528,86674,2417,272,791,0,1213,2161,18,2143
"Stearns County, Minnesota",155652,138022,8669,222,3701,0,2483,2555,500,2055
"Washington County, Minnesota",253117,216807,11366,1002,12637,66,3014,8225,1892,6333
"Wright County, Minnesota",132550,125122,1928,581,1973,0,1060,1886,400,1486
"DeSoto County, Mississippi",175611,119958,46205,416,2663,0,3501,2868,383,2485
"Harrison County, Mississippi",203234,139366,49451,1225,5702,0,1604,5886,678,5208
"Hinds County, Mississippi",241229,61461,174862,205,1885,284,1403,1129,0,1129
"Jackson County, Mississippi",141241,98840,31706,506,3863,0,4189,2137,248,1889
"Lee County, Mississippi",85381,57782,24789,65,811,33,377,1524,134,1390
"Madison County, Mississippi",105114,59310,39502,444,2725,0,2126,1007,0,1007
"Rankin County, Mississippi",150228,114301,31766,127,1518,0,1551,965,0,965
"Boone County, Missouri",176594,142618,16256,811,9021,23,2821,5044,191,4853
"Buchanan County, Missouri",88938,77933,4572,372,1054,0,1607,3400,288,3112
"Cape Girardeau County, Missouri",78913,69069,5525,385,1365,28,342,2199,0,2199
"Cass County, Missouri",102845,93928,3018,129,802,0,917,4051,359,3692
"Clay County, Missouri",239085,204294,15923,534,6193,1184,4577,6380,754,5626
"Cole County, Missouri",76631,64560,8477,290,1107,39,254,1904,58,1846
"Franklin County, Missouri",102838,98926,861,71,625,332,583,1440,110,1330
"Greene County, Missouri",288690,258094,10029,2188,5704,110,4975,7590,783,6807
"Jackson County, Missouri",691801,463423,161932,3089,12585,2433,25949,22390,1513,20877
"Jasper County, Missouri",119111,107566,2615,2263,1634,139,2123,2771,330,2441
"Jefferson County, Missouri",224226,215622,2229,580,1882,0,365,3548,653,2895
"Platte County, Missouri",98309,84433,6635,314,2838,73,998,3018,392,2626
"St. Charles County, Missouri",390918,352403,17540,500,9844,0,1809,8822,112,8710
"St. Louis County, Missouri",998581,684030,238612,1834,39819,271,8883,25132,926,24206
"St. Louis city, Missouri",311404,144752,145886,762,10264,88,3317,6335,161,6174
"Cascade County, Montana",81755,72572,992,3673,738,142,325,3313,0,3313
"Flathead County, Montana",98082,92689,282,848,340,163,679,3081,133,2948
"Gallatin County, Montana",104502,99275,374,1169,1460,0,0,2224,29,2195
"Lewis and Clark County, Montana",67282,62897,281,1101,572,0,422,2009,0,2009
"Missoula County, Montana",116130,106680,715,3019,1855,0,237,3624,547,3077
"Yellowstone County, Montana",158437,144305,829,6176,959,0,786,5382,390,4992
"Douglas County, Nebraska",554995,444192,61497,1527,19640,390,11142,16607,1082,15525
"Lancaster County, Nebraska",309637,267852,12445,1952,12252,3,4680,10453,905,9548
"Sarpy County, Nebraska",179023,158913,6658,595,4776,168,2121,5792,94,5698
"Clark County, Nevada",2155664,1330054,247427,13583,211925,17783,223704,111188,18867,92321
"Washoe County, Nevada",453616,355315,10627,6826,25562,2436,32942,19908,2801,17107
"Cheshire County, New Hampshire",75774,72373,520,148,1122,0,197,1414,271,1143
"Grafton County, New Hampshire",88888,82304,977,143,3505,34,293,1632,44,1588
"Hillsborough County, New Hampshire",407761,367574,9702,467,14874,32,5283,9829,775,9054
"Merrimack County, New Hampshire",148582,140747,836,354,2563,0,209,3873,197,3676
"Rockingham County, New Hampshire",303251,288104,2089,57,5846,0,1712,5443,522,4921
"Strafford County, New Hampshire",127428,118919,1196,50,4107,0,175,2981,578,2403
"Atlantic County, New Jersey",270991,176909,41557,824,22599,60,20986,8056,3178,4878
"Bergen County, New Jersey",939151,678573,56391,1748,153276,804,20616,27743,4733,23010
"Burlington County, New Jersey",449284,323113,74530,378,23697,123,10123,17320,2367,14953
"Camden County, New Jersey",510150,324529,96342,1032,29696,0,44228,14323,1950,12373
"Cape May County, New Jersey",94430,86834,3321,63,806,127,648,2631,38,2593
"Cumberland County, New Jersey",153797,103640,28739,1960,2258,0,10350,6850,1876,4974
"Essex County, New Jersey",796914,355482,317198,1518,42298,0,58747,21671,4090,17581
"Gloucester County, New Jersey",292330,237650,29805,215,8955,0,6186,9519,3066,6453
"Hudson County, New Jersey",677983,367911,81508,2484,102554,752,96113,26661,11030,15631
"Hunterdon County, New Jersey",124676,113236,3498,19,4757,73,1238,1855,791,1064
"Mercer County, New Jersey",371023,238907,78453,493,40864,597,4213,7496,933,6563
"Middlesex County, New Jersey",837073,490322,83900,2096,203045,297,35789,21624,7529,14095
"Monmouth County, New Jersey",625846,514689,45430,966,35774,30,18484,10473,1843,8630
"Morris County, New Jersey",498423,402032,15796,139,53056,0,17716,9684,1638,8046
"Ocean County, New Jersey",592497,536665,17336,400,11908,664,17161,8363,1162,7201
"Passaic County, New Jersey",507945,333685,57390,1643,26481,180,74754,13812,3444,10368
"Salem County, New Jersey",63436,50303,8147,162,774,0,1966,2084,246,1838
"Somerset County, New Jersey",333751,224326,32448,1718,57437,47,10493,7282,1659,5623
"Sussex County, New Jersey",142522,132461,2904,0,3229,0,1717,2211,96,2115
"Union County, New Jersey",555630,304604,114911,2210,27892,0,89983,16030,5446,10584
"Warren County, New Jersey",106617,95037,4981,117,2825,0,2019,1638,161,1477
"Bernalillo County, New Mexico",676953,479588,18679,34521,18595,498,101451,23621,9664,13957
"Chaves County, New Mexico",65282,59253,1717,1481,67,22,2013,729,650,79
"DoÃ’a Ana County, New Mexico",214207,194538,3599,2578,2341,69,8652,2430,628,1802
"Lea County, New Mexico",69749,62201,2172,452,0,46,3134,1744,265,1479
"McKinley County, New Mexico",74923,10318,161,58562,766,219,3963,934,364,570
"Otero County, New Mexico",65410,50841,2625,4423,969,0,3628,2924,452,2472
"Sandoval County, New Mexico",142025,99399,2980,18026,2100,25,11878,7617,2504,5113
"San Juan County, New Mexico",115079,62316,656,41426,690,74,6795,3122,413,2709
"Santa Fe County, New Mexico",148651,126078,1260,5173,1976,38,9950,4176,2010,2166
"Valencia County, New Mexico",75626,60577,788,2782,340,0,8365,2774,1413,1361
"Albany County, New York",308846,230831,38386,788,21011,0,5538,12292,1706,10586
"Bronx County, New York",1455720,312877,495031,8777,51958,372,528863,57842,23737,34105
"Broome County, New York",195334,166572,12650,13,7006,21,1866,7206,810,6396
"Cattaraugus County, New York",77677,71286,1148,2615,509,0,376,1743,621,1122
"Cayuga County, New York",77861,71746,3240,139,400,0,554,1782,171,1611
"Chautauqua County, New York",129504,120008,3784,326,760,64,2035,2527,493,2034
"Chemung County, New York",86322,75851,4798,171,1588,22,770,3122,110,3012
"Clinton County, New York",81073,73092,3875,114,990,0,1811,1191,117,1074
"Dutchess County, New York",294473,232515,31588,989,10743,422,9189,9027,1490,7537
"Erie County, New York",921046,718970,122691,4730,34132,405,18740,21378,3686,17692
"Jefferson County, New York",114006,98583,5871,1667,1998,41,1425,4421,629,3792
"Kings County, New York",2629150,1124155,861749,8714,315850,1402,237591,79689,13817,65872
"Livingston County, New York",64257,59522,1985,352,699,76,800,823,9,814
"Madison County, New York",71329,67495,1272,203,726,152,200,1281,409,872
"Monroe County, New York",747727,570709,113806,2763,26420,309,12100,21620,3305,18315
"Nassau County, New York",1361500,926594,158561,3420,127934,285,102363,42343,11992,30351
"New York County, New York",1643734,931953,246095,4555,204434,1205,179384,76108,21190,54918
"Niagara County, New York",211758,185171,13450,2246,2082,141,1822,6846,533,6313
"Oneida County, New York",231190,197816,13313,400,9824,53,2474,7310,519,6791
"Onondaga County, New York",466194,370920,52781,1769,17413,81,6250,16980,587,16393
"Ontario County, New York",109828,101231,3180,584,1345,114,1649,1725,330,1395
"Orange County, New York",379210,278706,38853,1877,10686,149,32984,15955,3331,12624
"Oswego County, New York",118987,113860,1795,184,730,75,167,2176,20,2156
"Putnam County, New York",98900,85102,1490,859,2214,56,7046,2133,357,1776
"Queens County, New York",2333054,905860,421307,9509,592922,1240,318657,83559,29285,54274
"Rensselaer County, New York",160070,137956,9755,799,4019,0,1866,5675,265,5410
"Richmond County, New York",476015,352530,48920,251,40747,721,22464,10382,2183,8199
"Rockland County, New York",326780,225848,40350,592,19686,49,33989,6266,1087,5179
"St. Lawrence County, New York",110038,102840,2925,437,1489,11,472,1864,288,1576
"Saratoga County, New York",227053,211505,2719,484,6797,91,907,4550,54,4496
"Schenectady County, New York",154553,119476,14509,258,6739,219,7110,6242,1149,5093
"Steuben County, New York",96940,91500,1835,120,1298,0,524,1663,288,1375
"Suffolk County, New York",1492583,1195796,111177,3361,58726,833,93130,29560,8108,21452
"Sullivan County, New York",74801,60496,5662,52,1227,0,4373,2991,502,2489
"Tompkins County, New York",104871,83423,4698,268,10625,0,1656,4201,223,3978
"Ulster County, New York",179225,152042,10859,151,3969,21,5275,6908,701,6207
"Warren County, New York",64567,62127,690,85,603,82,146,834,0,834
"Wayne County, New York",90798,84497,2458,59,775,0,1092,1917,48,1869
"Westchester County, New York",974542,628687,144510,2745,57962,192,107885,32561,12405,20156
"Alamance County, North Carolina",159688,110933,31088,779,2245,307,11140,3196,478,2718
"Brunswick County, North Carolina",126953,105877,13110,1056,708,0,2814,3388,365,3023
"Buncombe County, North Carolina",256088,226953,15445,959,3542,425,3181,5583,288,5295
"Burke County, North Carolina",88851,74837,5443,537,3447,127,3437,1023,0,1023
"Cabarrus County, North Carolina",201590,141332,34402,511,6212,374,12541,6218,1200,5018
"Caldwell County, North Carolina",81449,72101,3611,550,302,0,3569,1316,218,1098
"Carteret County, North Carolina",68890,61844,3798,285,546,0,320,2097,53,2044
"Catawba County, North Carolina",156459,122004,13875,600,6466,0,10980,2534,84,2450
"Chatham County, North Carolina",72243,59488,8033,0,868,0,1187,2667,122,2545
"Cleveland County, North Carolina",97144,71847,20734,157,1134,0,2499,773,115,658
"Craven County, North Carolina",103445,71552,20612,812,3215,50,3030,4174,0,4174
"Cumberland County, North Carolina",327127,162910,124566,5012,7649,737,7461,18792,1746,17046
"Davidson County, North Carolina",164926,139762,13621,133,2630,0,4359,4421,0,4421
"Durham County, North Carolina",306212,158099,113137,669,15714,267,10281,8045,591,7454
"Forsyth County, North Carolina",371511,245900,97584,1513,8532,21,8879,9082,1324,7758
"Gaston County, North Carolina",216965,167912,34358,1004,3627,0,5169,4895,680,4215
"Guilford County, North Carolina",521330,290962,175229,1975,26138,383,14980,11663,963,10700
"Harnett County, North Carolina",130881,86920,27503,878,916,202,8723,5739,830,4909
"Henderson County, North Carolina",114209,106200,5236,6,1607,0,335,825,0,825
"Iredell County, North Carolina",172916,142713,21633,194,4410,0,1728,2238,371,1867
"Johnston County, North Carolina",191450,149935,31782,729,536,0,3042,5426,543,4883
"Lincoln County, North Carolina",81168,70976,3566,1149,638,106,3239,1494,517,977
"Mecklenburg County, North Carolina",1054835,574931,334621,2740,59544,786,55771,26442,2388,24054
"Moore County, North Carolina",95776,78987,13027,108,1649,80,510,1415,171,1244
"Nash County, North Carolina",94005,50212,37748,434,845,0,3161,1605,193,1412
"New Hanover County, North Carolina",223483,180970,31080,625,2161,0,2255,6392,205,6187
"Onslow County, North Carolina",187136,139353,24311,591,3350,413,3224,15894,2144,13750
"Orange County, North Carolina",141796,106590,14958,677,11270,0,1976,6325,881,5444
"Pitt County, North Carolina",177220,102197,62515,640,2983,64,4316,4505,268,4237
"Randolph County, North Carolina",143416,119977,9771,262,1463,0,9133,2810,443,2367
"Robeson County, North Carolina",133235,38442,32385,52789,958,197,6244,2220,209,2011
"Rockingham County, North Carolina",91393,70668,15921,717,618,51,1117,2301,33,2268
"Rowan County, North Carolina",139933,107453,22460,659,1104,0,5519,2738,212,2526
"Rutherford County, North Carolina",66421,58022,5822,627,744,29,229,948,0,948
"Surry County, North Carolina",72113,65066,2708,153,406,173,2561,1046,0,1046
"Union County, North Carolina",226606,187188,25691,528,5792,0,2272,5135,181,4954
"Wake County, North Carolina",1046791,688226,213306,3815,69541,157,40616,31130,3082,28048
"Wayne County, North Carolina",124150,79743,37003,324,1539,65,1082,4394,44,4350
"Wilkes County, North Carolina",68740,62089,1994,10,1232,104,1906,1405,41,1364
"Wilson County, North Carolina",81661,41449,32474,574,208,0,4874,2082,57,2025
"Burleigh County, North Dakota",94487,85935,2066,4142,714,140,108,1382,140,1242
"Cass County, North Dakota",175249,153678,9281,1478,4496,0,908,5408,357,5051
"Grand Forks County, North Dakota",71083,62439,2825,1780,1802,0,80,2157,106,2051
"Ward County, North Dakota",70210,60834,1578,3000,865,0,1717,2216,0,2216
"Allen County, Ohio",103742,85612,12198,245,917,0,1244,3526,287,3239
"Ashtabula County, Ohio",98231,90797,3902,269,492,42,222,2507,0,2507
"Athens County, Ohio",66186,59847,2143,0,1250,0,407,2539,112,2427
"Butler County, Ohio",377537,322458,30413,536,10086,98,3219,10727,764,9963
"Clark County, Ohio",134786,117082,9921,289,393,53,808,6240,97,6143
"Clermont County, Ohio",203022,193577,3373,0,2833,187,391,2661,35,2626
"Columbiana County, Ohio",103685,97992,2766,201,0,0,1185,1541,194,1347
"Cuyahoga County, Ohio",1249352,780502,367135,2275,35357,389,21144,42550,4011,38539
"Delaware County, Ohio",196463,173006,6944,253,11311,53,738,4158,250,3908
"Erie County, Ohio",75107,64185,6933,61,620,0,779,2529,153,2376
"Fairfield County, Ohio",152597,133473,11068,407,1560,0,1309,4780,201,4579
"Franklin County, Ohio",1264518,855234,280522,2170,62789,747,15363,47693,2146,45547
"Greene County, Ohio",164765,141014,11672,235,4902,0,1707,5235,131,5104
"Hamilton County, Ohio",809099,542878,208972,800,21398,85,11962,23004,648,22356
"Hancock County, Ohio",75872,70208,821,7,1412,0,1358,2066,399,1667
"Lake County, Ohio",228614,208258,9011,388,3153,26,2414,5364,545,4819
"Licking County, Ohio",172198,158253,6542,125,2087,0,926,4265,0,4265
"Lorain County, Ohio",306365,260616,26803,578,2735,174,4160,11299,2356,8943
"Lucas County, Ohio",432488,313144,82833,816,6710,233,10626,18126,3508,14618
"Mahoning County, Ohio",230008,183773,35050,402,2048,0,1527,7208,446,6762
"Medina County, Ohio",177221,168281,2542,524,1651,0,996,3227,92,3135
"Miami County, Ohio",104679,98031,2410,126,1294,0,720,2098,89,2009
"Montgomery County, Ohio",531239,388711,110639,640,11335,374,3071,16469,332,16137
"Portage County, Ohio",161921,147855,6943,174,2837,0,511,3601,39,3562
"Richland County, Ohio",121107,104750,12153,253,821,85,630,2415,247,2168
"Stark County, Ohio",373612,327583,27377,218,3682,0,2474,12278,869,11409
"Summit County, Ohio",540300,427390,77916,503,17116,149,1385,15841,552,15289
"Trumbull County, Ohio",201825,178222,17537,364,860,0,291,4551,154,4397
"Warren County, Ohio",227063,200973,8661,0,12734,0,1886,2809,12,2797
"Wayne County, Ohio",116470,109609,1923,33,1265,0,1789,1851,50,1801
"Wood County, Ohio",130219,119109,3912,510,1938,234,1858,2658,472,2186
"Canadian County, Oklahoma",136532,110859,3031,5720,4298,0,5825,6799,609,6190
"Cleveland County, Oklahoma",278655,218891,12353,11785,12864,142,3154,19466,981,18485
"Comanche County, Oklahoma",122136,76393,22659,6613,2645,225,2850,10751,709,10042
"Creek County, Oklahoma",71312,56935,1349,8304,249,55,282,4138,0,4138
"Muskogee County, Oklahoma",69477,40817,7297,12438,513,103,1728,6581,110,6471
"Oklahoma County, Oklahoma",782970,539756,118634,24989,24246,1011,24272,50062,2661,47401
"Payne County, Oklahoma",81131,65460,3536,4184,3866,0,295,3790,134,3656
"Pottawatomie County, Oklahoma",72290,54566,2607,10306,578,60,368,3805,522,3283
"Rogers County, Oklahoma",91766,68761,871,10913,1044,0,1171,9006,111,8895
"Tulsa County, Oklahoma",642940,445786,63930,32602,21241,279,26455,52647,2707,49940
"Wagoner County, Oklahoma",77679,58594,2716,6890,951,90,908,7530,551,6979
"Benton County, Oregon",89385,77080,984,459,5884,262,1185,3531,0,3531
"Clackamas County, Oregon",408062,357854,4548,3639,16159,626,8713,16523,509,16014
"Deschutes County, Oregon",181307,167962,1089,806,1730,87,3582,6051,639,5412
"Douglas County, Oregon",108457,100124,642,1033,1026,102,618,4912,179,4733
"Jackson County, Oregon",216527,192932,1390,2298,2803,635,8039,8430,547,7883
"Josephine County, Oregon",85904,80113,1441,1593,657,22,249,1829,412,1417
"Klamath County, Oregon",66443,57742,134,3131,702,216,1793,2725,0,2725
"Lane County, Oregon",369519,324944,3663,4162,9597,928,6858,19367,917,18450
"Linn County, Oregon",122849,110734,595,1248,1299,74,4511,4388,128,4260
"Marion County, Oregon",336316,265422,4806,2378,6959,2402,23368,30981,1733,29248
"Multnomah County, Oregon",799766,630308,45410,5658,56252,4647,16182,41309,1837,39472
"Polk County, Oregon",81823,73654,358,1905,1362,369,1402,2773,404,2369
"Umatilla County, Oregon",76456,67399,573,1861,266,141,1998,4218,395,3823
"Washington County, Oregon",582779,439014,10846,2252,58739,2262,33702,35964,6662,29302
"Yamhill County, Oregon",105035,91961,611,1755,1804,367,3317,5220,457,4763
"Adams County, Pennsylvania",102180,94434,1057,65,426,0,3626,2572,212,2360
"Allegheny County, Pennsylvania",1225365,982979,154858,975,43283,443,4933,37894,2346,35548
"Beaver County, Pennsylvania",167429,151718,9238,91,551,194,779,4858,136,4722
"Berks County, Pennsylvania",414812,343554,18603,4478,5504,0,14887,27786,2254,25532
"Blair County, Pennsylvania",124650,119127,2498,17,844,262,354,1548,113,1435
"Bucks County, Pennsylvania",626399,551410,22210,912,30721,0,7193,13953,2115,11838
"Butler County, Pennsylvania",186847,179023,2329,177,2478,0,727,2113,31,2082
"Cambria County, Pennsylvania",134732,126107,3266,13,515,175,527,4129,460,3669
"Centre County, Pennsylvania",161464,142112,5949,115,8766,80,437,4005,1190,2815
"Chester County, Pennsylvania",516312,440376,29721,506,25578,254,6783,13094,2573,10521
"Clearfield County, Pennsylvania",80596,76391,2580,508,390,0,228,499,108,391
"Columbia County, Pennsylvania",66420,62704,1475,64,781,0,787,609,106,503
"Crawford County, Pennsylvania",86257,82613,1507,14,314,51,192,1566,336,1230
"Cumberland County, Pennsylvania",248506,218262,10293,171,10925,0,4149,4706,953,3753
"Dauphin County, Pennsylvania",273707,193791,52861,918,11959,0,7929,6249,190,6059
"Delaware County, Pennsylvania",563402,389846,120082,1165,32804,0,6352,13153,878,12275
"Erie County, Pennsylvania",276207,241733,20144,613,4980,201,1903,6633,487,6146
"Fayette County, Pennsylvania",132733,122730,5313,63,320,56,589,3662,65,3597
"Franklin County, Pennsylvania",153851,142799,6445,469,1733,60,601,1744,200,1544
"Indiana County, Pennsylvania",86364,81885,2255,291,942,62,156,773,69,704
"Lackawanna County, Pennsylvania",211321,193832,5870,214,5204,58,1246,4897,80,4817
"Lancaster County, Pennsylvania",538500,481798,23427,431,10923,53,9219,12649,1402,11247
"Lawrence County, Pennsylvania",87294,81410,4075,45,344,0,139,1281,73,1208
"Lebanon County, Pennsylvania",138863,120894,3650,129,2078,0,9250,2862,1546,1316
"Lehigh County, Pennsylvania",363147,286600,26645,358,11587,0,26967,10990,2337,8653
"Luzerne County, Pennsylvania",316383,285321,13937,452,3756,77,7116,5724,1185,4539
"Lycoming County, Pennsylvania",115248,106461,5208,11,637,17,296,2618,166,2452
"Mercer County, Pennsylvania",112913,103190,6427,71,904,18,165,2138,26,2112
"Monroe County, Pennsylvania",166098,124741,23137,257,3492,191,8899,5381,1209,4172
"Montgomery County, Pennsylvania",821725,654626,73076,1230,60749,295,9751,21998,2402,19596
"Northampton County, Pennsylvania",302294,262942,15889,459,8454,0,4759,9791,1550,8241
"Northumberland County, Pennsylvania",92541,87742,2471,127,432,0,665,1104,186,918
"Philadelphia County, Pennsylvania",1567872,634111,661032,5521,110733,480,104892,51103,10716,40387
"Schuylkill County, Pennsylvania",143573,133893,4370,288,829,0,2261,1932,398,1534
"Somerset County, Pennsylvania",75061,71676,2031,69,380,0,163,742,53,689
"Washington County, Pennsylvania",207981,194397,6242,271,1981,0,1153,3937,21,3916
"Westmoreland County, Pennsylvania",355458,336698,9544,75,3691,34,797,4619,202,4417
"York County, Pennsylvania",443744,391834,25561,943,6918,231,7853,10404,737,9667
"Kent County, Rhode Island",164614,151589,2738,196,3675,128,1900,4388,135,4253
"Newport County, Rhode Island",82784,74333,3077,130,1864,310,1106,1964,318,1646
"Providence County, Rhode Island",633673,460377,58806,4643,26713,572,57811,24751,6326,18425
"Washington County, Rhode Island",126288,117411,2307,293,3352,427,1202,1296,28,1268
"Aiken County, South Carolina",167458,119571,41026,477,1938,125,1057,3264,101,3163
"Anderson County, South Carolina",196569,156660,32543,309,1935,0,1944,3178,52,3126
"Beaufort County, South Carolina",183149,138177,33588,659,2367,106,4005,4247,538,3709
"Berkeley County, South Carolina",210898,141762,51487,644,5728,0,5460,5817,51,5766
"Charleston County, South Carolina",396484,271106,109189,626,6001,0,2356,7206,217,6989
"Dorchester County, South Carolina",153773,103108,37763,1078,2803,0,3173,5848,139,5709
"Florence County, South Carolina",138742,75530,59522,113,1751,0,282,1544,30,1514
"Greenville County, South Carolina",498766,372089,91056,1844,11379,439,11693,10266,1205,9061
"Greenwood County, South Carolina",70133,45687,21328,0,918,0,1265,935,96,839
"Horry County, South Carolina",322342,260680,44012,1727,4425,192,6660,4646,1213,3433
"Lancaster County, South Carolina",89594,64846,20723,0,412,0,3039,574,0,574
"Laurens County, South Carolina",66777,47288,14837,128,981,471,1017,2055,348,1707
"Lexington County, South Carolina",286196,227447,41478,627,4965,111,3819,7749,400,7349
"Oconee County, South Carolina",76355,67461,5645,61,404,0,952,1832,158,1674
"Orangeburg County, South Carolina",87903,29564,55797,606,529,0,23,1384,0,1384
"Pickens County, South Carolina",122863,108555,8542,0,3013,109,841,1803,342,1461
"Richland County, South Carolina",409549,186850,190887,695,10198,545,8467,11907,937,10970
"Spartanburg County, South Carolina",301463,221226,61262,197,6514,30,4830,7404,695,6709
"Sumter County, South Carolina",107396,51345,51510,104,1659,142,400,2236,258,1978
"York County, South Carolina",258526,191332,48293,2027,4854,115,5796,6109,603,5506
"Minnehaha County, South Dakota",187318,161240,9385,3948,4477,67,2887,5314,549,4765
"Pennington County, South Dakota",109372,90775,1426,10308,1444,14,254,5151,712,4439
"Anderson County, Tennessee",75936,69275,3191,0,1208,87,762,1413,0,1413
"Blount County, Tennessee",128670,120416,3897,113,914,81,242,3007,160,2847
"Bradley County, Tennessee",104490,95746,5734,629,243,46,759,1333,0,1333
"Davidson County, Tennessee",684410,442201,187329,1398,25891,605,10795,16191,1099,15092
"Greene County, Tennessee",68615,64883,1404,168,208,0,349,1603,300,1303
"Hamilton County, Tennessee",357738,271063,70591,499,6865,0,924,7796,1073,6723
"Knox County, Tennessee",456132,390124,40267,1780,10650,261,4973,8077,359,7718
"Madison County, Tennessee",97663,58095,37031,53,1017,0,381,1086,115,971
"Maury County, Tennessee",89981,75419,10898,122,70,0,1046,2426,305,2121
"Montgomery County, Tennessee",195734,140854,37819,1383,5439,1446,2057,6736,648,6088
"Putnam County, Tennessee",75931,71824,661,0,1664,0,14,1768,0,1768
"Robertson County, Tennessee",69165,62171,4986,125,429,0,200,1254,0,1254
"Rutherford County, Tennessee",308251,239190,43917,755,10482,0,3974,9933,793,9140
"Sevier County, Tennessee",96673,91955,561,374,500,0,614,2669,59,2610
"Shelby County, Tennessee",934603,360410,499045,2855,22771,165,31109,18248,1624,16624
"Sullivan County, Tennessee",156667,147950,2912,184,664,418,1169,3370,229,3141
"Sumner County, Tennessee",180063,160406,13146,336,2300,60,412,3403,359,3044
"Washington County, Tennessee",127440,116552,5480,813,2028,64,292,2211,0,2211
"Williamson County, Tennessee",219107,194634,9008,251,9027,515,1127,4545,907,3638
"Wilson County, Tennessee",132781,117941,9745,507,2438,0,671,1479,28,1451
"Angelina County, Texas",87791,67968,13621,1342,1007,47,3217,589,70,519
"Bastrop County, Texas",82733,58948,5621,431,1293,0,14508,1932,935,997
"Bell County, Texas",340411,217524,82612,1945,9696,2515,6984,19135,1038,18097
"Bexar County, Texas",1928680,1520769,151997,14260,56054,1282,129637,54681,13391,41290
"Bowie County, Texas",93860,65905,22872,298,1265,314,680,2526,195,2331
"Brazoria County, Texas",354195,264794,45897,3592,23012,13,9487,7400,606,6794
"Brazos County, Texas",220417,167258,22640,1067,14050,107,7067,8228,402,7826
"Cameron County, Texas",422135,401139,2142,341,3497,120,12137,2759,1599,1160
"Collin County, Texas",939585,661559,87766,3583,132486,822,23075,30294,4394,25900
"Comal County, Texas",134788,120507,3101,119,1532,89,7470,1970,318,1652
"Coryell County, Texas",74686,53879,7911,960,1656,558,788,8934,231,8703
"Dallas County, Texas",2574984,1591187,582365,6506,157592,1393,159620,76321,20262,56059
"Denton County, Texas",806180,599270,74199,3992,63864,602,32029,32224,5108,27116
"Ector County, Texas",157462,134245,7643,1069,1809,0,8735,3961,545,3416
"Ellis County, Texas",168499,141134,16525,1104,1390,83,2379,5884,740,5144
"El Paso County, Texas",837918,674348,30034,5360,11107,299,95668,21102,6144,14958
"Fort Bend County, Texas",741237,388931,152115,3077,146796,93,34405,15820,4015,11805
"Galveston County, Texas",329431,258194,43453,2556,11418,87,7317,6406,244,6162
"Grayson County, Texas",128235,111018,5527,1352,1826,16,3119,5377,128,5249
"Gregg County, Texas",123745,92247,25793,534,1883,0,1037,2251,183,2068
"Guadalupe County, Texas",155265,106494,11011,187,3061,1657,28146,4709,819,3890
