Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Stanislaus County, California",541560,395715,17096,3427,30615,3166,68689,22852,5612,17240
"Sutter County, California",96651,69300,1672,653,14849,501,3331,6345,408,5937
"Tulare County, California",460437,340284,6167,6233,20506,908,72610,13729,4245,9484
"Ventura County, California",849738,681115,14929,5746,60772,1787,45523,39866,6241,33625
"Yolo County, California",215802,151935,5476,1835,30155,836,11635,13930,1523,12407
"Yuba County, California",75275,56042,2331,1046,3656,1376,3971,6853,190,6663
"Adams County, Colorado",498187,402970,15865,7677,19783,425,32370,19097,4046,15051
"Arapahoe County, Colorado",637068,452406,69336,3623,38563,1618,47841,23681,4303,19378
"Boulder County, Colorado",322226,288623,3453,927,15560,209,5652,7802,993,6809
"Broomfield County, Colorado",66529,57480,727,316,3943,0,1812,2251,229,2022
"Denver County, Colorado",693060,522284,68262,5462,25721,410,47322,23599,4456,19143
"Douglas County, Colorado",328632,294600,4667,1294,15524,205,3739,8603,1200,7403
"El Paso County, Colorado",688284,552441,43539,3588,18301,3009,25506,41900,7344,34556
"Jefferson County, Colorado",571837,519734,7314,3596,17174,273,9742,14004,2859,11145
"Larimer County, Colorado",339993,307362,3351,2714,7489,516,6735,11826,2062,9764
"Mesa County, Colorado",150083,140112,465,1384,1263,467,2111,4281,700,3581
"Pueblo County, Colorado",165123,133330,4192,8264,1310,127,13092,4808,1054,3754
"Weld County, Colorado",294932,271892,3435,970,4523,0,6937,7175,1606,5569
"Fairfield County, Connecticut",944177,696692,110693,2811,50381,695,52428,30477,8849,21628
"Hartford County, Connecticut",892389,636425,120762,2763,45365,82,57288,29704,7155,22549
"Litchfield County, Connecticut",182571,170796,3345,196,4476,0,1734,2024,91,1933
"Middlesex County, Connecticut",163329,145795,8763,5,4893,0,791,3082,433,2649
"New Haven County, Connecticut",856875,635115,110901,1827,35579,423,45612,27418,4234,23184
"New London County, Connecticut",269801,218961,15524,1730,12084,59,9528,11915,1413,10502
"Tolland County, Connecticut",151118,134939,5338,0,7366,0,1364,2111,248,1863
"Windham County, Connecticut",116192,103169,3606,555,1806,0,2263,4793,614,4179
"Kent County, Delaware",174827,115964,43984,961,3125,9,2543,8241,530,7711
"New Castle County, Delaware",556987,361605,138491,1877,29993,981,10592,13448,907,12541
"Sussex County, Delaware",220251,181522,27436,1217,2528,1063,2460,4025,678,3347
"District of Columbia, District of Columbia",681170,277268,320554,2004,26436,41,37132,17735,2127,15608
"Alachua County, Florida",263496,182119,52833,1166,16798,524,2594,7462,1142,6320
"Bay County, Florida",183974,151108,20489,317,5077,34,1066,5883,317,5566
"Brevard County, Florida",579130,478586,57238,1254,14164,170,10763,16955,1275,15680
"Broward County, Florida",1909632,1163610,545324,5993,69401,1726,63148,60430,11417,49013
"Charlotte County, Florida",178465,160324,11548,124,1660,514,1328,2967,459,2508
"Citrus County, Florida",143621,133360,5412,261,2496,0,1051,1041,213,828
"Clay County, Florida",208311,166888,21159,51,5746,397,4650,9420,400,9020
"Collier County, Florida",365136,321423,26142,987,4794,0,7911,3879,964,2915
"Columbia County, Florida",69299,52890,13565,101,539,64,1315,825,0,825
"Duval County, Florida",926255,560080,271278,2013,39936,453,16293,36202,2866,33336
"Escambia County, Florida",315187,216766,70316,1608,9687,96,3712,13002,752,12250
"Flagler County, Florida",108310,90171,11765,0,2830,0,2203,1341,185,1156
"Hernando County, Florida",182835,162269,9823,210,2262,0,2822,5449,665,4784
"Highlands County, Florida",100917,78733,10396,74,1361,0,8941,1412,0,1412
"Hillsborough County, Florida",1376238,971753,228361,4763,54822,1279,68366,46894,5705,41189
"Indian River County, Florida",151563,129043,11560,459,1978,0,3617,4906,0,4906
"Lake County, Florida",335396,283513,35729,1217,6718,27,1418,6774,480,6294
"Lee County, Florida",722336,615028,60475,1457,11131,129,20665,13451,2934,10517
