,Geography,Estimate; Total
192,"Bannock County, Idaho",84377
193,"Bonneville County, Idaho",112232
194,"Canyon County, Idaho",211698
195,"Kootenai County, Idaho",154311
196,"Twin Falls County, Idaho",83514
197,"Adams County, Illinois",66578
198,"Champaign County, Illinois",208419
199,"Cook County, Illinois",5203499
200,"DeKalb County, Illinois",104528
201,"DuPage County, Illinois",929368
202,"Kane County, Illinois",531715
203,"Kankakee County, Illinois",110008
204,"Kendall County, Illinois",124695
205,"Lake County, Illinois",703047
206,"LaSalle County, Illinois",110642
207,"McHenry County, Illinois",307004
208,"McLean County, Illinois",172418
209,"Macon County, Illinois",106550
210,"Madison County, Illinois",265759
211,"Peoria County, Illinois",185006
212,"Rock Island County, Illinois",144784
213,"St. Clair County, Illinois",262759
214,"Sangamon County, Illinois",197499
215,"Tazewell County, Illinois",134385
216,"Vermilion County, Illinois",78111
217,"Will County, Illinois",689529
218,"Williamson County, Illinois",67560
219,"Winnebago County, Illinois",285873
220,"Allen County, Indiana",370404
221,"Bartholomew County, Indiana",81402
222,"Clark County, Indiana",116031
223,"Delaware County, Indiana",115603
224,"Elkhart County, Indiana",203781
225,"Floyd County, Indiana",76990
226,"Grant County, Indiana",66937
227,"Hamilton County, Indiana",316373
228,"Hancock County, Indiana",73717
229,"Hendricks County, Indiana",160610
230,"Howard County, Indiana",82568
231,"Johnson County, Indiana",151982
232,"Kosciusko County, Indiana",79092
233,"Lake County, Indiana",485846
234,"LaPorte County, Indiana",110015
235,"Madison County, Indiana",129296
236,"Marion County, Indiana",941229
237,"Monroe County, Indiana",145496
238,"Morgan County, Indiana",69698
239,"Porter County, Indiana",167791
240,"St. Joseph County, Indiana",269141
241,"Tippecanoe County, Indiana",188059
242,"Vanderburgh County, Indiana",181721
243,"Vigo County, Indiana",107931
244,"Wayne County, Indiana",66568
245,"Black Hawk County, Iowa",132904
246,"Dallas County, Iowa",84516
247,"Dubuque County, Iowa",97003
248,"Johnson County, Iowa",146547
249,"Linn County, Iowa",221661
250,"Polk County, Iowa",474045
251,"Pottawattamie County, Iowa",93582
252,"Scott County, Iowa",172474
253,"Story County, Iowa",97090
254,"Woodbury County, Iowa",102779
255,"Butler County, Kansas",67025
256,"Douglas County, Kansas",119440
257,"Johnson County, Kansas",584451
258,"Leavenworth County, Kansas",80204
259,"Riley County, Kansas",73343
260,"Sedgwick County, Kansas",511995
261,"Shawnee County, Kansas",178146
262,"Wyandotte County, Kansas",163831
263,"Boone County, Kentucky",128536
264,"Bullitt County, Kentucky",79151
265,"Campbell County, Kentucky",92211
266,"Christian County, Kentucky",72351
267,"Daviess County, Kentucky",99674
268,"Fayette County, Kentucky",318449
269,"Hardin County, Kentucky",107316
270,"Jefferson County, Kentucky",765352
271,"Kenton County, Kentucky",164945
272,"McCracken County, Kentucky",65162
273,"Madison County, Kentucky",89547
274,"Oldham County, Kentucky",65560
275,"Warren County, Kentucky",125532
276,"Ascension Parish, Louisiana",121587
277,"Bossier Parish, Louisiana",126057
278,"Caddo Parish, Louisiana",248851
279,"Calcasieu Parish, Louisiana",200601
280,"East Baton Rouge Parish, Louisiana",447037
281,"Iberia Parish, Louisiana",73273
282,"Jefferson Parish, Louisiana",436523
283,"Lafayette Parish, Louisiana",241398
284,"Lafourche Parish, Louisiana",98305
285,"Livingston Parish, Louisiana",140138
286,"Orleans Parish, Louisiana",391495
287,"Ouachita Parish, Louisiana",156983
288,"Rapides Parish, Louisiana",132424
289,"St. Landry Parish, Louisiana",83883
290,"St. Tammany Parish, Louisiana",253602
291,"Tangipahoa Parish, Louisiana",130710
292,"Terrebonne Parish, Louisiana",113220
293,"Androscoggin County, Maine",107319
294,"Aroostook County, Maine",67959
295,"Cumberland County, Maine",292041
296,"Kennebec County, Maine",120569
297,"Penobscot County, Maine",151806
298,"York County, Maine",202343
299,"Allegany County, Maryland",72130
300,"Anne Arundel County, Maryland",568346
301,"Baltimore County, Maryland",831026
302,"Calvert County, Maryland",91251
303,"Carroll County, Maryland",167656
304,"Cecil County, Maryland",102603
305,"Charles County, Maryland",157705
306,"Frederick County, Maryland",247591
307,"Harford County, Maryland",251032
308,"Howard County, Maryland",317233
309,"Montgomery County, Maryland",1043863
310,"Prince George's County, Maryland",908049
311,"St. Mary's County, Maryland",112587
312,"Washington County, Maryland",150292
313,"Wicomico County, Maryland",102577
314,"Baltimore city, Maryland",614664
315,"Barnstable County, Massachusetts",214276
316,"Berkshire County, Massachusetts",126903
317,"Bristol County, Massachusetts",558324
318,"Essex County, Massachusetts",779018
319,"Franklin County, Massachusetts",70382
320,"Hampden County, Massachusetts",468467
321,"Hampshire County, Massachusetts",161816
322,"Middlesex County, Massachusetts",1589774
323,"Norfolk County, Massachusetts",697181
324,"Plymouth County, Massachusetts",513565
325,"Suffolk County, Massachusetts",784230
326,"Worcester County, Massachusetts",819589
327,"Allegan County, Michigan",115548
328,"Bay County, Michigan",104747
329,"Berrien County, Michigan",154010
330,"Calhoun County, Michigan",134386
331,"Clinton County, Michigan",77888
332,"Eaton County, Michigan",109160
333,"Genesee County, Michigan",408615
334,"Grand Traverse County, Michigan",92084
335,"Ingham County, Michigan",288051
