,Geography,Estimate; Total
800,"Fond du Lac County, Wisconsin",102144
801,"Jefferson County, Wisconsin",84625
802,"Kenosha County, Wisconsin",168183
803,"La Crosse County, Wisconsin",118122
804,"Manitowoc County, Wisconsin",79536
805,"Marathon County, Wisconsin",135603
806,"Milwaukee County, Wisconsin",951448
807,"Outagamie County, Wisconsin",184526
808,"Ozaukee County, Wisconsin",88314
809,"Portage County, Wisconsin",70447
810,"Racine County, Wisconsin",195140
811,"Rock County, Wisconsin",161620
812,"St. Croix County, Wisconsin",88029
813,"Sheboygan County, Wisconsin",115427
814,"Walworth County, Wisconsin",102959
815,"Washington County, Wisconsin",134296
816,"Waukesha County, Wisconsin",398424
817,"Winnebago County, Wisconsin",169886
818,"Wood County, Wisconsin",73107
819,"Laramie County, Wyoming",98136
820,"Natrona County, Wyoming",81039
