,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
211,"Peoria County, Illinois",73209,71145,75.1,72818,23.0,13845,31.3,17905,5.2,9304,2.9,2243,21.8,29517,45227,88804,16.3,56552,35.0,70586,31.7,120249,8.0,77947,7.6,126171,1.3,65216,185006,29087,73.1,33011,18.3,13038,0.3,23571,4.1,48838,0.0,N,1.1,16892,3.1,9946,4.7,19411,70.0,33500,32.2,31.9,25.5
212,"Rock Island County, Illinois",60206,65040,73.5,64419,19.5,15857,31.7,18619,4.0,10511,1.7,1601,24.9,27859,38795,76379,17.9,44872,31.4,59815,33.7,103320,7.9,66476,6.4,108318,2.7,95562,144784,27490,80.6,29993,9.6,18167,0.5,N,2.4,25911,0.2,N,1.9,17007,4.7,9188,12.7,15649,72.5,31436,35.3,36.6,27.8
213,"St. Clair County, Illinois",104782,73193,76.0,74367,17.7,18451,30.2,17491,6.9,10256,3.6,3931,22.2,25727,67611,87610,16.0,58574,33.3,60761,29.1,116234,12.1,66855,8.0,184106,1.6,90828,262759,29723,64.2,33606,29.6,23883,0.3,30956,1.7,24263,0.0,N,1.5,17856,2.7,11054,4.0,19561,62.1,33933,37.9,38.8,31.4
214,"Sangamon County, Illinois",82959,73785,73.4,71792,23.0,20461,32.7,18370,4.5,10504,1.8,1513,25.5,33053,50370,91714,17.7,76648,33.2,64416,31.4,121714,10.0,87042,6.5,127587,1.2,131061,197499,31576,82.2,35112,13.2,13778,0.1,N,1.8,22243,0.1,N,0.4,28963,2.3,13424,2.2,34590,80.7,34959,38.4,38.4,32.3
215,"Tazewell County, Illinois",56051,74437,75.1,76187,27.9,11667,33.7,19271,4.4,10162,1.7,3120,26.5,21185,38030,85445,17.3,50360,28.9,68810,36.3,108049,7.7,66715,8.0,132590,1.8,106364,134385,31303,95.7,32007,1.4,13391,0.2,8884,1.0,25838,0.1,N,0.2,N,1.4,11557,2.3,16878,94.1,32221,39.5,36.1,32.7
216,"Vermilion County, Illinois",31928,56819,66.5,57309,19.2,25074,37.4,18480,5.9,9487,1.5,1956,25.0,20590,20303,64639,21.7,37431,33.9,47877,31.6,92542,7.5,67576,4.0,120233,1.4,88210,78111,23570,81.6,25682,13.8,14044,0.0,N,1.1,23395,0.0,N,1.6,N,1.8,10075,5.0,18374,78.5,26256,42.3,42.1,33.1
217,"Will County, Illinois",228068,98688,83.3,100401,19.9,10733,27.1,20162,3.6,9886,1.5,2598,17.8,32211,171154,112073,9.9,52289,29.3,83137,33.8,138311,9.8,95861,13.5,162648,3.7,120397,689529,33945,73.3,36914,11.1,25944,0.3,21071,5.6,38481,0.1,N,6.9,19675,2.8,15181,17.0,21340,64.1,38864,36.3,36.7,27.8
218,"Williamson County, Illinois",26761,59894,67.4,62893,16.4,7335,37.2,18677,4.2,10923,3.9,3008,25.1,29409,16165,75246,23.6,50276,33.5,61766,30.7,103137,7.6,72706,4.2,117277,0.4,140262,67560,24960,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2.6,10390,89.9,25979,38.2,34.2,29.7
219,"Winnebago County, Illinois",114996,65234,76.2,64929,18.2,16697,34.7,18286,6.4,9101,4.1,4222,18.9,22492,74632,77286,14.7,45310,36.0,61220,29.1,108312,10.8,66744,7.3,109963,2.1,86403,285873,26873,79.2,29270,12.6,17063,0.1,N,2.5,28140,0.0,N,1.9,14428,3.6,14244,12.5,15125,69.7,31237,35.0,35.7,27.4
220,"Allen County, Indiana",142762,67135,78.7,69370,18.6,10680,28.0,20041,5.3,10054,2.2,4378,17.5,18197,89988,81471,13.3,41216,33.9,65025,33.4,104252,8.4,67019,8.9,133172,2.2,77894,370404,26740,80.1,29149,11.5,16432,0.1,33190,4.0,22919,0.0,N,1.1,15477,3.2,11564,7.3,15534,74.2,30193,34.8,35.7,28.2
221,"Bartholomew County, Indiana",31626,73017,79.4,74820,22.4,11661,28.7,19897,3.9,8228,2.8,1889,22.3,17952,20924,83965,14.4,49589,32.5,82680,37.9,100086,7.5,67839,6.0,99161,1.7,57570,81402,29588,84.5,30655,1.5,26197,0.0,N,7.2,38469,0.0,N,4.7,5045,2.1,13447,6.5,10144,82.0,31004,35.4,37.0,26.9
222,"Clark County, Indiana",42498,66198,78.2,66926,17.0,10928,34.1,19779,5.2,8965,1.3,1535,22.3,16908,28039,80779,16.2,46368,32.8,58302,32.6,105208,6.3,81321,9.9,130083,2.1,84877,116031,25767,88.0,27252,5.7,22832,0.1,N,0.4,22233,0.0,N,1.0,10511,4.8,5626,5.3,9727,83.7,28152,30.2,30.9,23.5
223,"Delaware County, Indiana",46720,56602,72.0,57036,17.8,23668,32.5,19331,5.4,9447,3.3,3705,21.9,16792,26626,70966,20.0,N,35.3,N,29.5,N,10.2,N,4.7,N,0.2,N,115603,24255,87.6,24750,7.7,22166,0.2,N,1.3,N,0.3,N,0.8,N,2.0,15538,2.3,19287,86.8,24736,41.2,43.1,33.9
224,"Elkhart County, Indiana",72487,65321,82.0,65292,19.0,11569,28.8,20410,5.2,9808,1.7,N,13.8,16972,50774,75524,11.4,43700,31.4,54049,35.5,98483,11.1,70230,7.1,112742,3.5,79829,203781,23630,88.8,24807,5.5,15284,0.5,26749,1.1,24840,0.2,36183,1.6,6624,2.3,8246,15.5,12707,75.0,26909,29.6,29.3,21.9
225,"Floyd County, Indiana",29199,80423,78.3,84466,19.3,8116,35.2,20104,4.2,10174,0.5,471,20.8,20528,18642,99852,16.2,51013,29.3,80440,37.0,115387,6.0,122736,10.1,164707,1.5,94824,76990,32251,90.7,33917,5.1,16695,0.2,14417,1.0,22855,0.0,N,0.3,N,2.5,13485,3.1,16172,88.1,34367,30.7,28.8,24.4
226,"Grant County, Indiana",26528,49367,70.9,48054,15.2,9300,40.9,18011,5.6,11933,1.0,N,21.7,21871,16927,58657,21.6,44043,36.7,44692,26.4,81072,8.8,62913,4.2,103046,2.3,64199,66937,19933,88.1,20578,7.4,18537,0.4,N,0.4,N,0.0,N,1.0,N,2.8,8353,4.2,11540,85.2,20830,44.7,44.7,33.4
227,"Hamilton County, Indiana",118521,116274,86.0,117938,27.2,17756,22.7,21613,2.2,9660,1.0,710,14.9,25815,84582,135710,8.1,79054,27.9,121544,45.4,154412,7.6,94829,8.8,185012,2.2,82035,316373,44513,87.3,45075,3.7,36356,0.1,48565,5.5,56593,0.0,N,0.8,27475,2.5,15942,3.9,54963,84.1,44446,24.8,23.5,19.7
228,"Hancock County, Indiana",27968,81328,79.4,81610,23.4,7834,34.1,19901,5.0,10962,0.8,N,27.1,19094,20284,91494,N,N,N,N,N,N,N,N,N,N,N,N,73717,31072,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,26.5,29.3,22.4
229,"Hendricks County, Indiana",58677,88073,82.0,87926,23.1,17235,28.4,22565,2.8,11937,0.7,4118,20.6,19327,40884,102196,11.7,60047,23.9,83891,42.0,121524,10.1,71363,9.5,149324,2.8,96067,160610,32672,87.1,34814,8.3,18578,0.3,34792,2.8,17343,0.0,N,0.5,N,1.1,14687,3.8,23247,85.2,34988,34.7,30.2,24.2
230,"Howard County, Indiana",34195,62995,68.1,66553,16.2,13946,38.8,20280,8.0,10192,2.9,2476,28.4,18433,22232,75884,19.7,42481,32.4,62657,27.2,104051,10.7,69697,7.3,137284,2.6,52416,82568,26636,87.2,27910,9.3,15199,0.4,N,0.3,N,0.1,N,1.3,30034,1.4,14873,3.3,44128,85.6,27314,39.6,39.8,34.1
231,"Johnson County, Indiana",54542,86468,78.8,89004,22.0,18752,30.1,21267,3.0,9999,1.0,1275,22.8,19132,39238,101207,12.6,56728,25.3,98957,39.5,105435,9.5,77771,10.3,158654,2.7,132314,151982,32706,91.4,33824,2.6,12598,0.3,N,3.4,17993,0.0,N,1.5,52982,0.8,N,3.5,28793,90.0,34138,35.8,35.1,27.5
232,"Kosciusko County, Indiana",30494,69224,78.5,69735,18.5,13031,34.5,20273,6.4,12204,3.0,2038,15.8,20880,21701,80189,17.1,47366,31.2,69563,32.7,98599,10.1,60217,7.0,141726,1.8,114371,79092,27193,95.5,27692,1.2,27003,0.6,N,0.5,35043,0.0,N,0.8,N,1.3,10956,7.9,11163,88.3,29003,29.4,28.3,22.3
233,"Lake County, Indiana",185575,69932,75.7,73776,15.9,11800,34.2,18682,7.2,9674,1.8,2129,20.6,19845,122418,81631,15.6,43072,36.2,65137,26.4,107274,10.8,82522,8.3,138818,2.7,97560,485846,27259,61.6,31691,24.1,20291,0.3,43927,1.3,42394,0.0,N,9.9,18599,2.8,11711,18.7,18989,54.2,33222,37.0,38.4,29.3
234,"LaPorte County, Indiana",42074,67659,77.5,67374,17.0,19853,36.1,18596,5.1,9768,2.0,3267,20.3,18752,27635,75775,13.4,43604,37.0,54925,29.4,107268,9.7,79121,7.8,104121,2.8,84404,110015,26407,82.9,28538,10.8,18060,0.6,N,0.8,15138,0.1,N,2.0,20056,2.7,5490,6.5,17355,79.6,28905,37.8,39.0,28.5
235,"Madison County, Indiana",50964,59751,71.4,59447,15.1,24601,36.5,19646,8.7,10792,6.6,2920,24.2,17417,34186,70101,20.4,52269,33.9,54810,27.2,93680,9.5,64017,6.9,109162,2.1,84043,129296,24293,87.7,25561,7.0,15362,0.3,46901,0.4,N,0.0,N,0.9,18809,3.6,9402,4.0,14917,85.0,25904,40.9,41.6,32.4
236,"Marion County, Indiana",368349,65479,79.6,68020,13.1,19272,24.9,17871,5.3,10039,1.6,3049,14.7,19780,203179,78403,13.0,39493,37.3,58501,29.2,110774,10.4,70278,8.0,122118,2.1,97083,941229,26988,61.4,32261,27.6,20040,0.3,19910,3.0,23469,0.0,22318,4.2,11401,3.5,11555,10.2,12860,56.1,33887,34.5,35.8,29.0
237,"Monroe County, Indiana",54513,66101,80.7,62414,19.8,27577,24.6,18832,4.5,10329,0.8,3248,15.9,25701,26582,94806,15.0,N,29.6,N,38.2,N,7.2,N,9.5,N,0.5,N,145496,26918,86.2,28628,2.8,14300,0.2,12105,6.5,18689,0.0,N,0.6,14525,3.7,13868,3.4,15933,83.5,29003,28.8,28.7,29.9
238,"Morgan County, Indiana",25881,72662,81.9,70183,16.6,8880,35.9,20779,5.6,12005,1.3,N,23.6,15661,18680,81479,13.0,45557,29.6,59713,33.6,101976,9.1,72538,12.4,124477,2.3,68328,69698,27456,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,37.9,39.3,27.9
239,"Porter County, Indiana",62986,82284,79.0,84145,16.8,14863,32.3,18975,5.2,11701,0.9,1770,22.7,23661,44021,96495,13.3,56233,34.6,81382,32.2,120363,8.9,83678,8.8,148298,2.3,73651,167791,31692,91.4,32472,3.1,23032,0.1,N,1.2,44963,0.1,N,1.0,18637,3.0,13221,9.8,19935,83.6,33614,27.7,28.6,21.3
240,"St. Joseph County, Indiana",97071,64649,74.3,69431,17.9,15670,32.4,18229,6.5,10603,2.2,2848,17.5,15646,60971,79370,16.0,36151,32.6,68236,31.1,101478,10.2,66951,9.0,121899,1.2,172355,269141,24861,77.7,27345,13.2,16127,0.7,16378,2.4,26704,0.1,N,3.4,15720,2.6,7924,8.6,14782,73.1,28057,37.9,38.4,31.5
241,"Tippecanoe County, Indiana",68405,69541,84.5,67925,19.3,17765,25.1,19037,4.5,9802,1.3,1794,14.4,19253,40194,88264,10.2,51360,34.8,74960,37.5,101279,8.9,100973,7.1,126741,1.4,66802,188059,25998,81.3,28496,5.1,13693,0.1,N,8.2,13315,0.1,N,3.2,20960,1.9,16364,8.2,15270,76.3,29561,28.3,25.7,21.0
242,"Vanderburgh County, Indiana",74968,63945,80.4,59899,18.2,25388,34.1,18025,5.2,9292,3.6,3271,18.8,17954,44081,79463,12.4,39589,38.5,65393,29.8,106406,9.5,60624,7.2,140979,2.6,67152,181721,27129,85.4,29182,8.7,16305,0.2,N,1.1,27503,0.7,N,1.0,7248,3.0,9640,2.6,13658,83.9,29427,27.7,26.5,22.5
243,"Vigo County, Indiana",40328,56349,77.2,54357,20.7,11660,33.9,18790,7.5,9070,2.1,3250,22.8,16072,26116,66736,13.6,37755,38.9,45907,30.4,97371,8.9,61802,6.7,114084,1.4,65164,107931,22484,87.1,23549,6.3,16439,0.4,8695,1.9,26320,0.0,N,0.6,N,3.6,8669,2.6,25532,85.7,23431,39.7,39.7,35.6
244,"Wayne County, Indiana",26538,56553,72.7,57281,17.7,12747,41.5,18313,3.0,10096,4.2,3106,22.0,14768,16785,69049,15.3,39582,35.0,61636,32.7,89328,8.6,52413,5.7,100089,2.6,73713,66568,22702,89.6,23512,4.7,21779,0.0,N,1.1,17675,0.0,N,1.7,8462,2.9,9596,2.8,9065,88.6,23660,34.5,33.5,26.3
245,"Black Hawk County, Iowa",52479,69997,75.9,71504,24.8,21089,30.9,18265,4.8,9436,2.3,1492,19.3,16892,31056,90697,15.2,63149,28.6,87011,37.6,100960,7.7,63277,9.7,123575,1.3,115107,132904,28622,85.3,30080,9.0,16497,0.6,19638,2.5,42121,0.5,N,0.6,23241,1.4,7805,4.3,22844,82.0,30352,33.6,30.8,27.1
246,"Dallas County, Iowa",33180,103298,85.2,100801,24.4,27171,20.8,21922,2.5,8666,1.5,1647,14.7,31967,21544,126359,N,N,N,N,N,N,N,N,N,N,N,N,84516,41688,90.7,42884,1.2,24086,0.1,N,4.2,43284,0.0,N,0.8,24611,3.0,13858,6.0,14915,86.0,44423,31.7,32.6,26.6
247,"Dubuque County, Iowa",37710,82731,80.6,78343,27.7,29797,31.5,20138,3.6,8785,2.5,1464,17.6,19838,25666,100892,14.1,60825,23.9,77829,42.5,122513,5.0,58751,12.9,134213,1.6,89314,97003,32588,93.3,34039,3.6,14418,0.1,N,1.2,14061,0.3,N,0.3,N,1.2,8540,2.3,16177,91.1,34464,35.9,34.3,30.6
248,"Johnson County, Iowa",57217,76500,83.0,76811,28.3,16848,19.3,21044,3.6,8204,2.4,N,10.5,22640,32090,101733,9.9,58280,26.1,81524,46.8,119236,6.0,96964,8.8,118713,2.4,108801,146547,30438,81.6,33431,7.0,10050,0.0,N,6.9,26331,0.0,N,2.7,14853,1.8,13090,5.5,21179,79.2,33516,29.0,29.4,22.3
249,"Linn County, Iowa",89173,82094,81.7,82482,25.1,16942,27.8,19755,4.7,8662,1.4,2248,17.5,20398,55880,101005,12.0,52708,30.1,75375,42.2,124939,5.9,84301,8.6,154593,1.2,82673,221661,33689,89.4,34836,5.5,19391,0.1,N,2.4,41322,0.1,N,0.2,15528,2.2,17538,3.2,23847,86.7,35114,27.7,28.4,22.0
250,"Polk County, Iowa",182537,82405,83.9,82508,22.4,15165,24.6,19376,4.0,10836,2.4,2624,15.1,22888,114299,97733,9.2,55146,29.6,67279,39.8,126506,9.8,83895,9.5,130148,2.1,86152,474045,32885,83.7,35269,6.7,19042,0.3,29509,4.7,27623,0.0,N,1.8,18346,2.8,13640,8.2,15688,78.2,36642,36.2,36.9,31.6
251,"Pottawattamie County, Iowa",36094,75890,78.8,80042,17.8,9184,33.2,19253,5.4,9227,1.5,1853,17.6,16992,23384,90345,12.6,44470,35.2,67311,34.2,112874,7.1,134514,7.7,129385,3.3,92215,93582,30632,94.2,31714,1.9,15149,0.7,10577,0.9,20049,0.0,N,1.4,9210,0.9,10326,7.5,21575,88.1,32210,31.8,31.5,26.0
252,"Scott County, Iowa",66527,74517,76.1,77490,19.1,17316,30.9,18924,4.1,9713,1.2,2321,19.1,23732,43030,91470,16.4,43470,33.2,85734,35.1,115127,5.6,70806,8.1,124891,1.6,84666,172474,29956,85.6,31934,8.6,13664,0.3,29938,2.6,29814,0.0,N,1.3,26415,1.6,15053,6.6,18267,79.7,32967,36.4,35.6,28.4
253,"Story County, Iowa",37350,70682,87.2,67357,27.4,12275,20.1,19901,1.4,11778,1.5,3572,12.2,29026,19711,97262,N,N,N,N,N,N,N,N,N,N,N,N,97090,27937,86.7,29026,1.5,N,0.2,N,8.7,16982,0.0,N,0.4,16564,2.6,11164,3.3,19044,83.9,29335,35.0,29.3,31.8
254,"Woodbury County, Iowa",38637,68021,81.0,68372,19.3,16567,28.9,18228,5.0,10829,2.1,1540,15.1,18494,25631,76266,12.0,35014,35.0,63332,35.3,93471,9.3,74027,6.3,113930,2.2,133145,102779,26376,84.9,28599,3.6,12217,0.7,N,3.1,19524,0.7,N,3.0,14949,4.0,8712,16.0,13413,74.1,30611,37.8,38.7,31.2
255,"Butler County, Kansas",24266,71661,78.6,75355,18.3,8796,32.1,19834,6.9,10278,1.1,1731,18.9,16908,17760,81486,11.0,44962,29.1,63079,33.9,98395,10.5,62236,14.6,117002,1.0,128275,67025,26279,93.4,26196,2.5,12267,1.1,37957,0.4,N,0.1,N,0.1,N,2.4,15812,4.7,N,89.2,26223,33.3,30.9,25.7
256,"Douglas County, Kansas",45572,73186,86.3,70191,23.8,11764,23.5,18539,4.4,7199,1.8,N,14.6,26738,24547,96796,N,N,N,N,N,N,N,N,N,N,N,N,119440,28581,82.0,29722,4.1,21977,1.5,20702,5.2,30053,0.0,N,2.5,22416,4.7,18723,6.1,17618,78.7,30392,27.2,24.9,22.4
257,"Johnson County, Kansas",225606,107288,84.8,105362,29.2,23473,25.7,21276,2.2,9412,0.8,2124,17.1,25135,153710,128967,9.1,81805,28.7,110910,41.7,147158,7.7,108357,10.8,163312,2.1,117849,584451,42329,86.5,44309,4.3,29274,0.2,29149,4.7,39702,0.1,N,1.0,18695,3.1,18630,7.5,21570,80.4,45974,26.2,25.8,20.2
258,"Leavenworth County, Kansas",27174,85412,79.2,82812,20.1,20316,27.9,19907,4.5,8512,1.3,N,26.2,28761,19865,96411,14.8,N,31.8,N,38.2,N,7.1,N,7.5,N,0.5,N,80204,31165,80.8,33414,9.3,20648,0.6,13470,2.1,22898,0.4,N,3.9,22054,2.9,12673,6.9,19995,79.0,33739,29.5,32.1,24.7
259,"Riley County, Kansas",25523,68478,84.5,61769,21.7,22233,17.6,21588,6.1,9652,0.6,N,15.1,37443,13674,95186,N,N,N,N,N,N,N,N,N,N,N,N,73343,26250,82.1,27862,6.0,19034,0.2,N,5.2,23093,0.4,N,1.4,N,4.7,15051,7.8,17550,76.7,28474,25.1,18.8,19.6
260,"Sedgwick County, Kansas",195815,68980,79.4,70658,19.4,12963,28.0,19138,3.9,9139,2.1,3449,17.6,21146,121911,84182,13.3,48936,31.0,65004,35.2,105269,8.4,74834,9.7,126022,2.5,81801,511995,27077,78.2,29520,8.3,18654,0.9,28201,4.1,25232,0.0,N,3.7,16203,4.8,11540,14.4,15726,68.4,31510,34.6,35.4,28.6
261,"Shawnee County, Kansas",70101,71877,74.8,74258,24.6,12585,35.3,18971,5.7,9870,2.5,2548,22.9,21505,43383,89312,15.7,53507,28.4,77288,36.6,104151,6.9,61563,10.6,140702,1.8,92463,178146,29071,80.5,31851,8.4,19561,1.0,14616,1.3,22526,0.1,N,5.2,15595,3.5,15132,12.0,16695,74.2,32916,35.8,37.1,31.4
262,"Wyandotte County, Kansas",58524,53676,80.3,54163,10.2,13078,27.0,17491,6.5,9417,1.9,1886,13.0,21572,38029,60870,12.3,32915,37.4,42142,22.7,85388,14.0,68460,8.4,96814,5.2,76470,163831,20084,58.9,23264,22.8,17976,0.8,16578,3.7,13435,0.0,N,9.4,14082,4.4,7600,28.3,14514,41.1,26726,39.6,41.5,30.1
263,"Boone County, Kentucky",46849,92690,83.5,92093,18.9,25580,27.3,19552,5.2,8649,1.3,3126,17.8,25094,36011,101056,11.0,56263,30.7,84073,35.4,122696,8.7,91434,11.0,133174,3.2,94217,128536,33961,91.0,35180,2.3,15941,0.3,N,2.7,29277,0.0,N,1.1,23565,2.6,15636,4.2,20889,88.1,35685,35.1,36.2,28.0
264,"Bullitt County, Kentucky",29037,77718,77.3,80990,17.4,10669,32.5,19054,8.2,8541,0.8,N,21.7,21681,20407,81593,13.0,51446,26.4,60151,31.8,103183,15.1,65033,11.6,123667,2.1,96980,79151,29998,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36.5,39.9,31.3
265,"Campbell County, Kentucky",36461,78640,79.1,83048,19.5,7521,30.6,16463,4.6,7654,3.1,2839,21.4,24672,24524,92665,15.4,37044,30.6,64623,35.6,130693,7.5,76763,8.3,141445,2.5,122562,92211,32210,93.9,33259,3.9,12567,0.1,N,0.6,42114,0.0,N,0.3,N,1.2,8619,1.9,15857,92.3,33604,30.8,31.7,23.0
266,"Christian County, Kentucky",25121,52430,75.8,52586,13.7,16100,31.2,15134,11.2,9783,1.9,520,13.3,24286,17066,59105,N,N,N,N,N,N,N,N,N,N,N,N,72351,20204,71.3,22264,23.2,15912,0.3,N,0.6,19981,0.6,N,1.7,N,2.3,7854,7.6,17570,65.9,22340,43.4,38.9,28.0
267,"Daviess County, Kentucky",39629,69426,73.4,72667,17.5,23130,34.5,17346,8.5,8691,1.5,1784,23.0,19005,25441,87131,16.3,38408,33.9,72096,34.3,111811,7.2,77854,7.3,157956,1.0,93444,99674,27567,91.4,28117,5.1,21356,0.0,N,1.6,46287,0.0,N,0.2,N,1.7,1925,2.9,7078,88.7,28783,32.7,31.7,24.8
268,"Fayette County, Kentucky",127137,77827,83.6,74948,21.4,23071,23.1,18157,4.1,9586,1.4,3979,15.8,28780,73616,98239,10.4,68254,31.8,73167,39.1,124211,9.9,83956,6.2,135340,2.7,99372,318449,32166,75.0,36593,14.5,18132,0.3,28738,3.7,26556,0.1,N,3.2,12424,3.2,18851,6.9,15796,71.0,37627,25.4,25.1,21.2
269,"Hardin County, Kentucky",39684,67497,76.5,67187,16.2,6796,29.5,16531,10.5,9938,1.7,3680,25.4,25440,26384,80692,13.7,44293,35.5,62255,28.8,110950,10.4,69259,9.6,120036,1.9,94416,107316,26698,78.5,28622,12.6,22792,0.2,N,1.7,30710,0.3,N,1.9,11389,4.9,11731,5.4,26019,76.2,28235,30.4,31.9,25.9
270,"Jefferson County, Kentucky",314161,73595,77.8,75016,18.2,18674,31.0,17888,6.1,9903,1.9,2455,19.4,23020,184771,91451,14.8,45050,33.8,74772,31.6,124051,10.7,79275,7.3,129768,1.8,129880,765352,31165,72.0,35275,21.6,19309,0.2,40161,2.7,34805,0.1,33079,0.7,23831,2.7,13801,5.1,18815,68.2,36211,32.8,33.1,26.5
271,"Kenton County, Kentucky",63609,75830,80.5,78618,17.8,13468,28.7,18699,6.7,10282,2.0,3444,15.9,20736,41291,88476,13.6,42183,29.6,62279,34.5,120270,9.7,82772,9.2,128795,3.5,86704,164945,30074,90.6,31207,4.4,17264,0.1,33406,1.2,56217,0.0,N,1.0,14723,2.7,7190,3.1,25095,88.7,31148,36.0,33.6,27.5
272,"McCracken County, Kentucky",28416,58737,70.5,61585,20.7,11561,40.7,16620,7.6,8049,3.6,4768,21.0,20805,16391,76081,N,N,N,N,N,N,N,N,N,N,N,N,65162,26694,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,43.0,39.0,33.5
273,"Madison County, Kentucky",33633,57059,79.1,55663,15.8,16268,29.7,17411,5.8,9543,2.6,1888,19.5,18626,22007,66945,16.6,29457,43.0,49245,27.9,107197,6.7,73898,4.3,113567,1.5,74804,89547,22088,91.5,22373,5.0,22180,0.2,N,1.2,21740,0.0,N,0.5,N,1.7,9349,2.3,12592,89.4,22592,27.3,28.0,22.3
