Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Indian River County, Florida",151563,*****,221,4906,2604
"Lake County, Florida",335396,*****,501,6294,1617
"Lee County, Florida",722336,*****,1229,10517,2561
"Leon County, Florida",287822,*****,244,7618,2524
"Manatee County, Florida",375888,*****,1186,4926,1596
"Marion County, Florida",349020,*****,1804,8910,2154
"Martin County, Florida",158701,*****,414,1863,940
"Miami-Dade County, Florida",2712945,*****,3201,28646,4668
"Monroe County, Florida",79077,*****,39,273,230
"Okaloosa County, Florida",201170,*****,233,9609,1665
"Orange County, Florida",1314367,*****,3686,32570,5599
"Osceola County, Florida",336015,*****,3043,9188,3281
"Palm Beach County, Florida",1443810,*****,1893,24721,4824
"Pasco County, Florida",512368,*****,792,10152,1752
"Pinellas County, Florida",960730,*****,1261,23709,4256
"Polk County, Florida",666149,*****,1220,12911,3000
"St. Johns County, Florida",235087,*****,544,4192,1487
"St. Lucie County, Florida",306507,*****,1460,4674,1972
"Santa Rosa County, Florida",170497,*****,136,6956,2155
"Sarasota County, Florida",412569,*****,435,6964,1835
"Seminole County, Florida",455479,*****,1266,13852,3209
"Sumter County, Florida",123996,*****,535,2446,1108
"Volusia County, Florida",529364,*****,510,11443,2948
"Walton County, Florida",65889,*****,189,1666,643
"Barrow County, Georgia",77126,*****,508,1567,676
"Bartow County, Georgia",103807,*****,1174,1047,645
"Bibb County, Georgia",152760,*****,346,3887,1997
"Bulloch County, Georgia",74722,*****,296,1768,861
"Carroll County, Georgia",116261,*****,261,2152,1381
"Chatham County, Georgia",289082,*****,569,10160,2767
"Cherokee County, Georgia",241689,*****,528,4231,1467
"Clarke County, Georgia",124707,*****,248,2167,810
"Clayton County, Georgia",279462,*****,686,7657,3495
"Cobb County, Georgia",748150,*****,1950,21885,4224
"Columbia County, Georgia",147450,*****,253,5175,2021
"Coweta County, Georgia",140526,*****,160,3895,1381
"DeKalb County, Georgia",740321,*****,1505,12893,2352
"Dougherty County, Georgia",90017,*****,44,1589,1082
"Douglas County, Georgia",142224,*****,480,1915,957
"Fayette County, Georgia",111627,*****,777,2916,1516
"Floyd County, Georgia",96560,*****,184,2002,868
"Forsyth County, Georgia",221009,*****,612,4009,1416
"Fulton County, Georgia",1023336,*****,1714,26860,4868
"Glynn County, Georgia",84502,*****,353,1999,1275
"Gwinnett County, Georgia",907135,*****,3200,20517,4120
"Hall County, Georgia",196637,*****,674,3667,1830
"Henry County, Georgia",221768,*****,1320,4905,2176
"Houston County, Georgia",152122,*****,1213,4890,1869
"Liberty County, Georgia",62570,*****,751,3358,1297
"Lowndes County, Georgia",114628,*****,265,1277,912
"Muscogee County, Georgia",197485,*****,1846,7579,2795
"Paulding County, Georgia",155825,*****,457,2373,1065
"Richmond County, Georgia",201647,*****,174,2518,1232
"Rockdale County, Georgia",89355,*****,198,851,660
"Troup County, Georgia",70005,*****,497,862,550
"Walton County, Georgia",90184,*****,12,592,471
"Whitfield County, Georgia",104589,*****,299,1136,912
"Hawaii County, Hawaii",198449,*****,631,54328,4874
"Honolulu County, Hawaii",992605,*****,1584,228948,10552
"Kauai County, Hawaii",72029,*****,179,17235,2751
"Maui County, Hawaii",165379,53,693,31970,4348
"Ada County, Idaho",444028,*****,1614,11821,2461
"Bannock County, Idaho",84377,*****,246,2135,979
"Bonneville County, Idaho",112232,*****,431,2391,667
"Canyon County, Idaho",211698,*****,863,4333,1473
"Kootenai County, Idaho",154311,*****,207,2882,903
"Twin Falls County, Idaho",83514,*****,268,784,531
"Champaign County, Illinois",208419,*****,223,5810,1389
"Cook County, Illinois",5203499,*****,4842,97529,7494
"DeKalb County, Illinois",104528,*****,202,3037,1114
"DuPage County, Illinois",929368,*****,2421,19508,3001
"Kane County, Illinois",531715,*****,1859,7584,2015
"Kankakee County, Illinois",110008,*****,610,954,701
"Kendall County, Illinois",124695,*****,1934,1943,1176
"Lake County, Illinois",703047,*****,1372,14953,2670
"LaSalle County, Illinois",110642,*****,92,1504,563
"McHenry County, Illinois",307004,*****,85,6067,1696
"McLean County, Illinois",172418,*****,938,3416,999
"Macon County, Illinois",106550,*****,168,7907,1565
"Madison County, Illinois",265759,*****,143,4009,1286
"Peoria County, Illinois",185006,*****,406,5074,1860
"Rock Island County, Illinois",144784,*****,1299,4439,1240
"St. Clair County, Illinois",262759,*****,416,6694,2418
"Sangamon County, Illinois",197499,*****,320,4318,1032
"Tazewell County, Illinois",134385,*****,421,1443,804
"Vermilion County, Illinois",78111,*****,52,1397,1048
"Will County, Illinois",689529,*****,1192,16475,2877
"Winnebago County, Illinois",285873,*****,484,9595,2292
"Allen County, Indiana",370404,*****,424,11010,2046
"Bartholomew County, Indiana",81402,*****,405,1273,482
"Clark County, Indiana",116031,*****,192,5597,1217
"Delaware County, Indiana",115603,*****,237,2105,924
"Elkhart County, Indiana",203781,*****,380,4280,1283
"Floyd County, Indiana",76990,*****,286,1780,650
"Grant County, Indiana",66937,*****,231,1686,873
"Hamilton County, Indiana",316373,*****,641,7571,1756
"Hendricks County, Indiana",160610,*****,432,1477,958
"Howard County, Indiana",82568,*****,95,1081,715
"Johnson County, Indiana",151982,*****,897,458,367
"Kosciusko County, Indiana",79092,*****,192,1040,348
"Lake County, Indiana",485846,*****,1655,8466,1664
"LaPorte County, Indiana",110015,*****,688,2240,979
"Madison County, Indiana",129296,*****,320,4247,1420
"Marion County, Indiana",941229,*****,1676,29225,4804
"Monroe County, Indiana",145496,*****,195,5204,1309
"Porter County, Indiana",167791,*****,530,4240,1198
"St. Joseph County, Indiana",269141,*****,380,6643,1948
"Tippecanoe County, Indiana",188059,*****,461,3181,1505
"Vanderburgh County, Indiana",181721,*****,294,5124,1376
"Vigo County, Indiana",107931,*****,199,3571,1145
"Wayne County, Indiana",66568,*****,192,1918,715
"Black Hawk County, Iowa",132904,*****,82,1760,698
"Dallas County, Iowa",84516,*****,177,2454,988
"Dubuque County, Iowa",97003,*****,109,1070,534
"Johnson County, Iowa",146547,*****,283,2304,843
"Linn County, Iowa",221661,*****,261,4771,1288
"Polk County, Iowa",474045,*****,710,12209,1974
"Pottawattamie County, Iowa",93582,*****,159,839,579
"Scott County, Iowa",172474,*****,577,2283,1067
"Story County, Iowa",97090,*****,84,2496,1001
"Woodbury County, Iowa",102779,*****,628,3631,873
"Butler County, Kansas",67025,*****,229,1488,534
"Douglas County, Kansas",119440,*****,236,5324,1312
"Johnson County, Kansas",584451,*****,602,17415,2443
"Leavenworth County, Kansas",80204,*****,662,1639,734
"Riley County, Kansas",73343,*****,502,3048,1399
"Sedgwick County, Kansas",511995,*****,860,22507,3325
"Shawnee County, Kansas",178146,*****,568,5634,1616
"Wyandotte County, Kansas",163831,*****,920,6157,2135
"Boone County, Kentucky",128536,*****,190,3345,1761
"Campbell County, Kentucky",92211,*****,190,1071,336
"Christian County, Kentucky",72351,*****,190,1669,850
"Daviess County, Kentucky",99674,*****,190,1670,615
"Fayette County, Kentucky",318449,*****,755,8715,1904
"Hardin County, Kentucky",107316,*****,91,5182,1396
"Jefferson County, Kentucky",765352,*****,678,18632,2878
"Kenton County, Kentucky",164945,*****,356,4182,1085
"Madison County, Kentucky",89547,*****,251,1344,772
"Oldham County, Kentucky",65560,*****,87,1938,541
"Warren County, Kentucky",125532,*****,629,2019,1285
"Bossier Parish, Louisiana",126057,*****,425,2280,799
"Caddo Parish, Louisiana",248851,*****,262,3352,1324
"Calcasieu Parish, Louisiana",200601,*****,348,3975,1740
"East Baton Rouge Parish, Louisiana",447037,*****,291,7209,1604
"Iberia Parish, Louisiana",73273,*****,240,1800,1087
"Jefferson Parish, Louisiana",436523,*****,1517,6548,1924
"Lafayette Parish, Louisiana",241398,*****,204,5081,2160
"Lafourche Parish, Louisiana",98305,*****,114,1581,754
"Orleans Parish, Louisiana",391495,*****,291,6859,1343
"Ouachita Parish, Louisiana",156983,*****,313,1363,750
"Rapides Parish, Louisiana",132424,*****,164,2522,921
"St. Tammany Parish, Louisiana",253602,*****,403,5705,2203
"Tangipahoa Parish, Louisiana",130710,*****,256,3659,1655
"Terrebonne Parish, Louisiana",113220,*****,95,1989,850
"Androscoggin County, Maine",107319,*****,172,3548,954
"Aroostook County, Maine",67959,*****,172,1282,369
"Cumberland County, Maine",292041,*****,329,6839,1770
"Kennebec County, Maine",120569,*****,166,1553,575
"Penobscot County, Maine",151806,*****,72,3621,697
"York County, Maine",202343,*****,172,1523,930
"Allegany County, Maryland",72130,*****,123,974,306
"Anne Arundel County, Maryland",568346,*****,1089,23424,3724
"Baltimore County, Maryland",831026,*****,1382,19256,3775
"Calvert County, Maryland",91251,*****,391,2733,1273
"Carroll County, Maryland",167656,*****,1296,2605,893
"Cecil County, Maryland",102603,*****,98,2226,904
"Charles County, Maryland",157705,*****,168,8452,2950
"Frederick County, Maryland",247591,*****,573,5233,1368
"Harford County, Maryland",251032,*****,1311,8809,1849
"Howard County, Maryland",317233,*****,521,11826,2429
"Montgomery County, Maryland",1043863,*****,2132,37218,4968
"Prince George's County, Maryland",908049,*****,2177,24139,4072
"Washington County, Maryland",150292,*****,235,4965,1336
"Wicomico County, Maryland",102577,*****,157,2747,1081
"Baltimore city, Maryland",614664,*****,463,13394,2864
"Barnstable County, Massachusetts",214276,*****,1362,3725,1287
"Berkshire County, Massachusetts",126903,*****,361,2812,1147
"Bristol County, Massachusetts",558324,*****,1486,9808,1829
"Essex County, Massachusetts",779018,*****,1063,17679,3380
"Franklin County, Massachusetts",70382,*****,200,1958,616
"Hampden County, Massachusetts",468467,*****,1855,10413,2880
"Hampshire County, Massachusetts",161816,*****,762,4797,1167
"Middlesex County, Massachusetts",1589774,*****,1566,34442,3800
"Norfolk County, Massachusetts",697181,*****,740,15120,3080
"Plymouth County, Massachusetts",513565,*****,914,8312,1662
"Suffolk County, Massachusetts",784230,*****,1676,54538,7280
"Worcester County, Massachusetts",819589,*****,1535,16485,2120
"Allegan County, Michigan",115548,*****,843,2791,613
"Bay County, Michigan",104747,*****,207,1945,549
"Berrien County, Michigan",154010,*****,534,4785,1289
"Calhoun County, Michigan",134386,*****,158,6041,1625
"Clinton County, Michigan",77888,*****,107,1440,383
"Eaton County, Michigan",109160,*****,478,3817,1153
"Genesee County, Michigan",408615,*****,677,13034,2440
"Grand Traverse County, Michigan",92084,*****,139,1893,760
"Ingham County, Michigan",288051,*****,878,13417,2489
"Isabella County, Michigan",71282,*****,100,3849,765
"Jackson County, Michigan",158460,*****,250,3512,1044
"Kalamazoo County, Michigan",261654,*****,488,11040,2131
"Kent County, Michigan",642173,*****,1146,23093,3618
"Lapeer County, Michigan",88340,*****,386,1303,396
"Lenawee County, Michigan",98504,*****,373,1916,578
"Livingston County, Michigan",188624,*****,92,2448,564
"Macomb County, Michigan",867730,*****,506,20379,2902
"Marquette County, Michigan",66435,*****,147,2646,342
"Midland County, Michigan",83462,*****,503,1752,705
"Monroe County, Michigan",149208,*****,142,1794,865
"Muskegon County, Michigan",173408,*****,605,5668,1464
"Oakland County, Michigan",1243970,*****,828,38044,5154
"Ottawa County, Michigan",282250,*****,732,8230,1218
"Saginaw County, Michigan",192326,*****,565,4856,1577
"St. Clair County, Michigan",159587,*****,459,3708,852
"Shiawassee County, Michigan",68554,*****,77,1247,226
"Van Buren County, Michigan",75223,*****,997,2584,475
"Washtenaw County, Michigan",364709,*****,419,16102,3360
"Wayne County, Michigan",1749366,*****,2245,42463,6054
"Anoka County, Minnesota",345957,*****,814,10155,2204
"Blue Earth County, Minnesota",66441,*****,131,1544,845
"Carver County, Minnesota",100262,*****,297,1124,619
"Dakota County, Minnesota",417486,*****,726,12609,1955
"Hennepin County, Minnesota",1232483,*****,1183,39844,4410
"Olmsted County, Minnesota",153102,*****,224,2692,1134
"Ramsey County, Minnesota",540649,*****,990,24764,3868
"Rice County, Minnesota",65622,*****,248,1416,1020
