Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Hamilton County, Ohio",809099,*****,434,22356,3897
"Hancock County, Ohio",75872,*****,519,1667,407
"Lake County, Ohio",228614,*****,403,4819,1646
"Licking County, Ohio",172198,*****,189,4265,1209
"Lorain County, Ohio",306365,*****,1596,8943,1936
"Lucas County, Ohio",432488,*****,1516,14618,2246
"Mahoning County, Ohio",230008,*****,346,6762,2087
"Medina County, Ohio",177221,*****,159,3135,664
"Miami County, Ohio",104679,*****,142,2009,791
"Montgomery County, Ohio",531239,*****,247,16137,2416
"Portage County, Ohio",161921,*****,70,3562,1017
"Richland County, Ohio",121107,*****,320,2168,753
"Stark County, Ohio",373612,*****,561,11409,2141
"Summit County, Ohio",540300,*****,448,15289,2590
"Trumbull County, Ohio",201825,*****,163,4397,1587
"Warren County, Ohio",227063,*****,25,2797,1126
"Wayne County, Ohio",116470,*****,84,1801,611
"Wood County, Ohio",130219,*****,349,2186,817
"Canadian County, Oklahoma",136532,*****,568,6190,1411
"Cleveland County, Oklahoma",278655,*****,443,18485,2276
"Comanche County, Oklahoma",122136,*****,493,10042,1692
"Creek County, Oklahoma",71312,*****,159,4138,906
"Muskogee County, Oklahoma",69477,*****,120,6471,1525
"Oklahoma County, Oklahoma",782970,*****,1106,47401,4415
"Payne County, Oklahoma",81131,*****,161,3656,1049
"Pottawatomie County, Oklahoma",72290,*****,376,3283,814
"Rogers County, Oklahoma",91766,*****,129,8895,1173
"Tulsa County, Oklahoma",642940,*****,802,49940,3382
"Wagoner County, Oklahoma",77679,*****,477,6979,1112
"Benton County, Oregon",89385,*****,201,3531,937
"Clackamas County, Oregon",408062,*****,466,16014,2742
"Deschutes County, Oregon",181307,*****,677,5412,949
"Douglas County, Oregon",108457,*****,207,4733,726
"Jackson County, Oregon",216527,*****,522,7883,1976
"Josephine County, Oregon",85904,*****,539,1417,841
"Klamath County, Oregon",66443,*****,201,2725,1001
"Lane County, Oregon",369519,*****,630,18450,2214
"Linn County, Oregon",122849,*****,129,4260,876
"Marion County, Oregon",336316,*****,896,29248,5759
"Multnomah County, Oregon",799766,*****,775,39472,4134
"Polk County, Oregon",81823,*****,503,2369,922
"Umatilla County, Oregon",76456,*****,392,3823,905
"Washington County, Oregon",582779,*****,2879,29302,4300
"Yamhill County, Oregon",105035,*****,665,4763,1074
"Adams County, Pennsylvania",102180,*****,164,2360,531
"Allegheny County, Pennsylvania",1225365,*****,1524,35548,4591
"Beaver County, Pennsylvania",167429,*****,190,4722,1400
"Berks County, Pennsylvania",414812,*****,1156,25532,4440
"Blair County, Pennsylvania",124650,*****,187,1435,529
"Bucks County, Pennsylvania",626399,*****,1526,11838,2413
"Butler County, Pennsylvania",186847,*****,41,2082,768
"Cambria County, Pennsylvania",134732,*****,313,3669,1087
"Centre County, Pennsylvania",161464,*****,1218,2815,912
"Chester County, Pennsylvania",516312,*****,1188,10521,2356
"Clearfield County, Pennsylvania",80596,*****,113,391,382
"Columbia County, Pennsylvania",66420,*****,145,503,345
"Crawford County, Pennsylvania",86257,*****,298,1230,319
"Cumberland County, Pennsylvania",248506,*****,949,3753,1279
"Dauphin County, Pennsylvania",273707,*****,169,6059,1677
"Delaware County, Pennsylvania",563402,*****,529,12275,2188
"Erie County, Pennsylvania",276207,*****,360,6146,1440
"Fayette County, Pennsylvania",132733,*****,70,3597,804
"Franklin County, Pennsylvania",153851,*****,253,1544,1054
"Indiana County, Pennsylvania",86364,*****,119,704,481
"Lackawanna County, Pennsylvania",211321,*****,99,4817,1720
"Lancaster County, Pennsylvania",538500,*****,834,11247,1875
"Lawrence County, Pennsylvania",87294,*****,107,1208,510
"Lebanon County, Pennsylvania",138863,*****,1404,1316,753
"Lehigh County, Pennsylvania",363147,*****,1353,8653,1995
"Luzerne County, Pennsylvania",316383,*****,874,4539,1194
"Lycoming County, Pennsylvania",115248,*****,202,2452,887
"Mercer County, Pennsylvania",112913,*****,64,2112,751
"Monroe County, Pennsylvania",166098,*****,1015,4172,1907
"Montgomery County, Pennsylvania",821725,*****,993,19596,2615
"Northampton County, Pennsylvania",302294,*****,816,8241,3196
"Northumberland County, Pennsylvania",92541,*****,171,918,420
"Philadelphia County, Pennsylvania",1567872,*****,3221,40387,5480
"Schuylkill County, Pennsylvania",143573,*****,340,1534,801
"Somerset County, Pennsylvania",75061,*****,115,689,229
"Washington County, Pennsylvania",207981,*****,36,3916,1024
"Westmoreland County, Pennsylvania",355458,*****,201,4417,1102
"York County, Pennsylvania",443744,*****,428,9667,2137
"Kent County, Rhode Island",164614,*****,157,4253,1437
"Newport County, Rhode Island",82784,*****,412,1646,890
"Providence County, Rhode Island",633673,*****,2142,18425,3266
"Washington County, Rhode Island",126288,*****,55,1268,516
"Aiken County, South Carolina",167458,*****,139,3163,1696
"Anderson County, South Carolina",196569,*****,96,3126,1064
"Beaufort County, South Carolina",183149,*****,483,3709,1301
"Berkeley County, South Carolina",210898,*****,98,5766,1426
"Charleston County, South Carolina",396484,*****,224,6989,2254
"Dorchester County, South Carolina",153773,*****,163,5709,2391
"Florence County, South Carolina",138742,*****,47,1514,881
"Greenville County, South Carolina",498766,*****,538,9061,2381
"Greenwood County, South Carolina",70133,*****,69,839,1098
"Horry County, South Carolina",322342,*****,786,3433,1445
"Lancaster County, South Carolina",89594,*****,207,574,560
"Laurens County, South Carolina",66777,*****,356,1707,845
"Lexington County, South Carolina",286196,*****,320,7349,1842
"Oconee County, South Carolina",76355,*****,191,1674,670
"Orangeburg County, South Carolina",87903,*****,207,1384,900
"Pickens County, South Carolina",122863,*****,227,1461,805
"Richland County, South Carolina",409549,*****,445,10970,2551
"Spartanburg County, South Carolina",301463,*****,492,6709,1856
"Sumter County, South Carolina",107396,*****,370,1978,1302
"York County, South Carolina",258526,*****,590,5506,1977
"Minnehaha County, South Dakota",187318,*****,409,4765,1453
"Pennington County, South Dakota",109372,*****,733,4439,1448
"Anderson County, Tennessee",75936,*****,204,1413,764
"Blount County, Tennessee",128670,*****,223,2847,1091
"Bradley County, Tennessee",104490,*****,204,1333,853
"Davidson County, Tennessee",684410,*****,808,15092,3040
"Greene County, Tennessee",68615,*****,466,1303,901
"Hamilton County, Tennessee",357738,*****,865,6723,1930
"Knox County, Tennessee",456132,*****,360,7718,1734
"Madison County, Tennessee",97663,*****,169,971,504
"Maury County, Tennessee",89981,*****,338,2121,1128
"Montgomery County, Tennessee",195734,*****,531,6088,1457
"Putnam County, Tennessee",75931,*****,204,1768,1018
"Robertson County, Tennessee",69165,*****,204,1254,623
"Rutherford County, Tennessee",308251,*****,815,9140,2021
"Sevier County, Tennessee",96673,*****,79,2610,818
"Shelby County, Tennessee",934603,*****,689,16624,3860
"Sullivan County, Tennessee",156667,*****,236,3141,956
"Sumner County, Tennessee",180063,*****,429,3044,1212
"Washington County, Tennessee",127440,*****,204,2211,1038
"Williamson County, Tennessee",219107,*****,828,3638,1057
"Wilson County, Tennessee",132781,*****,45,1451,769
"Angelina County, Texas",87791,*****,117,519,513
"Bastrop County, Texas",82733,*****,852,997,1116
"Bell County, Texas",340411,*****,522,18097,2907
"Bexar County, Texas",1928680,*****,2523,41290,4075
"Bowie County, Texas",93860,*****,156,2331,1136
"Brazoria County, Texas",354195,*****,455,6794,2232
"Brazos County, Texas",220417,*****,287,7826,3270
"Cameron County, Texas",422135,*****,879,1160,727
"Collin County, Texas",939585,*****,2054,25900,4207
"Comal County, Texas",134788,*****,394,1652,442
"Coryell County, Texas",74686,*****,243,8703,1876
"Dallas County, Texas",2574984,*****,3848,56059,6057
"Denton County, Texas",806180,*****,2562,27116,3692
"Ector County, Texas",157462,*****,368,3416,1452
"Ellis County, Texas",168499,*****,521,5144,1715
"El Paso County, Texas",837918,*****,2322,14958,4742
"Fort Bend County, Texas",741237,*****,3409,11805,3378
"Galveston County, Texas",329431,*****,221,6162,2226
"Grayson County, Texas",128235,*****,164,5249,1297
"Gregg County, Texas",123745,*****,229,2068,1030
"Guadalupe County, Texas",155265,*****,504,3890,1087
"Harris County, Texas",4589928,*****,4102,81651,8741
"Hays County, Texas",204470,*****,481,3653,1288
"Henderson County, Texas",79901,*****,16,1607,842
"Hidalgo County, Texas",849843,*****,3574,2772,1403
"Hunt County, Texas",92073,*****,62,697,402
"Jefferson County, Texas",254679,*****,491,2144,900
"Johnson County, Texas",163274,*****,760,2650,932
"Kaufman County, Texas",118350,*****,345,1785,484
"Liberty County, Texas",81704,*****,113,409,329
"Lubbock County, Texas",303137,*****,643,5163,1555
"McLennan County, Texas",247934,*****,679,4380,1142
"Midland County, Texas",162565,*****,991,2108,1165
"Montgomery County, Texas",556203,*****,930,12130,4138
"Nueces County, Texas",361350,*****,1016,3616,1243
"Orange County, Texas",84964,*****,75,777,442
"Parker County, Texas",129441,*****,438,1436,787
"Potter County, Texas",120832,*****,480,4088,1824
"Randall County, Texas",132501,*****,426,2579,1193
"Rockwall County, Texas",93978,*****,160,2961,1439
"San Patricio County, Texas",67655,*****,221,1202,584
"Smith County, Texas",225290,*****,614,3089,1265
"Tarrant County, Texas",2016872,*****,2418,56820,5903
"Taylor County, Texas",136535,*****,821,2815,1310
"Tom Green County, Texas",118386,*****,216,1642,408
"Travis County, Texas",1199323,*****,1855,34918,5523
"Victoria County, Texas",92467,*****,347,499,388
"Webb County, Texas",271193,*****,258,1628,1402
"Wichita County, Texas",131838,*****,1332,4331,1414
"Williamson County, Texas",528718,*****,1630,19502,3798
"Cache County, Utah",122753,*****,212,2183,951
"Davis County, Utah",342281,*****,1549,8330,1801
"Salt Lake County, Utah",1121354,*****,1664,30656,3785
"Utah County, Utah",592299,*****,514,16080,1900
"Washington County, Utah",160245,*****,1259,2576,854
"Weber County, Utah",247560,*****,674,6391,1655
"Chittenden County, Vermont",161531,*****,290,3242,1232
"Albemarle County, Virginia",106878,*****,138,2464,895
"Arlington County, Virginia",230050,*****,454,8295,1827
"Bedford County, Virginia",77960,*****,584,917,556
"Chesterfield County, Virginia",339009,*****,428,10117,2289
"Fairfax County, Virginia",1138652,*****,1802,43266,4106
"Fauquier County, Virginia",69069,*****,908,1608,631
"Frederick County, Virginia",84421,*****,146,2556,1016
"Hanover County, Virginia",104392,*****,279,2945,722
"Henrico County, Virginia",326501,*****,606,9664,2245
"James City County, Virginia",74404,*****,704,3157,1351
"Loudoun County, Virginia",385945,*****,963,16220,3251
"Montgomery County, Virginia",98602,*****,559,2336,1195
"Prince William County, Virginia",455210,*****,1617,19931,2991
"Roanoke County, Virginia",94031,*****,83,1364,836
"Rockingham County, Virginia",79744,*****,201,1217,560
"Spotsylvania County, Virginia",132010,*****,333,4038,1099
"Stafford County, Virginia",144361,*****,915,5744,1878
"York County, Virginia",67976,*****,485,2104,934
"Alexandria city, Virginia",155810,*****,1535,5269,2155
"Chesapeake city, Virginia",237940,*****,226,8906,2165
"Hampton city, Virginia",135410,*****,315,4180,1765
"Lynchburg city, Virginia",80212,*****,75,2185,1280
"Newport News city, Virginia",181825,*****,1035,11014,2387
"Norfolk city, Virginia",245115,*****,765,8733,2083
"Portsmouth city, Virginia",95252,*****,201,3096,1035
"Richmond city, Virginia",223170,*****,444,7961,2517
"Roanoke city, Virginia",99660,*****,338,1467,728
"Suffolk city, Virginia",89273,*****,358,3199,1323
"Virginia Beach city, Virginia",452602,*****,1123,23369,3907
"Benton County, Washington",193686,*****,983,4937,1628
"Chelan County, Washington",76338,*****,198,2749,1918
"Clallam County, Washington",74570,*****,198,3100,749
"Clark County, Washington",467018,*****,891,18959,2017
"Cowlitz County, Washington",105160,*****,258,5223,977
"Franklin County, Washington",90160,*****,900,2708,1329
"Grant County, Washington",93546,*****,1554,2965,1184
"Grays Harbor County, Washington",71628,*****,380,2821,894
"Island County, Washington",82636,*****,222,3695,967
"King County, Washington",2149970,*****,1932,129041,9252
"Kitsap County, Washington",264811,*****,1239,19764,2578
"Lewis County, Washington",77066,*****,587,2378,779
"Pierce County, Washington",861312,*****,907,68667,6442
"Skagit County, Washington",123681,*****,575,3689,700
"Snohomish County, Washington",787620,*****,1612,40255,3900
"Spokane County, Washington",499072,*****,1071,19533,2927
"Thurston County, Washington",275222,*****,728,14666,1881
"Whatcom County, Washington",216800,*****,412,8297,1732
"Yakima County, Washington",249636,*****,1218,6284,1880
"Berkeley County, West Virginia",113525,*****,316,1441,664
"Cabell County, West Virginia",95987,*****,168,1935,993
"Kanawha County, West Virginia",186241,*****,81,5608,1720
"Monongalia County, West Virginia",104622,*****,256,2083,962
"Raleigh County, West Virginia",76601,*****,105,2463,859
"Brown County, Wisconsin",260401,*****,2106,6372,1681
"Dane County, Wisconsin",531273,*****,960,15845,2708
"Dodge County, Wisconsin",88068,*****,147,854,424
"Eau Claire County, Wisconsin",102965,*****,106,1555,684
"Fond du Lac County, Wisconsin",102144,*****,175,2079,733
"Jefferson County, Wisconsin",84625,*****,340,1866,626
"Kenosha County, Wisconsin",168183,*****,1380,4228,1362
"La Crosse County, Wisconsin",118122,*****,305,2963,1106
"Manitowoc County, Wisconsin",79536,*****,229,1450,652
"Marathon County, Wisconsin",135603,*****,90,2449,562
"Milwaukee County, Wisconsin",951448,*****,1371,32009,3810
"Outagamie County, Wisconsin",184526,*****,400,3141,1057
"Ozaukee County, Wisconsin",88314,*****,458,1141,727
"Portage County, Wisconsin",70447,*****,509,1248,611
"Racine County, Wisconsin",195140,*****,773,5115,2296
"Rock County, Wisconsin",161620,*****,375,4164,1223
"St. Croix County, Wisconsin",88029,*****,18,1304,462
"Sheboygan County, Wisconsin",115427,*****,54,1949,693
"Walworth County, Wisconsin",102959,*****,409,1559,473
"Washington County, Wisconsin",134296,*****,212,1334,717
"Waukesha County, Wisconsin",398424,*****,477,4827,1666
"Winnebago County, Wisconsin",169886,*****,95,2584,796
"Wood County, Wisconsin",73107,*****,147,922,413
"Laramie County, Wyoming",98136,*****,278,2998,1106
"Natrona County, Wyoming",81039,*****,197,1829,596
