Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Ascension Parish, Louisiana",19.1,21.8,45.1,0.0,3.7,7.5,33.7,15.8,88.8,24.3,24.9,92.4,26.6,31.2,20.1,73.0,15.9,11.5,92.0,24.7,28.2,62.2,N,N,N,N,N,N,N,N,1.1,3.5,0.8,82.7,26.1,1.7,9.2,1.8,N,N,N,N,37.6,34.6
"Bossier Parish, Louisiana",11.8,8.9,35.6,10.0,3.3,9.0,28.1,18.1,87.6,27.3,25.3,85.3,33.6,29.1,25.6,85.0,24.3,14.3,89.2,30.2,25.1,84.4,N,N,N,N,N,N,3.9,0,16.7,7.1,4.5,77.8,26.9,2.1,8.2,1,72.9,1.5,2,67.2,50.9,49.7
"Caddo Parish, Louisiana",17.8,9.4,50.0,9.4,3.2,9.9,33.3,13.3,87.0,22.2,22.3,91.6,27.8,20.9,20.7,80.9,27.4,21.7,92.8,31.0,28.5,76,N,N,N,N,N,N,21,19.7,22.8,17.4,8.2,71.1,31.8,3.3,10.3,1.9,45.8,1.3,1.5,44.8,48.9,48.9
"Calcasieu Parish, Louisiana",14.5,7.1,45.5,4.0,3.4,9.1,33.4,11.5,87.5,19.2,21.4,90.4,11.3,21.1,23.1,81.2,30.8,17.0,89.2,20.4,21.0,68.8,N,N,N,N,N,N,7.4,12.8,14.6,6.1,11.3,73.5,29.6,1.4,7.8,2.8,69.9,1.1,2.1,68,48.3,47.9
"East Baton Rouge Parish, Louisiana",9.4,8.2,56.0,9.9,2.7,5.8,26.8,22.5,91.5,34.0,34.5,90.0,36.0,41.3,33.0,87.2,35.9,26.8,96.4,49.5,45.3,85,70.9,58,N,N,N,N,11.3,26.7,13.1,6.5,7.1,78.6,25.5,0.8,11.5,1.8,47,3.3,1.7,45,43.2,43.3
"Iberia Parish, Louisiana",12.8,12.2,37.0,0.4,6.4,12.7,40.0,9.1,80.8,13.4,16.3,92.0,15.2,10.3,12.1,69.6,17.0,19.9,85.0,17.8,17.1,75.5,N,N,N,N,N,N,N,N,12.6,10.5,8.7,74.7,34.4,1.4,6.9,3.4,59.7,2.5,2.7,58.9,35.1,33.1
"Jefferson Parish, Louisiana",18.0,12.7,42.0,11.6,5.2,7.7,32.5,17.4,87.0,25.8,25.3,90.3,27.5,32.5,25.1,83.0,29.0,17.7,91.2,33.1,30.1,73.8,48.7,25.6,N,48.8,4,29.1,14.2,15.4,7.8,8.2,4.1,78.2,32.7,1.2,11.1,3.6,62.1,4.3,2,53,40.3,42.5
"Lafayette Parish, Louisiana",12.8,9.6,59.4,6.4,2.9,7.7,29.6,22.1,89.5,32.2,31.6,86.9,26.4,34.7,32.1,83.3,38.2,26.4,92.3,40.4,38.1,73.6,N,N,N,N,N,N,8.8,15.7,13.8,9.0,5.3,80.5,24.3,1.5,10.8,0.8,70,1.7,2.2,65.8,33.0,33.7
"Lafourche Parish, Louisiana",23.0,8.3,47.5,4.6,6.4,13.9,38.9,10.8,79.8,16.0,19.1,84.8,19.0,28.3,17.0,73.9,15.3,11.7,84.4,17.6,22.3,66.7,N,N,N,N,N,N,N,N,8.7,3.1,3.9,75.4,33.9,1.1,9.2,0.9,78.9,0.5,1.7,76.8,34.8,36.5
"Livingston Parish, Louisiana",20.9,5.5,48.0,3.3,3.8,9.7,37.1,8.4,86.5,13.3,20.7,90.4,12.8,19.7,25.4,84.7,12.7,11.5,87.5,13.3,21.9,95.9,N,N,N,N,N,N,N,N,7.4,3.2,6.4,79.0,30.8,1.1,7.3,1.4,N,N,N,88,38.7,42.0
"Orleans Parish, Louisiana",14.7,9.7,49.3,15.4,3.8,9.3,20.1,21.2,86.9,36.6,40.0,90.7,43.7,49.6,35.4,78.6,37.7,30.1,97.4,65.2,69.8,75.6,38.5,42.4,N,72.2,18.1,49,29.6,47,25.4,17.2,7.7,75.2,27.4,2.1,9.9,2.3,34.1,3,1.8,30.8,33.7,40.6
"Ouachita Parish, Louisiana",17.3,16.2,32.7,8.2,1.8,9.1,38.0,14.4,89.0,20.9,20.9,93.9,11.2,23.7,21.4,86.7,30.7,16.2,93.6,28.3,23.9,68,N,N,N,N,N,N,N,N,14.1,7.6,4.7,72.2,34.1,0.8,7.7,2.3,60,1,1,58.3,31.6,31.6
"Rapides Parish, Louisiana",20.7,13.9,43.2,1.3,4.7,8.0,33.6,12.1,87.4,18.4,23.6,89.5,14.4,27.2,24.4,74.4,19.0,15.1,90.8,19.6,26.2,72.8,N,N,N,N,N,N,9.9,35,13.2,12.2,2.0,74.5,34.9,1.1,9,1,63.5,1.7,2,61.2,34.3,34.0
"St. Landry Parish, Louisiana",28.0,19.3,38.0,2.7,9.0,13.5,43.5,8.2,77.4,13.3,15.4,83.2,9.8,21.1,13.3,61.3,20.6,16.2,75.8,18.5,16.0,71.4,N,N,N,N,N,N,N,N,18.1,7.9,2.5,64.6,35.1,0.4,8.6,0.7,N,N,N,N,32.8,36.7
"St. Tammany Parish, Louisiana",12.5,10.6,56.5,9.0,2.0,6.1,26.8,19.1,91.9,30.4,31.6,91.7,28.7,38.6,29.6,89.6,38.5,23.2,93.5,33.6,33.9,80.6,N,N,N,N,N,N,16.9,19.5,11.7,3.8,3.9,77.7,32.7,0.6,8.7,1.6,82.9,1.5,2.4,78.9,29.9,31.2
"Tangipahoa Parish, Louisiana",20.2,19.0,40.0,3.4,3.7,12.9,34.2,13.3,83.4,18.3,21.8,83.1,12.3,28.3,21.3,82.3,19.7,14.3,83.8,19.4,24.0,58.2,N,N,N,N,N,N,48.6,19.9,14.1,10.9,7.7,77.6,31.6,1.2,7.8,0.5,67.1,0.6,2.9,63.2,28.9,31.9
"Terrebonne Parish, Louisiana",27.7,12.8,41.7,2.7,7.5,9.4,41.6,10.1,83.2,13.4,16.0,84.6,8.0,21.1,13.6,72.2,12.5,10.5,87.7,16.4,17.6,76.4,N,N,N,N,N,N,5.1,0,14.8,9.5,3.5,78.5,32.5,1.1,10.8,2.6,70.6,0.5,1.8,66.9,44.6,43.0
"Androscoggin County, Maine",16.4,14.5,38.3,10.4,4.5,4.4,34.1,10.3,91.0,17.8,25.4,97.2,17.5,44.1,22.5,80.0,19.2,11.7,92.2,18.6,26.0,63.4,N,N,N,N,N,N,N,N,9.1,2.7,5.0,77.0,32.8,3.4,5.9,1.9,92.2,1.1,3.3,91,24.4,21.6
"Aroostook County, Maine",14.7,21.0,46.3,3.4,6.6,7.1,34.4,12.9,86.3,18.2,21.6,87.6,21.4,25.7,21.0,78.8,21.0,16.3,86.0,18.4,21.4,N,N,N,N,N,N,N,N,N,16.0,5.8,7.7,63.6,41.9,4.8,4.7,2.1,95,0.4,1.9,94.4,38.6,39.5
"Cumberland County, Maine",8.5,6.5,60.3,16.4,1.3,3.5,21.7,25.5,95.2,43.4,47.6,97.2,39.1,57.0,48.3,92.1,43.2,36.7,95.9,44.1,48.3,98,48.2,34.5,N,N,N,34,N,N,14.0,7.5,4.6,78.8,29.8,1.7,7.1,2.1,92,2.1,2.4,90.6,30.6,31.7
"Kennebec County, Maine",15.1,14.7,37.0,9.6,2.3,5.4,35.1,14.9,92.3,25.5,27.5,90.8,32.9,31.0,27.8,87.6,31.7,20.5,92.9,25.1,27.6,N,N,N,N,N,N,N,N,N,17.7,10.2,2.7,73.1,35.3,3.6,6.2,0.9,95.6,1.1,1.4,94.8,24.9,25.5
"Penobscot County, Maine",10.1,3.5,65.5,5.5,1.4,2.9,33.6,13.8,95.7,21.7,28.0,96.7,23.9,41.2,26.8,91.1,23.3,17.0,95.7,22.2,27.7,N,N,N,N,N,N,N,N,N,16.8,7.0,5.6,75.2,35.8,3.8,7.3,2.7,94.6,0.9,2.4,94,28.9,27.8
"York County, Maine",10.9,7.6,47.0,17.5,1.7,3.0,29.4,19.7,95.3,28.3,32.3,98.7,33.3,40.5,28.7,89.0,32.9,29.0,95.6,28.2,32.5,N,41.2,43.7,N,N,N,N,N,N,5.8,3.8,3.3,76.4,36.5,4.4,8.4,2.4,95.8,2.1,0.8,94.4,27.9,27.4
"Allegany County, Maryland",7.9,3.6,64.4,12.0,2.8,5.7,39.2,10.9,91.4,17.6,18.3,96.2,8.6,16.1,19.6,86.1,22.0,14.6,91.2,20.5,18.6,74.3,N,N,N,N,N,N,N,N,11.5,11.4,6.3,70.0,40.3,2.4,6.1,1.5,88.5,0.9,1.5,87.1,31.5,31.7
"Anne Arundel County, Maryland",10.6,8.4,41.4,13.6,1.1,5.5,23.1,24.6,93.3,41.5,43.1,96.1,37.5,49.6,42.3,88.1,46.1,27.9,94.2,46.3,43.5,85.5,59.6,51.2,N,86.1,19.3,35.9,23.5,43.7,6.9,5.5,2.4,84.3,26.8,2.0,11.8,2.7,73.2,3.6,4.5,69,31.5,31.0
"Baltimore County, Maryland",9.7,8.4,50.5,13.1,2.6,5.0,26.1,22.8,92.4,37.9,38.2,94.1,33.7,42.9,38.1,86.7,39.8,26.1,93.0,40.5,39.0,94.8,57.9,57.1,N,77,16.4,37.5,19.4,25.8,9.3,4.4,3.8,79.6,30.6,2.2,11.6,3.2,61.7,6,2.6,57.9,42.4,43.4
"Calvert County, Maryland",12.2,5.4,53.6,13.8,0.5,5.0,30.7,14.1,94.5,27.2,32.8,94.4,28.2,44.6,29.7,84.7,27.8,18.5,96.2,27.2,33.3,91.3,N,N,N,N,N,N,N,N,4.4,2.7,0.2,83.3,31.6,5.0,10.8,1,80.7,1.9,3.3,78.4,33.3,34.3
"Carroll County, Maryland",8.2,7.3,40.6,18.1,2.5,6.3,29.4,22.1,91.2,32.5,35.5,93.7,30.5,50.2,33.2,83.2,27.9,18.9,91.0,31.6,34.6,82,N,N,N,N,N,N,23.4,31.4,3.0,2.3,1.7,80.7,32.7,1.6,9.3,2.6,91.8,1.8,2.4,89.4,28.9,30.4
"Cecil County, Maryland",9.8,5.8,43.1,9.6,2.6,7.1,34.1,14.5,90.3,23.0,24.9,90.7,20.7,22.7,26.0,86.5,27.9,16.9,91.4,21.7,26.2,75.7,N,N,N,N,N,N,N,N,6.7,5.7,3.8,81.3,30.7,2.4,13,3,87.3,1.5,2.2,85.4,33.0,34.8
"Charles County, Maryland",6.0,8.1,59.4,5.1,2.5,2.7,33.9,14.3,94.8,26.3,28.3,93.2,27.0,29.1,27.9,86.2,32.2,13.3,95.4,28.7,26.4,94.5,33.7,44.7,N,N,N,23.8,18.9,18.5,5.2,1.4,2.8,83.4,24.6,1.6,14,4.3,45.6,2.8,5.5,41.6,45.3,46.7
"Frederick County, Maryland",12.0,7.3,52.6,13.2,2.8,4.3,24.2,22.1,92.9,39.8,41.8,95.3,38.2,47.6,40.9,83.7,35.1,27.6,95.6,42.3,44.8,94.2,58.6,30.3,N,N,N,39.7,14.2,33.4,6.9,4.3,3.0,83.7,26.6,1.7,9.4,2.8,81.1,4.7,2.4,74.3,30.2,30.6
"Harford County, Maryland",11.5,8.9,46.4,8.8,3.7,4.4,26.5,23.9,91.9,36.5,35.9,92.5,38.4,43.0,35.0,83.8,39.7,21.8,92.2,37.7,36.2,91,63.1,49.9,N,N,N,34.4,19.6,33.5,9.2,4.2,2.9,80.6,31.2,1.6,10.5,2.3,78.9,2.3,4.1,76.7,32.1,32.2
"Howard County, Maryland",8.3,5.2,45.1,18.2,2.5,1.7,14.7,29.8,95.8,65.5,58.6,98.1,61.2,62.0,58.9,91.6,60.2,43.8,97.4,66.6,62.1,95.9,76.9,70.1,N,N,N,N,36.4,31,6.4,5.4,2.6,88.1,23.3,1.6,8.6,2.2,58.7,18,3.9,53.3,29.9,30.8
"Montgomery County, Maryland",12.1,10.9,37.0,23.1,4.4,3.0,15.3,25.3,92.6,60.2,58.3,94.3,56.1,65.0,58.4,90.4,68.1,50.0,98.1,72.6,70.8,94.1,73.1,62.4,N,51.9,9.2,58.4,23.1,26.1,8.0,6.0,3.4,84.8,23.8,1.3,9.3,3.6,55.1,14.8,4.2,44.5,30.4,31.4
"Prince George's County, Maryland",13.6,12.0,47.6,13.5,6.3,5.1,24.7,16.9,88.6,29.8,33.8,92.2,29.0,38.0,33.3,84.6,31.0,25.4,93.6,46.0,44.4,92,53.3,50.5,N,33.9,6.6,35.7,8.8,11.8,9.0,4.1,3.7,85.8,23.4,2.4,16.4,7.3,17.6,4.2,3.1,13,45.1,48.9
"St. Mary's County, Maryland",8.3,7.1,43.2,13.0,3.5,7.1,30.9,11.7,89.4,26.0,26.2,92.1,22.7,29.9,23.9,79.1,30.9,20.4,92.6,29.7,26.7,75.1,29.6,33.4,N,N,N,N,N,N,8.2,4.9,0.3,81.5,24.6,4.9,N,N,N,N,N,74.9,26.0,29.7
"Washington County, Maryland",16.4,13.3,28.6,8.5,3.4,8.3,34.9,11.8,88.3,18.7,22.0,91.2,16.4,20.0,23.8,79.4,21.6,14.9,89.7,18.9,22.5,74.2,43.9,36.2,N,N,N,36,20.1,10.5,10.7,13.7,1.6,72.8,36.8,3.2,8.8,3.6,83.9,1.3,3.5,79.8,31.0,32.9
"Wicomico County, Maryland",9.9,5.0,63.9,4.3,4.1,7.3,34.8,15.9,88.5,26.0,23.8,89.9,17.9,16.8,31.5,82.9,25.4,16.7,89.9,28.4,26.8,88.8,56.3,52,N,N,N,N,N,N,18.2,6.2,7.6,80.5,33.4,2.8,9.8,1.5,67.3,3.4,2.8,63.3,49.1,49.1
"Baltimore city, Maryland",15.8,12.7,46.7,13.8,4.3,9.5,28.5,16.5,86.3,30.5,31.1,91.3,42.2,47.9,22.6,76.1,24.7,19.6,90.8,54.8,56.8,80.9,61.6,69.9,N,73.6,34.5,55.4,26.6,28.1,19.0,14.4,5.7,74.4,28.1,4.6,17.9,3.3,30.8,2.5,2.3,27.5,46.2,51.9
"Barnstable County, Massachusetts",8.2,11.5,33.3,16.1,1.0,3.0,23.0,24.8,96.0,43.2,43.7,95.4,25.8,42.6,41.9,95.2,56.5,45.9,97.1,44.3,45.1,92,N,N,N,N,N,N,21.9,17.8,5.7,4.6,5.6,69.4,44.6,2.3,11.9,2.3,91.6,1.4,2.4,89.5,34.1,35.5
"Berkshire County, Massachusetts",10.0,4.7,63.3,8.0,1.8,5.1,29.6,17.7,93.1,30.9,36.2,91.4,31.9,46.6,34.0,93.3,42.2,29.2,94.0,32.0,37.4,N,N,N,N,N,N,N,N,N,8.0,12.7,4.4,74.0,41.3,2.2,12.1,2.1,91.9,1.6,2.5,89,37.6,42.8
"Bristol County, Massachusetts",13.2,11.0,47.4,11.6,7.1,5.4,27.7,17.6,87.5,27.5,30.9,94.5,25.9,37.3,30.9,75.8,26.9,19.3,88.4,28.4,31.9,90.1,57.7,47.7,N,69.5,9.7,20.9,10.9,11.4,8.9,5.8,4.4,76.2,34.1,4.1,10.2,2.5,84,2.4,2.4,81.9,46.0,46.2
"Essex County, Massachusetts",13.8,15.3,41.1,14.9,5.7,4.7,23.6,22.9,89.6,37.7,39.0,91.4,31.5,45.8,40.5,84.3,38.3,29.4,94.6,43.5,44.5,83.4,50.1,48.1,N,68.9,8.3,25.8,9.3,13.3,10.2,6.2,4.6,78.1,31.3,4.1,11,3.9,81.6,3.5,2.6,71.4,40.0,40.7
"Franklin County, Massachusetts",8.1,7.3,31.2,14.0,0.5,3.7,26.3,17.9,95.8,33.5,39.5,96.4,38.5,35.7,41.9,93.1,38.0,30.5,95.8,32.1,39.6,N,N,N,N,N,N,N,N,N,7.4,3.6,6.3,77.9,36.6,2.3,8.3,1.6,93.3,1,3.1,91,32.0,30.2
"Hampden County, Massachusetts",14.1,13.5,47.8,9.5,5.9,7.1,26.6,15.9,87.0,24.5,28.0,90.3,22.8,33.3,28.6,81.2,27.2,21.0,92.5,29.1,32.9,85,33.6,24.9,N,69.5,2.2,31.1,9.6,12.4,10.5,8.5,4.5,74.3,32.7,3.7,10.7,3.3,82.8,2.2,2.8,63.5,36.3,37.4
"Hampshire County, Massachusetts",2.1,2.1,79.1,11.2,2.3,4.0,21.4,19.2,93.7,42.4,48.9,95.6,38.9,54.0,51.9,85.7,41.8,36.1,94.4,43.4,48.8,95.9,34.4,47.3,N,N,N,N,37.9,58.4,13.6,7.9,5.8,76.0,34.0,1.7,8.4,4.2,88.5,4.5,3.7,83.8,35.8,32.8
"Middlesex County, Massachusetts",9.1,6.3,39.5,24.6,3.6,3.1,18.5,27.3,93.2,55.1,55.2,95.8,61.0,70.3,53.5,87.5,49.3,36.3,95.5,56.7,57.7,86.6,72.5,64.3,N,72.5,16.2,51.4,27.6,31.2,8.4,6.2,3.3,82.9,26.8,1.5,10,3.3,76.8,11.8,2.5,72.5,34.6,35.4
"Norfolk County, Massachusetts",12.4,10.3,38.8,23.1,2.5,3.4,19.4,28.4,94.1,52.6,52.7,98.2,57.1,69.6,52.2,88.5,46.2,31.6,96.4,54.2,53.6,90.5,55.3,58,N,71.8,26.1,68.8,33.4,46.4,6.8,4.7,3.8,80.4,30.0,1.5,10,3.2,78.4,10.7,2.3,75.6,37.9,39.6
"Plymouth County, Massachusetts",17.5,13.4,45.2,13.0,2.8,4.6,27.5,23.0,92.6,35.9,36.3,91.6,31.3,39.3,36.3,88.3,38.0,25.9,95.4,38.7,38.7,79.6,64.5,62.7,N,61.6,6,27.9,22.3,13.7,5.0,3.7,4.2,79.4,33.8,2.2,13.3,3.3,83.7,1.2,2,81.7,40.5,41.6
