Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Baldwin County, Alabama",20.8,19.5,49.5,7.7,2.8,5.0,30.0,20.3,92.2,31.4,28.0,93.6,29.8,32.2,27.1,90.2,39.9,21.6,92.8,34.8,29.4,74.7,N,N,N,N,N,N,3.1,16.3,13.0,6.2,2.5,70.2,39.8,0.6,5.8,1.7,86.5,0.4,2.6,83,36.3,38.6
"Calhoun County, Alabama",12.2,12.9,46.4,9.4,6.0,11.6,32.6,9.8,82.4,15.6,17.3,91.9,15.8,23.2,11.8,77.5,21.0,10.5,83.9,15.1,18.2,78.8,N,N,N,N,N,N,N,N,13.8,5.4,7.4,69.4,40.5,1.7,9.4,1.9,73.6,0.9,1.8,72.6,35.4,35.6
"Cullman County, Alabama",26.4,33.2,27.1,3.3,6.1,11.3,34.9,11.8,82.6,16.0,17.9,80.0,14.8,23.9,18.0,77.2,20.9,16.9,82.6,16.2,18.1,N,N,N,N,N,N,N,N,N,12.0,4.0,5.6,64.6,40.6,1.5,8.1,2.5,95.8,0.9,0.6,92.3,34.5,33.1
"DeKalb County, Alabama",12.9,3.4,53.5,0.4,12.0,12.8,26.5,6.2,75.1,9.6,12.1,86.9,8.5,12.5,12.4,66.9,15.4,9.9,78.3,10.7,12.9,N,N,N,N,N,N,N,N,N,7.5,10.5,6.0,68.4,39.5,2.1,6.8,1.3,87.6,0.1,2.2,80.7,38.2,40.1
"Elmore County, Alabama",13.9,6.4,28.2,4.6,2.5,8.9,28.1,15.1,88.6,23.1,28.7,86.6,18.2,26.6,33.6,83.3,30.6,17.6,87.9,26.0,29.6,75.9,N,N,N,N,N,N,N,N,16.2,5.4,6.6,73.0,32.6,1.7,8.4,1.4,N,N,N,73.4,34.1,35.0
"Etowah County, Alabama",14.4,8.2,60.7,0.8,5.6,15.2,31.3,9.4,79.2,14.5,16.6,83.2,13.2,14.3,18.8,73.5,13.6,13.6,80.2,14.9,16.6,85.1,N,N,N,N,N,N,N,N,11.6,7.7,5.7,66.4,43.0,0.7,6.7,1.4,81.1,0.8,1.5,78,39.7,39.5
"Houston County, Alabama",17.5,17.5,37.0,5.4,4.3,9.8,30.0,13.9,85.9,21.1,19.6,91.9,19.0,22.5,19.7,78.3,24.1,14.1,88.9,25.8,22.6,66.8,47.1,35.4,N,N,N,5.4,6.3,9.5,13.9,10.5,5.8,71.2,36.2,1.2,7.3,1.5,69,1,1.9,66.9,41.1,40.5
"Jefferson County, Alabama",12.3,10.7,52.1,11.3,2.5,7.1,25.3,19.4,90.4,32.0,33.7,92.2,31.7,43.7,33.1,85.7,34.3,22.1,93.1,44.5,42.3,83.9,68.9,63.5,N,46.1,1.1,38.5,9.9,12,13.3,8.1,4.4,76.2,32.2,1.7,10.5,3.1,51.6,1.3,2.2,50.1,38.9,41.6
"Lauderdale County, Alabama",7.3,7.8,63.1,3.5,5.9,7.3,37.8,17.3,86.8,23.3,20.5,95.3,24.5,21.1,21.9,77.9,23.7,13.1,87.6,23.9,21.2,92.2,N,N,N,N,N,N,N,N,5.7,5.9,2.2,71.2,39.0,1.2,6.6,1.4,87.3,0.8,1.3,84.8,45.2,42.5
"Lee County, Alabama",5.4,5.1,46.9,16.8,4.9,5.9,20.6,19.4,89.1,34.9,36.5,89.1,36.4,39.5,34.6,78.4,35.9,28.0,90.0,38.9,36.9,74.4,57.1,62.4,N,N,N,N,N,N,5.8,6.9,4.4,78.8,28.0,1.3,14.3,1.3,69.9,4.2,1.4,67.3,37.7,38.3
"Limestone County, Alabama",30.7,23.1,50.7,3.4,9.0,14.5,30.0,15.2,76.5,23.7,20.8,71.0,19.6,31.3,20.4,73.4,23.2,12.1,81.2,27.7,22.1,68.6,N,N,N,N,N,N,N,N,20.4,7.4,1.2,71.1,30.9,2.1,5.3,2,82.2,0.4,1.3,N,30.6,30.1
"Madison County, Alabama",12.1,8.6,60.0,9.2,3.6,5.2,23.9,24.0,91.2,43.7,37.7,92.6,35.5,44.5,36.8,85.1,46.2,23.9,93.4,47.3,37.8,90.1,74.1,49.8,N,N,N,40.7,16.3,33.6,11.5,7.6,4.1,79.2,27.7,2.5,8.3,2.2,68.3,2.3,2.8,65,29.1,29.5
"Marshall County, Alabama",26.4,31.3,26.8,2.4,5.6,10.3,32.5,11.4,84.1,15.4,17.2,87.2,14.1,17.5,18.8,82.8,21.5,14.7,87.0,17.7,18.9,N,N,N,N,N,N,N,2,1.7,6.9,11.6,6.4,68.4,42.0,1.7,10.6,1.8,94.2,0.8,1.2,81.3,45.6,43.4
"Mobile County, Alabama",15.6,12.2,47.1,4.7,2.7,8.9,31.9,15.8,88.4,22.2,24.9,90.7,24.8,27.4,23.6,83.1,24.2,17.3,89.5,27.3,26.9,81.5,44.3,33.1,N,55.7,26,28.9,34,15.1,12.4,7.0,5.3,73.9,35.7,1.2,9.7,1.4,58.6,2,1.7,57.2,36.9,36.1
"Montgomery County, Alabama",11.0,11.9,51.3,7.3,4.0,8.0,23.3,17.2,88.0,29.5,33.8,93.8,22.0,29.1,37.4,81.6,40.3,23.6,94.3,43.4,42.0,74.7,48.5,38.1,N,N,N,N,16.3,21.2,19.1,7.2,3.8,75.8,32.3,1.4,9.6,2.4,36.1,2.5,2.1,34.7,36.1,36.4
"Morgan County, Alabama",17.5,12.2,45.4,4.2,7.0,10.6,30.8,13.4,82.4,19.5,19.9,86.9,9.4,17.4,20.7,76.9,23.3,10.7,86.1,22.8,22.0,78.4,N,N,N,N,N,N,0,4.5,8.4,5.6,5.0,68.1,35.0,2.0,9.2,1.5,78.6,0.9,2.3,75.7,44.5,41.8
"St. Clair County, Alabama",16.7,8.4,53.2,10.8,3.8,12.4,32.8,11.7,83.9,17.6,17.2,87.8,12.9,25.3,15.8,78.9,26.7,12.2,85.1,19.4,17.6,76,N,N,N,N,N,N,N,N,4.2,3.8,2.7,78.8,35.8,1.0,9.4,2.4,N,N,N,N,40.5,42.1
"Shelby County, Alabama",13.2,11.4,53.3,6.7,3.1,4.9,19.9,31.6,92.0,46.1,38.3,93.1,38.3,37.2,41.6,90.2,55.1,30.5,93.5,48.4,38.7,87.4,56.5,45.6,N,50.9,14.7,N,30.1,30.9,5.0,4.3,3.2,80.1,31.8,1.1,9.2,1.6,80,2.2,2.2,78.2,29.8,30.1
"Talladega County, Alabama",12.7,5.4,58.0,0.1,4.8,13.1,28.4,7.0,82.1,12.1,17.5,85.6,4.0,25.0,14.5,66.9,11.8,9.2,81.3,15.5,16.4,73,N,N,N,N,N,N,N,N,13.1,18.2,10.4,69.3,39.9,1.4,N,N,64.7,0.7,0.5,63,40.5,39.4
"Tuscaloosa County, Alabama",2.6,2.2,57.5,12.1,1.8,6.8,27.5,17.2,91.4,28.9,31.1,92.6,36.7,38.1,31.1,88.1,28.2,24.5,92.2,36.3,36.6,81,N,N,N,N,N,N,6.8,1.9,11.6,5.4,4.8,78.2,29.7,4.1,8.2,1.5,64,1.7,0.8,62.1,46.0,44.5
"Walker County, Alabama",24.7,27.2,53.4,0.0,6.4,11.9,38.2,7.9,81.7,12.1,10.1,79.6,5.3,1.3,13.1,74.0,14.1,10.2,83.2,13.0,10.6,89.5,N,N,N,N,N,4.2,N,N,14.6,6.0,1.8,62.8,46.4,1.8,7,0.6,N,N,N,N,38.0,38.9
"Anchorage Municipality, Alaska",10.7,11.5,46.9,8.2,2.4,4.2,21.5,20.3,93.3,34.5,38.5,95.4,27.0,34.3,40.9,86.9,40.2,34.3,97.6,42.9,47.7,90.9,27.6,30.9,94.7,92.3,8,29.6,9.7,19.5,7.7,4.9,2.5,88.5,20.1,5.7,11.8,3.3,62,9.1,10.3,58.5,28.2,29.9
"Fairbanks North Star Borough, Alaska",9.6,1.0,49.1,8.1,0.7,1.9,23.3,15.4,97.4,24.4,39.6,99.3,22.5,52.1,37.3,96.9,34.0,28.1,98.2,29.5,44.3,N,N,N,N,N,N,N,N,N,8.7,1.0,3.1,91.7,16.6,2.7,N,N,75,3.9,6.5,70.1,33.4,32.5
"Matanuska-Susitna Borough, Alaska",17.2,15.8,37.7,3.8,1.1,4.0,29.4,9.5,94.9,15.5,23.6,97.2,7.8,15.2,25.1,91.6,19.7,26.1,95.0,16.5,25.5,N,N,N,N,N,N,7.8,5.6,23.8,10.2,5.8,6.7,81.4,24.6,5.7,8,2.3,82.7,1,9.6,79.3,31.7,33.2
"Apache County, Arizona",28.1,23.2,50.3,0.0,10.1,6.6,27.6,4.7,83.3,9.3,13.9,94.4,5.5,10.6,16.0,69.6,11.8,14.9,97.3,18.2,22.8,N,N,N,N,N,N,N,3.6,18.1,38.9,17.9,5.7,60.6,35.5,5.7,8.3,1.3,22.1,0.1,3.4,18,63.0,65.0
"Cochise County, Arizona",18.3,8.6,42.3,5.0,6.8,6.5,29.0,17.2,86.7,25.9,22.7,95.5,16.0,12.3,26.7,81.4,31.9,22.2,92.2,30.0,26.7,96.5,58.4,41.1,N,N,N,N,13,11.6,21.5,15.2,6.7,66.3,43.4,2.8,7.8,2.6,87.4,2.2,3,55.5,26.1,27.1
"Coconino County, Arizona",5.9,5.8,53.0,6.5,4.7,7.6,19.3,21.0,87.7,34.6,36.1,88.8,32.7,29.8,36.6,82.2,46.4,34.9,96.9,47.4,52.2,N,N,N,N,N,N,N,26.1,16.3,17.8,7.3,6.0,80.1,26.1,2.4,10.5,3.2,64.7,1.9,3.6,54.5,38.7,42.8
"Maricopa County, Arizona",14.8,12.9,45.5,9.2,5.9,6.5,22.4,20.6,87.5,32.6,31.3,88.9,28.1,33.5,31.8,87.4,38.4,25.5,95.0,40.2,37.2,89.9,61.2,52.7,93.8,53.1,6.3,29.7,11.2,13.9,12.6,9.1,5.4,78.7,28.8,1.5,10.9,3.6,76.1,4,3.6,55.9,37.4,38.7
"Mohave County, Arizona",29.8,27.6,30.5,2.4,3.5,11.7,34.4,8.8,84.8,12.0,10.5,83.1,11.5,18.5,10.1,84.3,15.6,7.6,86.1,12.1,10.4,N,N,N,N,N,N,27,7.7,7.3,20.0,13.0,9.6,56.1,56.4,2.2,8,2.4,91.3,1,2.7,77.7,38.2,40.3
"Navajo County, Arizona",33.1,26.6,42.1,0.0,6.5,10.3,28.1,7.9,83.2,14.9,13.9,93.7,4.5,14.2,11.7,72.0,20.8,10.6,90.2,26.7,21.8,N,N,N,N,38.1,0,2.9,5,6.1,26.7,11.9,5.2,63.3,43.1,3.7,11.4,1.2,45.9,0.8,3.9,40.9,36.8,39.2
"Pima County, Arizona",14.0,12.9,54.6,7.7,4.4,6.6,21.8,17.3,88.9,31.5,32.2,90.3,23.7,31.9,33.0,88.1,41.4,30.3,94.4,40.0,39.7,85.1,51.9,53.9,N,64.8,9,25.4,14.9,17.4,16.5,10.4,5.6,72.2,37.0,1.7,9.4,2.8,76.2,2.8,4.9,52.4,33.6,34.4
"Pinal County, Arizona",21.4,18.2,45.7,4.1,3.6,8.3,26.6,12.3,88.1,20.0,20.5,83.8,11.0,17.1,24.5,90.3,29.4,18.6,93.5,25.9,23.8,81.1,43.6,35.9,N,73.6,4.9,11,7,12.3,15.7,8.7,9.4,64.2,43.3,1.5,8.3,2,80.7,2,3,57.7,40.8,42.9
"Yavapai County, Arizona",6.4,5.9,50.2,2.9,1.9,4.9,27.8,13.9,93.2,24.2,23.9,99.4,14.7,18.3,22.7,91.2,33.4,28.1,94.1,26.4,25.3,N,N,N,N,80,4.9,N,5.5,9.4,15.0,10.1,5.6,59.4,55.0,1.3,6.1,1.2,93.1,1,1.9,80.8,45.3,45.7
"Yuma County, Arizona",18.2,13.8,50.1,3.3,14.2,10.1,26.4,10.2,75.7,14.4,16.5,88.2,10.1,17.8,16.7,72.1,13.5,11.7,90.6,19.7,23.0,N,51.8,58,N,55.8,9.2,20.9,10.1,10,7.0,12.2,4.8,70.8,35.5,1.4,11.7,3.2,54.8,1.3,2.5,31.8,32.9,32.9
"Benton County, Arkansas",14.3,12.9,44.2,7.5,5.7,5.6,30.0,23.6,88.7,34.7,29.7,91.6,41.0,37.9,27.0,83.2,27.3,16.5,93.5,36.8,30.7,82,79.3,68.3,N,41.2,9.6,29.3,13.4,8.8,8.6,4.1,4.1,81.6,27.5,0.9,7.8,1.9,88.5,3.6,3.4,73.9,33.1,34.1
"Craighead County, Arkansas",13.9,13.9,54.5,4.1,6.2,7.1,30.7,13.5,86.7,21.6,25.3,94.1,17.6,38.5,18.4,68.6,29.1,22.3,89.2,21.7,26.2,86.7,N,N,N,N,N,N,N,N,12.9,7.1,1.4,79.3,31.1,1.7,13,1.8,79.5,1.3,2.5,76.7,30.5,29.3
"Faulkner County, Arkansas",5.5,7.0,57.1,9.9,2.4,4.9,34.0,15.4,92.6,27.5,30.1,98.4,26.7,36.1,30.2,79.8,27.4,24.4,93.1,28.0,31.0,99.2,N,N,N,N,N,N,N,N,24.2,9.6,7.4,76.6,31.0,1.8,4.6,0.7,82.1,1.1,3.2,80.8,28.3,30.0
"Garland County, Arkansas",23.1,14.9,46.2,7.5,2.4,11.1,27.7,13.9,86.5,18.9,17.8,86.0,16.1,15.7,14.1,89.5,19.4,19.9,89.9,20.5,18.3,67.8,N,N,N,N,N,N,N,N,13.4,4.3,3.9,68.5,43.7,1.7,7.1,3.6,86.4,1.1,1.5,82.4,31.6,32.3
"Jefferson County, Arkansas",15.5,16.1,48.2,0.9,6.6,11.8,31.6,9.3,81.6,14.7,22.2,78.4,5.9,13.1,25.2,75.6,15.6,27.2,85.5,17.1,22.3,71.7,N,N,N,N,N,N,N,N,15.4,3.7,9.8,67.6,38.1,12.8,4.6,2.2,40.7,0.4,0.8,39.3,36.8,36.8
"Lonoke County, Arkansas",13.4,12.6,30.1,15.5,3.5,7.1,33.5,12.5,89.5,20.0,22.3,93.4,12.2,23.5,18.1,70.7,29.8,15.5,90.3,21.2,22.5,84.6,N,N,N,N,N,N,N,N,11.3,4.6,2.4,78.6,32.5,0.9,10.1,1.7,88.5,1.4,2.5,86.1,35.5,34.0
"Pulaski County, Arkansas",19.1,17.9,40.4,13.7,1.9,5.2,25.1,20.9,92.9,33.3,34.8,95.3,33.1,42.5,35.0,89.2,37.4,23.0,95.5,44.2,41.0,83.4,65.6,50.7,N,49.6,21.1,17.9,18,11,18.1,6.2,3.6,76.0,31.8,1.3,9.1,1.2,55.5,2.2,3.5,52.6,34.5,34.9
"Saline County, Arkansas",21.5,27.3,53.8,1.4,1.9,4.8,30.3,19.0,93.3,26.5,30.2,96.5,29.7,37.9,27.9,88.1,24.7,24.7,93.7,25.2,29.1,94.6,N,N,N,N,N,N,N,N,12.4,5.9,2.0,76.2,38.0,2.3,8.3,1.5,89.9,1,1.3,85.4,34.3,34.5
"Sebastian County, Arkansas",13.6,14.5,42.8,6.7,5.2,8.2,33.0,11.3,86.6,16.7,17.8,87.5,11.3,16.6,19.0,89.2,24.0,18.6,91.0,20.8,18.3,84.5,3.6,10,N,32,1,30,3.8,12.7,16.8,9.5,3.8,73.6,35.1,2.0,12.9,2.8,72.9,4.3,3.6,70.2,43.8,43.6
"Washington County, Arkansas",6.9,7.1,50.0,14.0,6.9,8.2,26.0,18.2,84.9,32.3,33.0,86.2,36.0,29.9,40.2,82.0,33.3,24.0,90.9,36.2,36.6,91.6,72.9,54.3,N,32.3,7.7,25,10.4,12.4,11.4,10.0,3.1,80.5,25.1,0.7,11.5,1,76.5,2.4,3.1,71.9,21.5,23.8
"White County, Arkansas",3.9,3.9,66.2,7.4,2.3,9.5,34.7,11.2,88.2,21.7,21.4,91.4,36.9,34.7,17.8,80.1,17.6,10.2,88.7,23.1,18.8,N,N,N,N,N,N,N,N,N,16.6,3.1,11.8,72.6,34.4,1.2,8.9,0,N,N,N,N,27.9,28.8
"Alameda County, California",8.7,7.5,50.6,16.8,7.0,5.4,16.8,25.0,87.6,44.9,45.9,92.9,48.6,56.0,42.0,81.4,40.7,32.5,96.1,57.5,57.3,90.9,56.3,54.2,83.1,65.3,9.3,42.3,15.7,20.3,10.1,8.1,5.1,83.3,24.2,3.2,10.8,4.1,41.8,29.4,6.4,31.9,30.2,30.4
"Butte County, California",7.1,4.8,61.5,9.9,3.8,6.4,22.0,14.0,89.8,24.1,27.3,91.8,16.3,28.0,26.6,88.2,33.6,25.2,94.0,27.3,30.3,N,25.7,23,N,59.8,1.3,9.6,11.5,12.9,17.4,9.7,8.5,68.8,37.1,4.3,8.4,1.7,82.8,4.7,5.2,72.4,34.1,33.4
"Contra Costa County, California",12.3,10.5,49.6,12.7,6.3,3.9,17.5,26.5,89.8,43.1,40.1,92.3,34.1,40.5,39.4,87.8,48.2,34.5,97.1,53.7,47.5,88.3,59.3,54.5,58.5,68.2,11.8,35.8,14.7,17,10.9,5.6,3.2,81.7,28.6,2.7,11,3.8,58,16.2,7.3,44.3,38.1,37.8
"El Dorado County, California",9.6,4.2,45.2,7.6,3.4,3.1,22.8,22.2,93.5,35.2,32.7,98.3,22.4,23.8,36.4,87.0,38.9,25.0,95.6,35.3,32.9,N,51.7,56,N,70.8,10.8,51.7,24.9,19.4,10.3,6.8,5.2,74.2,36.2,2.7,8.3,0.8,87.5,4.8,3.1,77.7,33.7,31.9
"Fresno County, California",15.3,11.8,52.8,4.3,13.9,9.6,21.8,12.3,76.5,18.9,21.4,84.6,17.9,23.1,20.6,71.8,24.4,19.3,91.6,31.1,30.8,74.1,29.1,30.9,N,54.9,5.5,18.7,7.9,11.1,17.9,11.1,6.1,77.9,27.3,8.0,11.3,3.8,65.4,10.4,3.5,29.9,39.8,40.8
"Humboldt County, California",2.8,1.4,77.0,4.3,1.2,6.3,22.4,18.3,92.5,27.4,31.5,92.2,18.9,35.5,34.5,91.2,31.4,26.0,94.2,29.1,33.0,N,N,N,N,N,N,31.1,23.7,23.9,21.2,14.2,10.3,71.2,34.5,3.8,10.4,1.5,81.1,3.1,7.4,74.2,35.5,36.5
"Imperial County, California",19.3,16.4,64.4,3.2,18.0,14.0,22.2,9.5,68.0,13.1,14.6,90.4,11.0,20.4,12.8,46.1,10.8,7.9,93.6,20.0,21.4,N,32.7,27.5,N,61.4,7.5,2.7,11.3,13.3,22.4,9.0,3.1,73.1,39.4,8.6,11.7,5.8,61.3,1.5,3.6,11.1,45.8,45.5
"Kern County, California",13.9,12.4,47.2,4.3,12.9,11.6,26.8,11.0,75.5,16.0,16.6,83.4,11.4,16.6,16.7,72.8,23.4,13.9,91.1,25.1,21.3,80.5,40.5,37.8,N,59.6,6.6,17.4,6.3,8.8,18.6,8.5,5.5,78.3,26.4,6.3,10.8,4.3,72.6,4.6,3.7,34.6,33.3,32.6
"Kings County, California",19.6,19.1,42.6,8.1,14.0,10.4,28.1,6.3,75.6,9.5,14.3,89.3,8.5,15.1,14.8,59.2,12.6,14.5,90.3,16.2,25.0,74.8,33.3,17.4,N,55,1.4,6.7,3.5,5.4,10.2,8.9,6.6,82.8,24.8,4.4,11.6,2.7,66.6,3.5,4.4,32.6,44.0,43.5
"Lake County, California",7.4,1.4,45.0,2.4,7.3,9.6,21.8,6.6,83.1,13.7,18.2,84.8,2.8,8.4,22.9,79.4,18.2,18.0,87.8,13.4,20.3,N,N,N,N,90,24.2,N,17.3,9.2,13.3,13.7,12.6,55.1,50.7,3.2,N,N,76.9,0.5,3.4,71.1,39.5,44.3
"Los Angeles County, California",12.9,10.8,52.6,10.5,13.4,8.5,20.1,20.1,78.1,31.2,31.8,89.0,32.6,41.1,29.2,69.7,33.6,23.4,94.4,50.8,48.5,89.2,51.3,50.6,84.2,58.8,8.3,39.1,10.6,12.9,13.6,9.1,6.6,82.4,25.1,3.7,14.1,6.7,50.2,14.5,3.9,26.3,38.1,39.6
"Madera County, California",17.1,12.7,49.8,4.2,15.9,10.3,23.7,7.8,73.8,12.0,11.6,82.7,5.8,8.9,13.8,68.0,15.8,11.8,88.4,20.8,18.7,62,N,N,N,34.4,7.9,4.6,5,4.8,12.5,4.2,5.2,74.3,33.4,6.2,10.7,3.7,70.9,1.8,3.9,34.7,36.1,37.0
"Marin County, California",11.9,10.5,53.1,16.6,4.4,1.3,9.0,32.8,94.3,57.9,60.2,92.4,38.5,57.5,62.4,96.9,64.9,52.8,98.2,67.9,66.2,75.3,58.4,54.4,N,48.6,16.4,51.9,18.8,29.5,12.7,5.6,3.1,79.7,33.3,1.4,9.4,1.5,76.9,5.3,5.4,71.1,35.1,35.1
"Mendocino County, California",14.4,9.6,42.6,8.6,9.5,5.1,20.7,11.7,85.4,17.9,26.3,84.1,4.8,21.0,22.0,91.3,33.5,35.0,93.7,23.1,30.2,N,N,N,N,30.5,0,N,2.9,9.7,19.3,9.8,7.6,71.2,36.1,5.8,5.8,2.6,81.3,1.3,6.4,65.2,33.1,37.8
"Merced County, California",8.6,7.8,63.8,4.1,18.9,10.8,23.8,7.9,70.3,12.9,14.1,83.4,11.6,17.2,15.3,60.5,16.5,9.4,90.8,21.5,20.5,83.9,26.4,25.6,N,41.9,4,22.6,5.9,7.1,10.1,12.3,5.5,78.2,27.2,8.6,11.4,4.2,55.6,7.9,3.4,28.2,42.4,42.9
"Monterey County, California",19.7,15.7,47.6,5.5,20.3,7.3,18.4,13.4,72.5,23.4,26.3,77.7,20.2,26.7,26.5,74.6,40.0,25.9,94.3,42.4,41.4,86.2,40.4,43.6,N,37.5,6.3,41.1,7.8,10.5,9.7,7.2,5.7,81.8,29.2,1.6,11.2,6.5,55.8,5.7,4.2,30,29.9,28.5
"Napa County, California",10.7,7.6,70.6,4.9,9.9,6.2,15.9,20.6,83.9,33.2,37.0,84.1,24.7,44.6,36.8,86.4,47.0,30.2,95.3,43.6,44.0,87.9,42.3,48.5,N,64.1,10.8,34.5,9.2,16.6,9.9,4.7,2.9,77.0,35.0,1.2,9.4,5.6,78,7.9,3.8,52.8,35.8,35.8
"Nevada County, California",6.8,4.9,55.9,4.3,1.6,6.0,15.9,22.8,92.4,35.7,37.4,85.4,16.1,31.8,37.6,94.2,45.9,34.6,94.5,37.9,39.0,N,N,N,N,N,N,N,13.2,13.7,7.5,7.2,5.9,67.7,46.4,2.9,5.7,2.1,92.5,1.8,3.6,85.3,33.3,31.8
"Orange County, California",9.8,8.4,55.0,11.4,8.7,6.6,16.8,26.0,84.7,40.8,39.1,90.1,36.4,47.4,38.0,82.2,47.1,30.8,96.0,51.5,46.3,88.2,57.2,54.9,92.2,53.4,8.4,43.7,12.6,14.6,9.1,6.5,5.4,82.8,26.3,2.1,11.9,5.9,62.6,20.1,3.7,41,38.3,38.1
"Placer County, California",8.6,6.9,57.6,9.6,1.9,3.6,17.3,27.8,94.6,42.0,36.3,95.3,41.1,39.4,35.7,91.5,42.9,26.1,95.9,43.3,35.0,100,57.8,61.5,N,65.6,19.7,41.3,26.6,26.9,7.6,4.9,4.5,74.5,33.8,2.4,7.9,1.4,81.4,6.9,5.4,73.1,30.7,30.6
"Riverside County, California",11.5,9.7,49.5,5.7,9.7,8.9,25.5,13.6,81.3,21.7,22.0,88.2,17.0,24.6,21.1,78.5,29.6,18.4,92.9,30.8,27.3,88.9,46.4,45.7,93.4,61.5,6.2,26.5,8.1,10.2,12.5,9.0,6.9,77.3,32.0,3.2,11,5.1,58.9,6.2,4.5,36,40.6,41.4
"Sacramento County, California",12.9,9.1,52.7,9.2,7.1,6.1,21.8,19.7,86.8,29.6,29.9,91.9,27.1,33.5,29.2,79.8,34.0,22.8,94.0,35.1,34.1,87.3,37,38.7,77.3,60,8.7,27.3,14.5,16.4,17.5,10.7,4.7,78.2,27.5,4.7,10.7,3.5,58.3,15.2,7.1,45.1,31.2,31.4
"San Bernardino County, California",14.7,13.4,46.3,5.7,9.7,10.9,25.6,13.1,79.4,19.5,20.5,87.1,15.8,23.3,19.4,72.5,24.4,16.9,91.4,26.1,25.9,86.1,53.5,48.7,96.4,60.3,8.4,20.5,9.4,11,12.0,9.6,5.9,80.7,26.7,4.6,13.6,5.9,61.4,7.1,4.9,29.2,38.7,40.0
"San Diego County, California",9.6,10.2,51.4,10.2,7.5,6.6,18.0,23.5,85.9,38.0,36.8,91.9,34.9,43.7,33.9,80.8,42.7,29.2,96.2,49.0,47.0,93.2,49.9,47.4,97.9,66.8,11.9,35.3,14.3,16,10.7,9.2,5.1,81.4,26.0,2.8,10.2,4,71.9,11.7,5.1,45.9,34.2,34.9
