Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Pasco County, Florida",512368,*****,10152,1752
"Pinellas County, Florida",960730,*****,23709,4256
"Polk County, Florida",666149,*****,12911,3000
"St. Johns County, Florida",235087,*****,4192,1487
"St. Lucie County, Florida",306507,*****,4674,1972
"Santa Rosa County, Florida",170497,*****,6956,2155
"Sarasota County, Florida",412569,*****,6964,1835
"Seminole County, Florida",455479,*****,13852,3209
"Sumter County, Florida",123996,*****,2446,1108
"Volusia County, Florida",529364,*****,11443,2948
"Walton County, Florida",65889,*****,1666,643
"Barrow County, Georgia",77126,*****,1567,676
"Bartow County, Georgia",103807,*****,1047,645
"Bibb County, Georgia",152760,*****,3887,1997
"Bulloch County, Georgia",74722,*****,1768,861
"Carroll County, Georgia",116261,*****,2152,1381
"Chatham County, Georgia",289082,*****,10160,2767
"Cherokee County, Georgia",241689,*****,4231,1467
"Clarke County, Georgia",124707,*****,2167,810
"Clayton County, Georgia",279462,*****,7657,3495
"Cobb County, Georgia",748150,*****,21885,4224
"Columbia County, Georgia",147450,*****,5175,2021
"Coweta County, Georgia",140526,*****,3895,1381
"DeKalb County, Georgia",740321,*****,12893,2352
"Dougherty County, Georgia",90017,*****,1589,1082
"Douglas County, Georgia",142224,*****,1915,957
"Fayette County, Georgia",111627,*****,2916,1516
"Floyd County, Georgia",96560,*****,2002,868
"Forsyth County, Georgia",221009,*****,4009,1416
"Fulton County, Georgia",1023336,*****,26860,4868
"Glynn County, Georgia",84502,*****,1999,1275
"Gwinnett County, Georgia",907135,*****,20517,4120
"Hall County, Georgia",196637,*****,3667,1830
"Henry County, Georgia",221768,*****,4905,2176
"Houston County, Georgia",152122,*****,4890,1869
"Liberty County, Georgia",62570,*****,3358,1297
"Lowndes County, Georgia",114628,*****,1277,912
"Muscogee County, Georgia",197485,*****,7579,2795
"Paulding County, Georgia",155825,*****,2373,1065
"Richmond County, Georgia",201647,*****,2518,1232
"Rockdale County, Georgia",89355,*****,851,660
"Troup County, Georgia",70005,*****,862,550
"Walton County, Georgia",90184,*****,592,471
"Whitfield County, Georgia",104589,*****,1136,912
"Hawaii County, Hawaii",198449,*****,54328,4874
"Honolulu County, Hawaii",992605,*****,228948,10552
"Kauai County, Hawaii",72029,*****,17235,2751
"Maui County, Hawaii",165379,53,31970,4348
"Ada County, Idaho",444028,*****,11821,2461
"Bannock County, Idaho",84377,*****,2135,979
"Bonneville County, Idaho",112232,*****,2391,667
"Canyon County, Idaho",211698,*****,4333,1473
"Kootenai County, Idaho",154311,*****,2882,903
"Twin Falls County, Idaho",83514,*****,784,531
"Champaign County, Illinois",208419,*****,5810,1389
"Cook County, Illinois",5203499,*****,97529,7494
"DeKalb County, Illinois",104528,*****,3037,1114
"DuPage County, Illinois",929368,*****,19508,3001
"Kane County, Illinois",531715,*****,7584,2015
"Kankakee County, Illinois",110008,*****,954,701
"Kendall County, Illinois",124695,*****,1943,1176
"Lake County, Illinois",703047,*****,14953,2670
"LaSalle County, Illinois",110642,*****,1504,563
"McHenry County, Illinois",307004,*****,6067,1696
"McLean County, Illinois",172418,*****,3416,999
"Macon County, Illinois",106550,*****,7907,1565
"Madison County, Illinois",265759,*****,4009,1286
"Peoria County, Illinois",185006,*****,5074,1860
"Rock Island County, Illinois",144784,*****,4439,1240
"St. Clair County, Illinois",262759,*****,6694,2418
"Sangamon County, Illinois",197499,*****,4318,1032
"Tazewell County, Illinois",134385,*****,1443,804
"Vermilion County, Illinois",78111,*****,1397,1048
"Will County, Illinois",689529,*****,16475,2877
"Winnebago County, Illinois",285873,*****,9595,2292
"Allen County, Indiana",370404,*****,11010,2046
"Bartholomew County, Indiana",81402,*****,1273,482
"Clark County, Indiana",116031,*****,5597,1217
"Delaware County, Indiana",115603,*****,2105,924
"Elkhart County, Indiana",203781,*****,4280,1283
"Floyd County, Indiana",76990,*****,1780,650
"Grant County, Indiana",66937,*****,1686,873
"Hamilton County, Indiana",316373,*****,7571,1756
"Hendricks County, Indiana",160610,*****,1477,958
"Howard County, Indiana",82568,*****,1081,715
"Johnson County, Indiana",151982,*****,458,367
"Kosciusko County, Indiana",79092,*****,1040,348
"Lake County, Indiana",485846,*****,8466,1664
"LaPorte County, Indiana",110015,*****,2240,979
"Madison County, Indiana",129296,*****,4247,1420
"Marion County, Indiana",941229,*****,29225,4804
"Monroe County, Indiana",145496,*****,5204,1309
"Porter County, Indiana",167791,*****,4240,1198
"St. Joseph County, Indiana",269141,*****,6643,1948
"Tippecanoe County, Indiana",188059,*****,3181,1505
"Vanderburgh County, Indiana",181721,*****,5124,1376
"Vigo County, Indiana",107931,*****,3571,1145
"Wayne County, Indiana",66568,*****,1918,715
"Black Hawk County, Iowa",132904,*****,1760,698
"Dallas County, Iowa",84516,*****,2454,988
"Dubuque County, Iowa",97003,*****,1070,534
"Johnson County, Iowa",146547,*****,2304,843
"Linn County, Iowa",221661,*****,4771,1288
"Polk County, Iowa",474045,*****,12209,1974
"Pottawattamie County, Iowa",93582,*****,839,579
"Scott County, Iowa",172474,*****,2283,1067
"Story County, Iowa",97090,*****,2496,1001
"Woodbury County, Iowa",102779,*****,3631,873
