192,"Bonneville County, Idaho",112232
193,"Canyon County, Idaho",211698
194,"Kootenai County, Idaho",154311
195,"Twin Falls County, Idaho",83514
196,"Adams County, Illinois",66578
197,"Champaign County, Illinois",208419
198,"Cook County, Illinois",5203499
199,"DeKalb County, Illinois",104528
200,"DuPage County, Illinois",929368
201,"Kane County, Illinois",531715
202,"Kankakee County, Illinois",110008
203,"Kendall County, Illinois",124695
204,"Lake County, Illinois",703047
205,"LaSalle County, Illinois",110642
206,"McHenry County, Illinois",307004
207,"McLean County, Illinois",172418
208,"Macon County, Illinois",106550
209,"Madison County, Illinois",265759
210,"Peoria County, Illinois",185006
211,"Rock Island County, Illinois",144784
212,"St. Clair County, Illinois",262759
213,"Sangamon County, Illinois",197499
214,"Tazewell County, Illinois",134385
215,"Vermilion County, Illinois",78111
216,"Will County, Illinois",689529
217,"Williamson County, Illinois",67560
218,"Winnebago County, Illinois",285873
219,"Allen County, Indiana",370404
220,"Bartholomew County, Indiana",81402
221,"Clark County, Indiana",116031
222,"Delaware County, Indiana",115603
223,"Elkhart County, Indiana",203781
224,"Floyd County, Indiana",76990
225,"Grant County, Indiana",66937
226,"Hamilton County, Indiana",316373
227,"Hancock County, Indiana",73717
228,"Hendricks County, Indiana",160610
229,"Howard County, Indiana",82568
230,"Johnson County, Indiana",151982
231,"Kosciusko County, Indiana",79092
232,"Lake County, Indiana",485846
233,"LaPorte County, Indiana",110015
234,"Madison County, Indiana",129296
235,"Marion County, Indiana",941229
236,"Monroe County, Indiana",145496
237,"Morgan County, Indiana",69698
238,"Porter County, Indiana",167791
239,"St. Joseph County, Indiana",269141
240,"Tippecanoe County, Indiana",188059
241,"Vanderburgh County, Indiana",181721
242,"Vigo County, Indiana",107931
243,"Wayne County, Indiana",66568
244,"Black Hawk County, Iowa",132904
245,"Dallas County, Iowa",84516
246,"Dubuque County, Iowa",97003
247,"Johnson County, Iowa",146547
248,"Linn County, Iowa",221661
249,"Polk County, Iowa",474045
250,"Pottawattamie County, Iowa",93582
251,"Scott County, Iowa",172474
252,"Story County, Iowa",97090
253,"Woodbury County, Iowa",102779
254,"Butler County, Kansas",67025
255,"Douglas County, Kansas",119440
256,"Johnson County, Kansas",584451
257,"Leavenworth County, Kansas",80204
258,"Riley County, Kansas",73343
259,"Sedgwick County, Kansas",511995
260,"Shawnee County, Kansas",178146
261,"Wyandotte County, Kansas",163831
262,"Boone County, Kentucky",128536
263,"Bullitt County, Kentucky",79151
264,"Campbell County, Kentucky",92211
265,"Christian County, Kentucky",72351
