Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Lake and Peninsula Borough, Alaska",1551,431,7,987,28,4,1,93,2,91
"Matanuska-Susitna Borough, Alaska",89319,76133,907,4273,1148,202,416,6240,261,5979
"Nome Census Area, Alaska",9580,1597,126,6884,83,31,16,843,6,837
"North Slope Borough, Alaska",9317,3010,46,4929,413,124,105,690,25,665
"Northwest Arctic Borough, Alaska",7601,868,30,6146,51,8,1,497,0,497
"Petersburg Census Area, Alaska",3822,2754,50,470,84,0,88,376,7,369
"Prince of Wales-Hyder Census Area, Alaska",5603,2791,12,2311,44,20,27,398,5,393
"Sitka City and Borough, Alaska",8909,5869,70,1544,468,2,121,835,77,758
"Skagway Municipality, Alaska",1050,799,3,17,177,0,0,54,0,54
"Southeast Fairbanks Census Area, Alaska",7039,5694,107,735,62,26,51,364,0,364
"Valdez-Cordova Census Area, Alaska",9614,7090,28,1454,346,31,126,539,7,532
"Wade Hampton Census Area, Alaska",7556,235,8,6843,8,23,0,439,2,437
"Wrangell City and Borough, Alaska",2368,1744,13,335,36,10,2,228,0,228
"Yakutat City and Borough, Alaska",644,248,8,283,4,5,5,91,0,91
"Yukon-Koyukuk Census Area, Alaska",5637,1235,6,3889,22,22,18,445,20,425
"Apache County, Arizona",71618,17177,207,52153,251,71,682,1077,89,988
"Cochise County, Arizona",131118,105267,5164,1454,2286,362,9691,6894,1937,4957
"Coconino County, Arizona",134011,83919,1774,36501,1955,138,5737,3987,1078,2909
"Gila County, Arizona",53436,42288,238,7831,140,26,1687,1226,311,915
"Graham County, Arizona",37115,27973,776,5044,176,112,2105,929,240,689
"Greenlee County, Arizona",8592,7410,84,177,51,0,631,239,164,75
"La Paz County, Arizona",20460,14643,181,2621,135,14,2644,222,52,170
"Maricopa County, Arizona",3841819,3114615,192883,71329,133497,7964,218094,103437,23959,79478
"Mohave County, Arizona",201216,179349,2019,3062,2066,297,6177,8246,1136,7110
"Navajo County, Arizona",107415,52280,916,45544,530,104,4313,3728,612,3116
"Pima County, Arizona",981048,778258,35850,31265,26302,1273,79703,28397,6997,21400
"Pinal County, Arizona",368374,284721,16664,19809,6126,1681,28697,10676,3216,7460
"Santa Cruz County, Arizona",47057,34441,262,134,272,34,10871,1043,645,398
"Yavapai County, Arizona",211280,193691,1182,4176,1612,82,5257,5280,1613,3667
"Yuma County, Arizona",196420,149922,4084,2705,2199,348,32562,4600,1466,3134
"Arkansas County, Arkansas",19029,13791,4656,27,123,11,211,210,10,200
"Ashley County, Arkansas",21811,15143,5613,49,28,0,667,311,58,253
"Baxter County, Arkansas",41387,40189,123,231,204,7,120,513,91,422
"Benton County, Arkansas",222028,191672,2557,3325,6353,591,11348,6182,856,5326
"Boone County, Arkansas",37032,35767,114,240,193,0,81,637,94,543
"Bradley County, Arkansas",11510,7005,3193,118,0,0,1106,88,0,88
"Calhoun County, Arkansas",5373,3972,1307,0,0,0,2,92,0,92
"Carroll County, Arkansas",27321,25062,46,227,102,0,1238,646,36,610
"Chicot County, Arkansas",11759,4875,6404,6,24,0,358,92,0,92
"Clark County, Arkansas",23050,16982,5494,85,135,0,71,283,26,257
"Clay County, Arkansas",15981,15623,38,52,7,0,66,195,10,185
"Cleburne County, Arkansas",25849,25198,102,82,19,13,15,420,26,394
"Cleveland County, Arkansas",8685,7469,1043,0,0,0,40,133,19,114
"Columbia County, Arkansas",24644,14864,9072,48,206,4,37,413,289,124
"Conway County, Arkansas",21203,18103,2490,153,36,0,105,316,9,307
"Craighead County, Arkansas",96709,80792,12750,318,1215,27,272,1335,171,1164
"Crawford County, Arkansas",61670,56227,859,811,928,0,817,2028,9,2019
"Crittenden County, Arkansas",50618,23299,25831,35,87,62,576,728,167,561
"Cross County, Arkansas",17891,13350,4123,47,110,0,17,244,2,242
"Dallas County, Arkansas",8122,4504,3495,6,41,0,76,0,0,0
"Desha County, Arkansas",12922,6203,6201,37,0,0,361,120,74,46
"Drew County, Arkansas",18615,12943,5271,12,112,0,84,193,0,193
"Faulkner County, Arkansas",113730,97018,11872,499,1541,35,706,2059,207,1852
"Franklin County, Arkansas",18110,17262,156,126,55,0,29,482,30,452
"Fulton County, Arkansas",12301,11946,36,41,105,0,0,173,0,173
"Garland County, Arkansas",96249,82114,8043,599,844,14,3074,1561,120,1441
