Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Marion County, Indiana",904535,580773,239965,2274,18219,129,37798,25377,2586,22791
"Marshall County, Indiana",47045,43495,330,82,308,27,2001,802,378,424
"Martin County, Indiana",10300,10106,20,18,76,15,3,62,0,62
"Miami County, Indiana",36850,33723,1740,370,71,0,276,670,172,498
"Monroe County, Indiana",138048,121045,4299,505,7589,49,1456,3105,321,2784
"Montgomery County, Indiana",38207,36772,507,117,169,0,258,384,105,279
"Morgan County, Indiana",69033,67449,194,84,380,0,258,668,14,654
"Newton County, Indiana",14199,13779,37,22,16,16,86,243,6,237
"Noble County, Indiana",47547,46044,63,53,222,2,501,662,105,557
"Ohio County, Indiana",6093,5973,57,0,0,0,0,63,41,22
"Orange County, Indiana",19828,19260,263,51,37,0,57,160,0,160
"Owen County, Indiana",21583,21148,100,44,97,0,49,145,0,145
"Parke County, Indiana",17251,16655,398,29,45,0,11,113,11,102
"Perry County, Indiana",19408,18569,506,48,36,0,39,210,70,140
"Pike County, Indiana",12849,12777,4,0,38,0,0,30,7,23
"Porter County, Indiana",164386,152206,4832,422,2281,45,2190,2410,421,1989
"Posey County, Indiana",25840,25006,329,18,4,0,209,274,36,238
"Pulaski County, Indiana",13395,13040,33,13,45,0,61,203,0,203
"Putnam County, Indiana",37995,35610,1491,169,316,0,83,326,23,303
"Randolph County, Indiana",26101,25359,83,16,7,0,225,411,22,389
"Ripley County, Indiana",28702,28067,97,3,199,0,63,273,27,246
"Rush County, Indiana",17349,16914,139,3,53,0,73,167,12,155
"St. Joseph County, Indiana",266785,212406,34048,935,4726,171,6220,8279,1831,6448
"Scott County, Indiana",24044,23488,117,54,17,0,163,205,21,184
"Shelby County, Indiana",44435,42021,488,97,300,35,1058,436,111,325
"Spencer County, Indiana",20948,20214,138,64,129,0,355,48,0,48
"Starke County, Indiana",23310,22701,81,44,43,12,151,278,65,213
"Steuben County, Indiana",34116,31758,264,138,170,7,140,1639,0,1639
"Sullivan County, Indiana",21379,20060,1061,49,19,0,60,130,0,130
"Switzerland County, Indiana",10509,10265,45,14,0,0,93,92,5,87
"Tippecanoe County, Indiana",173317,148425,6826,307,10816,38,2800,4105,605,3500
"Tipton County, Indiana",15917,15605,41,0,37,0,74,160,0,160
"Union County, Indiana",7449,7214,42,7,39,0,0,147,28,119
"Vanderburgh County, Indiana",179610,155816,16053,383,1753,9,1194,4402,181,4221
"Vermillion County, Indiana",16224,15982,21,69,28,0,15,109,5,104
"Vigo County, Indiana",107805,94906,7250,364,1895,35,770,2585,187,2398
"Wabash County, Indiana",32804,31671,219,303,96,0,300,215,19,196
"Warren County, Indiana",8490,8297,7,6,18,0,80,82,0,82
"Warrick County, Indiana",59643,56685,515,131,853,0,383,1076,71,1005
"Washington County, Indiana",28162,27735,125,37,52,0,7,206,16,190
"Wayne County, Indiana",68797,62191,2239,46,628,0,759,2934,112,2822
"Wells County, Indiana",27677,27086,148,80,30,0,61,272,28,244
"White County, Indiana",24612,23978,64,60,63,6,128,313,69,244
"Whitley County, Indiana",33234,32268,160,60,49,0,268,429,52,377
"Adair County, Iowa",7628,7457,11,12,46,0,0,102,33,69
"Adams County, Iowa",4027,3944,12,6,0,0,10,55,4,51
"Allamakee County, Iowa",14285,13614,39,187,136,0,45,264,5,259
"Appanoose County, Iowa",12858,12500,61,3,38,0,20,236,33,203
"Audubon County, Iowa",6077,5978,4,33,9,0,4,49,14,35
"Benton County, Iowa",26044,25361,65,6,41,0,177,394,84,310
"Black Hawk County, Iowa",130843,112517,11774,213,1851,38,1595,2855,592,2263
"Boone County, Iowa",26324,25693,236,66,155,0,23,151,7,144
"Bremer County, Iowa",24294,23629,200,22,122,45,38,238,19,219
"Buchanan County, Iowa",20988,20494,136,41,109,0,97,111,14,97
"Buena Vista County, Iowa",20215,16641,478,23,1173,95,1279,526,162,364
"Butler County, Iowa",14899,14687,41,29,41,7,10,84,0,84
"Calhoun County, Iowa",9936,9691,87,11,20,0,14,113,15,98
"Carroll County, Iowa",20751,20190,85,55,169,8,117,127,76,51
"Cass County, Iowa",13865,13536,64,40,12,0,70,143,26,117
"Cedar County, Iowa",18446,18045,16,11,121,0,66,187,8,179
"Cerro Gordo County, Iowa",44083,41979,554,86,424,0,283,757,68,689
"Cherokee County, Iowa",12011,11650,36,35,24,0,110,156,0,156
"Chickasaw County, Iowa",12409,12131,29,110,65,0,16,58,34,24
"Clarke County, Iowa",9286,9125,91,5,10,0,0,55,0,55
"Clay County, Iowa",16649,16053,48,29,67,54,198,200,25,175
"Clayton County, Iowa",18056,17647,62,24,19,0,46,258,81,177
"Clinton County, Iowa",49074,46205,1471,73,200,0,243,882,103,779
"Crawford County, Iowa",17100,15708,108,24,8,0,934,318,78,240
"Dallas County, Iowa",66997,61805,856,33,1658,15,1461,1169,84,1085
"Davis County, Iowa",8718,8598,9,20,23,0,4,64,0,64
"Decatur County, Iowa",8382,8012,148,62,63,0,29,68,6,62
"Delaware County, Iowa",17721,17463,24,11,18,0,2,203,10,193
"Des Moines County, Iowa",40268,36857,2061,97,343,0,127,783,5,778
"Dickinson County, Iowa",16778,16453,58,21,51,73,14,108,29,79
"Dubuque County, Iowa",93776,88413,1359,162,1090,73,103,2576,85,2491
"Emmet County, Iowa",10263,9685,92,19,32,14,71,350,34,316
"Fayette County, Iowa",20894,20208,186,97,81,8,34,280,46,234
"Floyd County, Iowa",16204,15605,224,0,159,14,31,171,24,147
"Franklin County, Iowa",10650,9782,19,2,47,0,615,185,96,89
"Fremont County, Iowa",7373,7153,15,21,2,0,86,96,0,96
"Greene County, Iowa",9304,9061,10,3,16,0,89,125,0,125
"Grundy County, Iowa",12431,12244,25,13,30,0,30,89,6,83
"Guthrie County, Iowa",10915,10631,32,33,3,7,72,137,0,137
"Hamilton County, Iowa",15614,14595,52,158,366,0,258,185,6,179
"Hancock County, Iowa",11320,10911,7,41,32,0,166,163,39,124
"Hardin County, Iowa",17479,16853,141,24,134,0,136,191,21,170
"Harrison County, Iowa",14838,14554,15,36,45,0,14,174,41,133
"Henry County, Iowa",20242,18918,428,50,526,0,43,277,4,273
"Howard County, Iowa",9568,9385,73,1,40,0,0,69,11,58
"Humboldt County, Iowa",9818,9552,13,7,20,0,55,171,39,132
"Ida County, Iowa",7113,7017,16,1,16,0,5,58,2,56
"Iowa County, Iowa",16320,16042,60,4,30,5,24,155,0,155
"Jackson County, Iowa",19807,18555,135,21,39,77,35,945,13,932
"Jasper County, Iowa",36823,35623,451,152,181,4,81,331,17,314
"Jefferson County, Iowa",16791,14773,196,26,1199,0,136,461,50,411
"Johnson County, Iowa",131627,112878,6122,299,7235,11,2198,2884,417,2467
"Jones County, Iowa",20686,19830,360,126,76,42,106,146,0,146
"Keokuk County, Iowa",10480,10310,32,8,2,0,27,101,0,101
"Kossuth County, Iowa",15510,15243,34,8,73,0,46,106,4,102
"Lee County, Iowa",35741,33447,1049,52,176,9,196,812,102,710
"Linn County, Iowa",211954,192021,8621,566,3802,63,2152,4729,350,4379
"Louisa County, Iowa",11448,10659,125,0,59,13,411,181,13,168
"Lucas County, Iowa",8913,8790,12,51,12,0,0,48,6,42
"Lyon County, Iowa",11623,11416,3,20,19,0,74,91,28,63
"Madison County, Iowa",15630,15315,91,17,30,0,42,135,0,135
"Mahaska County, Iowa",22432,21394,169,46,154,13,221,435,31,404
"Marion County, Iowa",33388,32338,185,99,397,0,26,343,56,287
"Marshall County, Iowa",40568,35248,756,162,562,8,3212,620,169,451
"Mills County, Iowa",15028,14624,82,36,50,0,17,219,56,163
"Mitchell County, Iowa",10761,10615,21,0,27,23,11,64,14,50
"Monona County, Iowa",9242,8948,21,36,6,0,19,212,34,178
"Monroe County, Iowa",7979,7701,50,99,67,0,47,15,0,15
"Montgomery County, Iowa",10710,10413,4,0,11,0,109,173,8,165
"Muscatine County, Iowa",42729,39782,574,124,428,0,1066,755,145,610
"O'Brien County, Iowa",14302,13823,30,36,49,0,142,222,16,206
"Osceola County, Iowa",6413,6305,42,21,15,0,7,23,8,15
"Page County, Iowa",15902,15046,353,40,143,0,121,199,7,192
"Palo Alto County, Iowa",9402,9222,37,28,35,0,0,80,4,76
"Plymouth County, Iowa",24911,24018,36,58,169,0,298,332,93,239
"Pocahontas County, Iowa",7307,7145,63,3,3,14,35,44,2,42
"Polk County, Iowa",431811,368901,25438,1132,15608,288,9719,10725,828,9897
"Pottawattamie County, Iowa",92793,87293,1257,260,625,8,1814,1536,172,1364
"Poweshiek County, Iowa",18888,17997,182,37,342,4,72,254,16,238
"Ringgold County, Iowa",5123,5042,5,24,20,0,0,32,0,32
"Sac County, Iowa",10307,10116,75,5,21,4,49,37,13,24
"Scott County, Iowa",165432,143495,11980,415,3270,0,1685,4587,673,3914
"Shelby County, Iowa",12158,11847,10,8,90,12,44,147,86,61
"Sioux County, Iowa",33776,31614,175,75,291,0,1296,325,140,185
"Story County, Iowa",89734,79969,2516,131,5530,0,526,1062,40,1022
"Tama County, Iowa",17746,15759,98,1286,59,0,230,314,35,279
"Taylor County, Iowa",6292,6048,6,29,29,0,101,79,0,79
"Union County, Iowa",12525,12065,270,11,12,0,1,166,0,166
"Van Buren County, Iowa",7565,7442,20,7,26,0,14,56,0,56
"Wapello County, Iowa",35449,33122,469,68,314,0,894,582,25,557
"Warren County, Iowa",46239,44988,218,31,171,31,146,654,46,608
"Washington County, Iowa",21765,20625,185,6,58,22,521,348,92,256
"Wayne County, Iowa",6372,6277,5,6,26,0,0,58,0,58
"Webster County, Iowa",37895,34950,1628,65,245,0,382,625,89,536
"Winnebago County, Iowa",10800,10414,94,18,39,2,61,172,62,110
"Winneshiek County, Iowa",21033,20345,173,97,195,0,123,100,15,85
"Woodbury County, Iowa",101948,85453,2518,1785,2547,174,6377,3094,410,2684
"Worth County, Iowa",7581,7423,25,1,6,0,23,103,9,94
"Wright County, Iowa",13173,12493,32,17,34,30,450,117,10,107
"Allen County, Kansas",13364,12512,266,83,85,0,69,349,4,345
"Anderson County, Kansas",8066,7730,22,11,0,0,0,303,0,303
"Atchison County, Kansas",16854,15402,886,78,42,0,34,412,15,397
"Barber County, Kansas",4867,4708,8,14,0,0,23,114,10,104
"Barton County, Kansas",27556,25752,423,59,45,9,770,498,27,471
"Bourbon County, Kansas",15060,14112,438,79,104,0,1,326,17,309
"Brown County, Kansas",9962,8578,150,994,51,0,10,179,3,176
"Butler County, Kansas",65647,61150,1035,435,486,6,620,1915,397,1518
"Chase County, Kansas",2788,2682,32,23,2,0,12,37,0,37
"Chautauqua County, Kansas",3654,3306,29,191,0,0,31,97,1,96
"Cherokee County, Kansas",21521,19587,117,897,82,14,17,807,15,792
"Cheyenne County, Kansas",2724,2682,0,5,27,0,0,10,0,10
"Clark County, Kansas",2198,2050,4,17,11,7,51,58,0,58
"Clay County, Kansas",8547,8279,127,42,13,0,0,86,0,86
"Cloud County, Kansas",9479,9215,31,26,52,0,47,108,6,102
"Coffey County, Kansas",8553,8287,56,46,25,10,9,120,0,120
"Comanche County, Kansas",1893,1836,0,25,8,0,19,5,0,5
"Cowley County, Kansas",36259,31749,1054,1002,610,2,904,938,136,802
"Crawford County, Kansas",39133,36047,847,374,577,0,306,982,22,960
"Decatur County, Kansas",2939,2849,27,14,7,7,3,32,0,32
"Dickinson County, Kansas",19766,18921,68,117,60,0,52,548,72,476
"Doniphan County, Kansas",7931,7317,274,75,48,2,45,170,0,170
"Douglas County, Kansas",111073,94812,4218,2517,4301,14,710,4501,281,4220
"Edwards County, Kansas",3021,2868,9,0,21,0,77,46,5,41
"Elk County, Kansas",2856,2710,24,11,16,0,9,86,9,77
"Ellis County, Kansas",28525,26895,304,38,330,25,490,443,59,384
"Ellsworth County, Kansas",6477,5971,300,19,9,0,31,147,3,144
"Finney County, Kansas",36608,31698,871,158,1183,0,1755,943,278,665
"Ford County, Kansas",33725,29712,597,301,464,16,1814,821,165,656
"Franklin County, Kansas",25916,24370,185,121,98,12,328,802,27,775
"Geary County, Kansas",34110,23307,6060,208,1231,138,551,2615,411,2204
"Gove County, Kansas",2771,2710,18,3,0,0,5,35,5,30
"Graham County, Kansas",2617,2414,92,20,19,9,0,63,0,63
"Grant County, Kansas",7817,6588,3,82,0,4,985,155,0,155
"Gray County, Kansas",5982,5717,0,0,24,0,112,129,36,93
"Greeley County, Kansas",1234,1172,10,0,2,0,14,36,18,18
"Greenwood County, Kansas",6654,6406,11,17,4,0,0,216,0,216
"Hamilton County, Kansas",2656,2554,1,3,0,0,71,27,7,20
"Harper County, Kansas",5998,5743,38,46,6,9,73,83,10,73
"Harvey County, Kansas",34572,31904,399,228,231,0,997,813,8,805
"Haskell County, Kansas",4222,3686,11,49,25,0,395,56,3,53
"Hodgeman County, Kansas",1949,1931,1,0,0,0,0,17,5,12
"Jackson County, Kansas",13401,11658,153,885,57,14,59,575,17,558
"Jefferson County, Kansas",19036,18282,46,202,11,0,21,474,40,434
"Jewell County, Kansas",3085,3004,12,7,24,0,16,22,0,22
"Johnson County, Kansas",546046,476361,23183,1674,22669,298,8320,13541,1292,12249
"Kearny County, Kansas",3952,3577,18,9,0,0,206,142,19,123
"Kingman County, Kansas",7876,7648,42,49,0,0,14,123,28,95
"Kiowa County, Kansas",2503,2422,9,20,2,0,2,48,0,48
"Labette County, Kansas",21574,19034,761,189,89,19,109,1373,6,1367
"Lane County, Kansas",1666,1567,1,29,0,0,41,28,0,28
"Leavenworth County, Kansas",76286,64073,6522,790,1137,125,915,2724,350,2374
"Lincoln County, Kansas",3240,3158,3,5,29,0,0,45,5,40
"Linn County, Kansas",9613,9324,40,25,131,0,0,93,3,90
"Logan County, Kansas",2766,2617,0,0,94,0,0,55,0,55
"Lyon County, Kansas",34103,30285,723,88,743,0,1112,1152,151,1001
"McPherson County, Kansas",29208,28006,280,168,208,34,124,388,24,364
"Marion County, Kansas",12565,12163,110,43,38,21,24,166,14,152
"Marshall County, Kansas",10083,9839,24,18,85,0,37,80,0,80
"Meade County, Kansas",4504,3977,41,6,35,0,351,94,11,83
"Miami County, Kansas",32546,31166,425,115,33,0,85,722,24,698
"Mitchell County, Kansas",6359,6252,21,8,22,0,36,20,0,20
"Montgomery County, Kansas",35167,29492,2019,625,250,119,367,2295,87,2208
"Morris County, Kansas",5917,5742,6,57,11,0,15,86,12,74
"Morton County, Kansas",3207,2715,40,36,45,0,345,26,0,26
"Nemaha County, Kansas",10170,9932,102,38,0,0,13,85,0,85
"Neosho County, Kansas",16501,15702,193,75,39,3,53,436,4,432
"Ness County, Kansas",3102,2960,11,4,0,0,75,52,25,27
"Norton County, Kansas",5658,5208,206,17,21,0,54,152,0,152
"Osage County, Kansas",16300,15757,68,99,63,0,46,267,36,231
"Osborne County, Kansas",3852,3773,12,7,15,20,6,19,4,15
"Ottawa County, Kansas",6099,5928,49,10,0,0,7,105,9,96
"Pawnee County, Kansas",6945,6319,347,23,0,0,70,186,28,158
"Phillips County, Kansas",5579,5302,10,15,13,1,49,189,97,92
"Pottawatomie County, Kansas",21620,20419,318,118,192,6,159,408,0,408
"Pratt County, Kansas",9670,9170,106,51,53,12,70,208,29,179
"Rawlins County, Kansas",2555,2483,5,9,0,0,20,38,7,31
"Reno County, Kansas",64346,58660,2004,358,325,14,1421,1564,302,1262
"Republic County, Kansas",4965,4847,6,12,22,0,16,62,17,45
"Rice County, Kansas",10077,9206,57,182,121,0,269,242,62,180
"Riley County, Kansas",71927,60988,4478,357,3250,162,465,2227,177,2050
"Rooks County, Kansas",5205,5017,24,5,13,1,12,133,0,133
"Rush County, Kansas",3262,3160,44,24,0,0,3,31,0,31
"Russell County, Kansas",6926,6683,67,28,0,0,9,139,0,139
"Saline County, Kansas",55493,49150,1680,305,1307,64,1242,1745,319,1426
"Scott County, Kansas",4872,4547,7,31,0,0,197,90,17,73
"Sedgwick County, Kansas",497062,388827,44320,4102,19887,290,18269,21367,2502,18865
"Seward County, Kansas",23013,15484,1004,190,675,0,5209,451,171,280
"Shawnee County, Kansas",177688,144807,14875,1970,2216,37,5993,7790,1219,6571
"Sheridan County, Kansas",2562,2525,11,0,0,0,2,24,0,24
"Sherman County, Kansas",6036,5685,65,16,80,0,136,54,20,34
"Smith County, Kansas",3835,3721,4,21,8,0,1,80,0,80
"Stafford County, Kansas",4398,4174,27,37,12,0,96,52,20,32
"Stanton County, Kansas",2200,1709,23,7,14,0,319,128,20,108
"Stevens County, Kansas",5633,4254,36,52,42,0,1119,130,29,101
"Sumner County, Kansas",24000,22882,140,361,12,29,76,500,42,458
"Thomas County, Kansas",7854,7599,112,12,11,2,33,85,10,75
"Trego County, Kansas",2977,2870,12,7,8,0,31,49,0,49
"Wabaunsee County, Kansas",7048,6800,43,14,10,0,23,158,8,150
"Wallace County, Kansas",1508,1497,1,8,2,0,0,0,0,0
"Washington County, Kansas",5806,5672,52,34,23,0,7,18,4,14
"Wichita County, Kansas",2239,2190,0,12,6,0,17,14,0,14
"Wilson County, Kansas",9368,8991,8,71,56,0,22,220,0,220
"Woodson County, Kansas",3311,3169,0,22,8,0,0,112,3,109
"Wyandotte County, Kansas",157274,96905,40125,1255,4167,48,10089,4685,1146,3539
"Adair County, Kentucky",18651,17806,536,6,36,0,63,204,0,204
"Allen County, Kentucky",20007,19435,209,44,84,0,95,140,15,125
"Anderson County, Kentucky",21442,20584,581,5,64,0,37,171,0,171
"Ballard County, Kentucky",8268,7866,256,21,34,0,6,85,0,85
"Barren County, Kentucky",42229,39463,1910,48,230,6,113,459,56,403
"Bath County, Kentucky",11665,11239,223,0,0,0,94,109,0,109
"Bell County, Kentucky",28613,27303,678,86,88,0,71,387,39,348
"Boone County, Kentucky",119406,109741,3395,438,2596,0,1529,1707,140,1567
"Bourbon County, Kentucky",20004,18080,1328,60,64,0,252,220,82,138
"Boyd County, Kentucky",49358,46820,1376,82,241,8,165,666,25,641
"Boyle County, Kentucky",28445,25256,1861,99,234,6,244,745,11,734
"Bracken County, Kentucky",8488,8446,12,10,0,0,0,20,0,20
"Breathitt County, Kentucky",13922,13689,73,16,47,17,0,80,8,72
"Breckinridge County, Kentucky",20068,19197,484,17,39,0,109,222,6,216
"Bullitt County, Kentucky",74431,71922,438,229,273,36,562,971,29,942
"Butler County, Kentucky",12748,12419,80,140,4,0,42,63,55,8
"Caldwell County, Kentucky",12977,12078,672,17,18,35,31,126,0,126
"Calloway County, Kentucky",37198,34289,1422,97,717,14,150,509,60,449
"Campbell County, Kentucky",90119,84869,2390,96,615,15,388,1746,398,1348
"Carlisle County, Kentucky",5081,4943,55,64,0,0,0,19,0,19
"Carroll County, Kentucky",10851,10322,134,24,121,0,71,179,16,163
"Carter County, Kentucky",27594,27108,164,18,84,0,0,220,47,173
"Casey County, Kentucky",15984,15599,132,33,8,0,47,165,53,112
"Christian County, Kentucky",73722,53326,15466,357,974,311,937,2351,190,2161
"Clark County, Kentucky",35555,33057,1843,52,163,57,68,315,51,264
"Clay County, Kentucky",21833,20336,1025,122,39,0,90,221,47,174
"Clinton County, Kentucky",10244,9834,126,0,13,0,85,186,71,115
"Crittenden County, Kentucky",9321,9104,61,16,3,0,0,137,53,84
"Cumberland County, Kentucky",6857,6543,249,0,0,0,6,59,0,59
"Daviess County, Kentucky",96711,88633,4689,98,662,30,899,1700,54,1646
"Edmonson County, Kentucky",12141,11921,146,8,12,8,0,46,0,46
"Elliott County, Kentucky",7774,7468,227,0,6,0,30,43,36,7
"Estill County, Kentucky",14647,14386,38,36,0,0,0,187,0,187
"Fayette County, Kentucky",296766,227058,42188,694,10168,180,8694,7784,1139,6645
"Fleming County, Kentucky",14415,13995,172,14,0,0,29,205,57,148
"Floyd County, Kentucky",39454,38698,351,60,37,12,92,204,25,179
"Franklin County, Kentucky",49399,41306,5204,35,646,0,1073,1135,39,1096
"Fulton County, Kentucky",6758,4954,1599,14,96,0,2,93,1,92
"Gallatin County, Kentucky",8513,7888,77,0,54,0,357,137,0,137
"Garrard County, Kentucky",16892,16092,347,37,0,0,255,161,11,150
"Grant County, Kentucky",24683,23770,127,3,10,129,320,324,41,283
"Graves County, Kentucky",37200,34397,1510,48,135,0,302,808,10,798
"Grayson County, Kentucky",25772,24905,192,12,38,0,271,354,0,354
"Green County, Kentucky",11309,10792,299,21,20,0,16,161,42,119
"Greenup County, Kentucky",36922,35913,258,141,148,0,35,427,27,400
"Hancock County, Kentucky",8588,8347,97,15,0,6,40,83,8,75
"Hardin County, Kentucky",104513,84415,12543,289,2398,403,671,3794,332,3462
"Harlan County, Kentucky",29210,28015,748,67,5,73,119,183,11,172
"Harrison County, Kentucky",18781,17869,446,87,37,0,252,90,0,90
"Hart County, Kentucky",18278,17082,927,16,17,7,0,229,7,222
"Henderson County, Kentucky",46254,41241,3552,143,137,0,291,890,71,819
"Henry County, Kentucky",15428,14461,460,62,0,0,201,244,15,229
"Hickman County, Kentucky",4869,4280,498,0,47,0,4,40,0,40
"Hopkins County, Kentucky",46891,42516,2750,80,254,202,129,960,27,933
"Jackson County, Kentucky",13475,13354,1,0,0,0,0,120,0,120
"Jefferson County, Kentucky",741285,545265,152893,1266,16620,292,7512,17437,1266,16171
"Jessamine County, Kentucky",48591,45178,1489,82,449,44,504,845,11,834
"Johnson County, Kentucky",23339,22966,101,18,132,0,28,94,0,94
"Kenton County, Kentucky",159926,145528,7493,326,1542,0,2133,2904,312,2592
"Knott County, Kentucky",16368,16048,157,0,28,0,16,119,22,97
"Knox County, Kentucky",31874,30949,529,70,1,19,112,194,0,194
"Larue County, Kentucky",14175,13196,468,40,0,0,241,230,30,200
"Laurel County, Kentucky",58891,57259,407,95,317,0,195,618,22,596
"Lawrence County, Kentucky",15889,15673,27,0,45,0,0,144,0,144
"Lee County, Kentucky",7831,7692,73,4,9,0,5,48,0,48
"Leslie County, Kentucky",11318,11155,32,7,16,0,13,95,0,95
"Letcher County, Kentucky",24336,24012,101,12,39,0,30,142,13,129
"Lewis County, Kentucky",13889,13381,107,5,14,0,187,195,0,195
"Lincoln County, Kentucky",24671,23517,637,7,84,0,75,351,0,351
"Livingston County, Kentucky",9479,9275,77,8,33,0,8,78,0,78
"Logan County, Kentucky",26786,24414,2087,11,4,2,52,216,48,168
"Lyon County, Kentucky",8336,7710,557,0,0,0,19,50,0,50
"McCracken County, Kentucky",65558,56034,6400,187,489,34,214,2200,130,2070
"McCreary County, Kentucky",18204,16582,1152,62,0,18,98,292,33,259
"McLean County, Kentucky",9554,9393,51,14,0,0,7,89,6,83
"Madison County, Kentucky",83174,76249,3583,231,915,28,589,1579,35,1544
"Magoffin County, Kentucky",13229,13021,37,34,0,0,0,137,30,107
"Marion County, Kentucky",19872,17544,1815,0,127,0,204,182,35,147
"Marshall County, Kentucky",31393,30869,112,17,76,0,30,289,53,236
"Martin County, Kentucky",12934,11776,887,66,3,21,93,88,16,72
"Mason County, Kentucky",17495,15781,1244,19,20,0,158,273,12,261
"Meade County, Kentucky",28979,26621,1244,65,222,0,305,522,27,495
"Menifee County, Kentucky",6331,6120,72,14,7,0,42,76,17,59
"Mercer County, Kentucky",21283,20052,761,0,27,0,26,417,0,417
"Metcalfe County, Kentucky",10074,9707,189,0,0,6,98,74,0,74
"Monroe County, Kentucky",10925,10546,248,0,0,0,18,113,0,113
"Montgomery County, Kentucky",26517,25221,830,14,0,0,172,280,24,256
"Morgan County, Kentucky",13898,13074,512,0,53,0,80,179,0,179
"Muhlenberg County, Kentucky",31399,29303,1434,100,12,88,168,294,33,261
"Nelson County, Kentucky",43500,40377,2244,78,151,0,31,619,74,545
"Nicholas County, Kentucky",7092,7010,33,0,4,0,45,0,0,0
"Ohio County, Kentucky",23975,22926,367,31,11,0,441,199,108,91
"Oldham County, Kentucky",60357,54997,2652,196,846,36,858,772,75,697
"Owen County, Kentucky",10870,10615,142,0,22,0,37,54,19,35
"Owsley County, Kentucky",4764,4581,43,0,44,0,0,96,0,96
"Pendleton County, Kentucky",14771,14509,69,5,0,0,0,188,0,188
"Perry County, Kentucky",28617,27619,311,75,158,0,121,333,3,330
"Pike County, Kentucky",64887,63550,358,28,365,13,151,422,27,395
"Powell County, Kentucky",12638,12362,116,19,23,0,49,69,0,69
"Pulaski County, Kentucky",63045,60544,714,133,286,79,620,669,51,618
"Robertson County, Kentucky",2251,2250,0,1,0,0,0,0,0,0
"Rockcastle County, Kentucky",17090,16764,70,126,7,0,20,103,0,103
"Rowan County, Kentucky",23351,22261,243,7,141,0,263,436,0,436
"Russell County, Kentucky",17562,17153,143,47,10,0,70,139,0,139
"Scott County, Kentucky",47211,42484,2741,125,426,0,792,643,81,562
"Shelby County, Kentucky",42286,36187,3236,62,336,0,1571,894,108,786
"Simpson County, Kentucky",17323,15137,1729,55,122,0,73,207,12,195
"Spencer County, Kentucky",17135,16511,410,52,24,0,9,129,0,129
"Taylor County, Kentucky",24514,22689,1174,31,157,0,50,413,32,381
"Todd County, Kentucky",12472,11151,1056,4,0,0,137,124,0,124
"Trigg County, Kentucky",14282,12806,1074,21,93,0,0,288,19,269
"Trimble County, Kentucky",8829,8424,157,76,0,0,73,99,25,74
"Union County, Kentucky",14992,12813,1845,65,35,0,84,150,9,141
"Warren County, Kentucky",113787,94913,10438,325,3172,103,2714,2122,228,1894
"Washington County, Kentucky",11701,10643,773,30,18,0,95,142,20,122
"Wayne County, Kentucky",20819,19744,395,0,0,18,407,255,0,255
"Webster County, Kentucky",13618,12640,666,51,16,1,139,105,32,73
"Whitley County, Kentucky",35756,34761,197,1,107,11,119,560,39,521
"Wolfe County, Kentucky",7298,7260,2,0,0,0,0,36,14,22
"Woodford County, Kentucky",24847,22122,1399,12,107,2,819,386,70,316
"Acadia Parish, Louisiana",61611,48543,11184,136,169,70,566,943,225,718
"Allen Parish, Louisiana",25740,18791,5194,626,198,0,307,624,351,273
"Ascension Parish, Louisiana",107647,80220,24118,281,1048,0,946,1034,26,1008
"Assumption Parish, Louisiana",23321,15742,7147,68,42,0,125,197,0,197
"Avoyelles Parish, Louisiana",41925,28265,12366,436,182,22,93,561,25,536
"Beauregard Parish, Louisiana",35662,29434,4545,249,291,12,110,1021,28,993
"Bienville Parish, Louisiana",14312,7900,5980,81,11,0,82,258,109,149
"Bossier Parish, Louisiana",117742,85746,25161,804,1736,39,2319,1937,169,1768
"Caddo Parish, Louisiana",254970,124850,120654,1025,2751,140,1891,3659,534,3125
"Calcasieu Parish, Louisiana",192307,136839,47988,858,2160,63,1262,3137,257,2880
"Caldwell Parish, Louisiana",10118,8168,1792,0,14,0,26,118,49,69
"Cameron Parish, Louisiana",6934,6772,140,0,0,0,0,22,0,22
"Catahoula Parish, Louisiana",10409,7075,3036,41,11,0,43,203,70,133
"Claiborne Parish, Louisiana",17059,8137,8576,60,82,4,35,165,6,159
"Concordia Parish, Louisiana",20624,11897,8432,40,64,0,9,182,11,171
"De Soto Parish, Louisiana",26695,15327,10225,228,257,6,288,364,82,282
"East Baton Rouge Parish, Louisiana",439662,217198,199527,611,12657,178,3172,6319,799,5520
"East Carroll Parish, Louisiana",7738,2266,5401,23,9,0,6,33,8,25
"East Feliciana Parish, Louisiana",20252,10784,9143,77,71,0,23,154,0,154
"Evangeline Parish, Louisiana",33989,23497,9623,65,95,0,330,379,40,339
"Franklin Parish, Louisiana",20714,13919,6691,0,4,0,0,100,0,100
"Grant Parish, Louisiana",22049,17680,3478,159,19,25,238,450,71,379
"Iberia Parish, Louisiana",73527,46219,23331,452,1658,0,438,1429,66,1363
